Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Cov Num,Date Added
[Organizational Impacts and Clinical Challenges of the COVID-19 Pandemic on a Swiss Tertiary Internal Medicine Department],"Garnier, Antoine; Vaucher, Julien; Bianchi, Christophe; Kraege, Vanessa; Méan, Marie; Castioni, Julien; Bart, Pierre-Alexandre; Champier, Valérie; Eggimann, Philippe; Gachoud, David; Jovanovic, Milica; Lamy, Olivier; Marques-Vidal, Pedro; Monti, Matteo; Perier, Anne; Robert, Sylvie; Roulet, Guillaume; Sartori, Claudio; Waeber, Gérard; Vollenweider, Peter","The rapid progression of COVID-19 is an organizational challenge for all hospitals. To secure the patient overflow, the Department internal medicine of the University Hospital of Lausanne increased nurse and medical workforces as well as bed capacity by 65 %, with extraordinary help from other departments. The implemented crisis management stood upon three pillars : a crisis management team, steering documents and internal communication. In this new form, the Department had already taken care of 442 COVID-19 admissions by April 16, 2020. Alongside organizational challenges, clinical issues such as rapid respiratory distress, clinical suspicions with negative PCR and treatment uncertainties in the absence of sufficient evidence were overcome. Despite the peak of the pandemic appearing to have passed, the next phase could be just as complicated.",2020,,Revue medicale suisse,16,N° 691-2,869-874,,,26042,#141575,Garnier 2020,,,141575,30-04-20
[Hematology in the time of COVID-19],"Gavillet, Mathilde; Rufer, Nathalie; Grandoni, Francesco; Carr Klappert, Jeanette; Zermatten, Maxime G.; Cairoli, Anne; Canellini, Giorgia; Alberio, Lorenzo; Duchosal, Michel A.; Spertini, Olivier; Blum, Sabine","The COVID-19 pandemic impacts the hematology practice. Intensive chemotherapies for high-grade lymphomas and acute leukemias, multiple myeloma treatments and most hematopoietic stem cell transplantations should be performed as usual. Low-grade lymphomas should only be treated when strictly indicated, maintenance can be postponed. Other myeloid neoplasia and their therapies cause imunosupression; dose adjustment is recommended but no brisk stopping. Sickle cell anemia patients are highly succeptible to severe COVID-19 course. Thrombocytopenia and procoagulant state are associated with severe courses of COVID-19, requiring an individualized therapy. No data indicate a risk of SARS-CoV-2 transmission through blood product transfusion.",2020,,Revue medicale suisse,16,N° 691-2,823-826,,,26043,#141576,Gavillet 2020,,,141576,30-04-20
The Need for Diabetes Care Customization in the ICU at the Time of SARS-CoV-2 Outbreak,"Gentile, Sandro; Strollo, Felice; Ceriello, Antonio",,2020,,Diabetes Therapy,,,01-Mar,,10.1007/s13300-020-00824-y,26044,#141577,Gentile 2020,,,141577,30-04-20
"Cancer surgery in a time of COVID-19: Many questions, few certainties","Ghignone, F.; Mohan, H. M.; Montroni, I.",,2020,,European Journal of Surgical Oncology,,,,,https://doi.org/10.1016/j.ejso.2020.04.046,26045,#141578,Ghignone 2020,,,141578,30-04-20
Obstetric network reorganization during the COVID-19 pandemic: suggestions from an Italian regional model,"Giannubilo, Stefano Raffaele; Giannella, Luca; Carpini, Giovanni Delli; Carnielli, Virgilio P.; Ciavattini, Andrea",,2020,,European Journal of Obstetrics & Gynecology and Reproductive Biology,,,,,https://doi.org/10.1016/j.ejogrb.2020.04.062,26046,#141579,Giannubilo 2020,,,141579,30-04-20
Clinical and Histopathological study of skin dermatoses in patients affected by COVID-19 infection in the Northern part of Italy,"Gianotti, Raffaele; Zerbi, Pietro; Dodiuk-Gad, Roni P.",,2020,,Journal of Dermatological Science,,,,,https://doi.org/10.1016/j.jdermsci.2020.04.007,26047,#141580,Gianotti 2020,,,141580,30-04-20
Redefining Pathways into Acute Rehabilitation During the COVID-19 Crisis,"Gitkind, Andrew I.; Levin, Sheryl; Dohle, Carolin; Herbold, Janet; Thomas, Mark; Oh-Park, Mooyeon; Bartels, Matthew N.","The COVID-19 Pandemic has necessitated drastic changes across the spectrum of healthcare, all of which have occurred with unprecedented rapidity. The need to accommodate change on such a large scale has required ingenuity and decisive thinking. Within the field of Physical Medicine and Rehabilitation we have been faced with many of these challenges. In New York City, the epicenter of the pandemic in the United States, we were among the first to encounter many of these challenges. One of the largest lessons included learning how to streamline our admissions and transfer process into our acute rehabilitation hospital as part of a concerted effort to make acute care hospital beds available as quickly as possible. This article is protected by copyright. All rights reserved.",2020,,"PM & R : the journal of injury, function, and rehabilitation",,,,,10.1002/pmrj.12392,26048,#141581,Gitkind 2020,,,141581,30-04-20
[SARS-CoV-2 infection and solid organ transplantation],"Golshayan, Dela; Aubert, John-David; Hullin, Roger; Moradpour, Darius; Venetz, Jean-Pierre; Manuel, Oriol; Pascual, Manuel","Transplantation has become a valid therapeutic option for an increasing number of patients with end-stage organ disease. The emergence of SARS-CoV-2 coronavirus infection and associated disease (COVID-19) has alarmed the transplant community, since recommendations for adequate follow-up of organ transplant recipients during the acute phase of a pandemic are limited. Furthermore, treatment options against COVID-19 disease and adequate adjustment of immunosuppression in at risk patients remain a concern. This review summarizes current knowledge on the incidence and clinical course of SARS-CoV-2 infection in patients with solid organ transplantation. It also discusses therapeutic strategies and provides general recommendations on how to proceed with transplantation programs in a time when health care resources may become scarce.",2020,,Revue medicale suisse,16,N° 691-2,815-818,,,26049,#141582,Golshayan 2020,,,141582,30-04-20
The Danger of Neglecting Melanoma during the COVID-19 Pandemic,"Gomolin, Tamar; Cline, Abigail; Handler, Marc Zachary","Due to the COVID-19 pandemic, planned medical and surgical activities are being postponed. For the dermatology community, this interruption to the healthcare system can lead to delays in the diagnosis and treatment of melanoma. Neglecting melanoma during this crisis can result in increased mortality, morbidity and healthcare costs. With the COVID-19 pandemic evolving and no clear solutions in sight, it is time for the prospective evaluation of teledermatology. However, dermatologists should be cautious and continue seeing patients with pigmented lesions in person due to the necessity of early surgical intervention.",2020,,The Journal of dermatological treatment,,,01-Aug,,10.1080/09546634.2020.1762844,26050,#141583,Gomolin 2020,,,141583,30-04-20
Truncated IV acetylcysteine treatment duration has potential to safely preserve resources during the COVID-19 pandemic,"Goodnough, Robert; Canseco, Karla",,2020,,"Clinical toxicology (Philadelphia, Pa.)",,,01-Jan,,10.1080/15563650.2020.1758327,26051,#141584,Goodnough 2020,,,141584,30-04-20
Preliminary observations of anaesthesia ventilators use for prolonged mechanical ventilation in intensive care unit patients during the COVID-19 pandemic,"Gouel-Cheron, Aurélie; Couffignal, Camille; Elmaleh, Yoann; Kantor, Elie; Montravers, Philippe",,2020,,Anaesthesia Critical Care & Pain Medicine,,,,,https://doi.org/10.1016/j.accpm.2020.04.009,26052,#141585,Gouel-Cheron 2020,,,141585,30-04-20
SARS-CoV-2 and gastrointestinal tract: the dark side of the pandemic,"Grassia, Roberto; Testa, Sophie; Pan, Angelo; Conti, Clara Benedetta",,2020,,Digestive and Liver Disease,,,,,https://doi.org/10.1016/j.dld.2020.04.028,26053,#141586,Grassia 2020,,,141586,30-04-20
Selecting a SARS-CoV-2/COVID molecular testing method for your laboratory,"Greene, Dina N.","In early March 2020 it became apparent that clinical laboratories would need to quickly develop strategies for SARS-CoV-2/COVID-19 testing. For most, the initial approach was to send out testing to a reference laboratory. As the pandemic has progressed, the food and drug administration (FDA) has allowed for several manufacturers to make testing reagents commercially available. Concurrently, the demand for rapid accessibility of results persists, leading many laboratories to evaluate options for “in house” testing. This reflection highlights some of the considerations when selecting the best method for your laboratory, with specific examples highlighted from a medium volume laboratory’s experience.",2020,,The Journal of Applied Laboratory Medicine,,,,,10.1093/jalm/jfaa076,26054,#141587,Greene 2020,,,141587,30-04-20
Promoting healthy movement behaviours among children during the COVID-19 pandemic,"Guan, Hongyan; Okely, Anthony D.; Aguilar-Farias, Nicolas; del Pozo Cruz, Borja; Draper, Catherine E.; El Hamdouchi, Asmaa; Florindo, Alex A.; Jáuregui, Alejandra; Katzmarzyk, Peter T.; Kontsevaya, Anna; Löf, Marie; Park, Wonsoon; Reilly, John J.; Sharma, Deepika; Tremblay, Mark S.; Veldman, Sanne L. C.",,2020,,The Lancet Child & Adolescent Health,,,,,https://doi.org/10.1016/S2352-4642(20)30131-0,26055,#141588,Guan 2020,,,141588,30-04-20
Non-SARS CoV2 positive critical patients: sons of a lesser God?,"Gulli, Giovanni",,2020,,European Journal of Internal Medicine,,,,,https://doi.org/10.1016/j.ejim.2020.04.047,26056,#141589,Gulli 2020,,,141589,30-04-20
Current perspectives on Coronavirus 2019 (COVID-19) and cardiovascular disease: A white paper by the JAHA editors,"Gupta, Ajay K.; Jneid, Hani; Addison, Daniel; Ardehali, Hossein; Boehme, Amelia K.; Borgaonkar, Sanket; Boulestreau, Romain; Clerkin, Kevin; Delarche, Nicolas; DeVon, Holli A.; Grumbach, Isabella M.; Gutierrez, Jose; Jones, Daniel A.; Kapil, Vikas; Maniero, Carmela; Mentias, Amgad; Miller, Pamela S.; May Ng, Sher; Parekh, Jai D.; Sanchez, Reynaldo H.; Teodor Sawicki, Konrad; S J M Te Riele, Anneline; Ann Remme, Carol; London, Barry","Coronavirus Disease 2019 (COVID-19), caused by the Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-CoV-2), has infected more than 3.0 million people worldwide and killed more than 200,000 as of April 27, 2020, making it the most lethal pandemic since the Spanish flu of 1918.(1, 2) COVID-19 may preferentially infect individuals with cardiovascular conditions, is more severe in subjects with cardiovascular comorbidities, may directly or indirectly affect the heart and may interact with cardiovascular medications.(3) In addition, the widespread effects of the pandemic on the global healthcare system affects the routine and emergency cardiac care for patients who are, may be, or are not infected with COVID-19.",2020,,Journal of the American Heart Association,,,e017013-e017013,,10.1161/JAHA.120.017013,26057,#141590,Gupta 2020,,,141590,30-04-20
Covid-19 in Immune-Mediated Inflammatory Diseases — Case Series from New York,"Haberman, Rebecca; Axelrad, Jordan; Chen, Alan; Castillo, Rochelle; Yan, Di; Izmirly, Peter; Neimann, Andrea; Adhikari, Samrachana; Hudesman, David; Scher, Jose U.",Covid-19 in Immune-Mediated Inflammatory Diseases The authors describe patients in New York City with known immune-mediated inflammatory disease in whom Covid-19 developed while they were receiving...,2020,,New England Journal of Medicine,,,NEJMc2009567-NEJMc2009567,,10.1056/NEJMc2009567,26058,#141591,Haberman 2020,,,141591,30-04-20
"Should we try the antiinflammatory natural product, celastrol, for COVID-19?","Habtemariam, Solomon; Nabavi, Seyed Fazel; Berindan-Neagoe, Ioana; Cismaru, Cosmin Andrei; Izadi, Morteza; Sureda, Antoni; Nabavi, Seyed Mohammad",,2020,,Phytotherapy research : PTR,,,,,10.1002/ptr.6711,26059,#141592,Habtemariam 2020,,,141592,30-04-20
Covid-19: balancing personal risk and professional duty,"Harkin, Denis W.","The covid-19 pandemic is a global health and societal emergency123; doctors and healthcare workers will stand together on the front line making life and death decisions at personal risk. Together we shall endure this challenge, relying on our medical professionalism. The ancient oath of Hippocrates4 bound physicians to act for patients’ benefit and to do no harm. Today the principles …",2020,,BMJ,369,,m1606-m1606,,10.1136/bmj.m1606,26063,#141596,Harkin 2020,,,141596,30-04-20
How about actively using telemedicine during the COVID-19 pandemic?,"Hau, Yong Sauk; Kim, Jeoung Kun; Hur, Jian; Chang, Min Cheol",,2020,,Journal of Medical Systems 2020 44:6,44,6,01-Feb,,10.1007/S10916-020-01580-Z,26064,#141597,Hau 2020,,,141597,30-04-20
COVID-19 and Moral Imperialism in Multinational Clinical Research,"Hellmann, Fernando; Williams-Jones, Bryn; Garrafa, Volnei","A TV debate in April 2020 between two French doctors regarding the benefits of testing a coronavirus vaccine in Africa where there are no masks or treatments available has led to international criticism. This case highlights a problematic ethical double standard in multinational clinical research: trials that would be considered unethical in high income countries (e.g., placebo-controlled where there is an existing treatment) are nonetheless justified in low-and-middle-income countries because the existing standards of care are less (i.e., no access to a treatment). Underlying this ethical double standard in some multinational clinical trials is a moral imperialism and persistent colonialist thinking that must be rejected.",2020,,Archives of Medical Research,,,,,https://doi.org/10.1016/j.arcmed.2020.04.017,26065,#141598,Hellmann 2020,,,141598,30-04-20
Emerging Practice Patterns in Vascular Surgery During the COVID-19 Pandemic,"Hemingway, Jake F.; Singh, Niten; Starnes, Benjamin W.","Objective Ever since the first positive test was identified on January 21, 2020, Washington State has been on the frontlines of the COVID-19 pandemic. Based on information obtained from Italian surgeons in Milan and given concerns regarding rising case numbers in Washington state, we implemented new vascular surgery guidelines, which canceled all non-emergent surgical procedures and involved significant changes to our inpatient and outpatient workflow. The consequences of these decisions are not yet understood. Methods The division of vascular surgery at Harborview Medical Center immediately instituted new vascular surgery COVID-19 practice guidelines on March 17, 2020. Subsequent clinic, operative, and consult volume was collected over the next 4 weeks and compared to historical averages. Washington state case/death numbers and UW Medicine hospital case volumes were collected from publicly available sources. Results Since March 10, 2020, the number of confirmed positive COVID-19 cases within the UW Medicine system has increased 1867%, with floor and intensive care unit bed utilization increasing by 120% and 215%, respectively. After instituting our new COVID-19 guidelines, our average weekly clinical volume decreased by 96.5% (43.1 patients to 1.5 per week), our average weekly surgical volume decreased by 71.7% (from 15 cases to 4.25 per week), and our inpatient consultation volume decreased to 1.81 consults per day. 60% of consultations were completed as telemedicine “e-consults” in which the patient was never evaluated in-person. Trainee surgical volume has also decreased by 86.4% for the vascular surgery fellow and 84.8% for the integrated resident. Conclusions The COVID-19 pandemic has changed every aspect of “normal” vascular surgical practice in a large academic institution. New practice guidelines effectively reduced operating room utilization and decreased staff and trainee exposure to potential infection, with changes to clinic volume not resulting in an immediate rise in emergency department/inpatient consultations or acute surgical emergencies. These changes, although preserving resources, are also reducing trainee exposure and operative volume significantly, which requires new modes of education delivery. Lessons learned during the COVID-19 pandemic, if analyzed, will help us prepare for the next crisis.",2020,,Journal of Vascular Surgery,,,,,https://doi.org/10.1016/j.jvs.2020.04.492,26066,#141599,Hemingway 2020,,,141599,30-04-20
COVID-19: An Emeritus Faculty’s Perspective,"Hockberger M.D, Robert S.","ABSTRACT Life in academics often seems like an endless series of transitions: from medical student to intern, from junior resident to senior, from fellow to faculty, from junior faculty to senior, and sometimes from local leader to national figure. Looking back now on my own career and those of others, the most important lesson I?ve learned is that we are ultimately defined more by how we manage those transitions, and how we treat the people we meet along the way, than we are by the professional accomplishments that bring us recognition and awards.",2020,,AEM Education and Training,n/a,n/a,,,10.1002/aet2.10461,26067,#141600,Hockberger 2020,,,141600,30-04-20
[Autoimmune diseases in the context of pandemic COVID-19],"Horisberger, Alice; Moi, Laura; Ribi, Camillo; Comte, Denis","Patient suffering from autoimmune diseases (AID) typically have an increased risk of infection, which is attributed to the disease itself, but also to immunosuppressive drugs (IS) and comorbidities. During the current COVID-19 outbreak, the way to manage these diseases remains elusive. Limited data is currently available on AID and IS in the context of this new coronavirus infection. To date, there is no evidence to support an increase in complications of COVID-19 in these patients. In addition, certain drugs that are commonly used to treat AID could be part of the therapeutic arsenal used in COVID-19. The purpose of this article is to review the unique aspects of patients with AID during the COVID-19 outbreak.",2020,,Revue medicale suisse,16,N° 691-2,827-830,,,26069,#141602,Horisberger 2020,,,141602,30-04-20
“Xenophobia in America in the Age of Coronavirus and Beyond”,"Huang, Junjian; Liu, Raymond",,2020,,Journal of Vascular and Interventional Radiology,,,,,https://doi.org/10.1016/j.jvir.2020.04.020,26070,#141603,Huang 2020,,,141603,30-04-20
"B Cells, Viruses, and the SARS-CoV-2/COVID-19 Pandemic of 2020","Hurwitz, Julia L.",,2020,,Viral Immunology,,,vim.2020.0055-vim.2020.0055,,10.1089/vim.2020.0055,26071,#141604,Hurwitz 2020,,,141604,30-04-20
Chloroquine and hydroxychloroquine for COVID-19: implications for cardiac safety,"Jeevaratnam, Kamalan",,2020,,European Heart Journal - Cardiovascular Pharmacotherapy,,,,,10.1093/ehjcvp/pvaa041,26079,#141605,Jeevaratnam 2020,,,141605,30-04-20
"Shoulder & Elbow Education During COVID19 – Perspectives from the Resident, Fellow, and Attending Level","Jones, Steven D.; Thon, Stephen; Frank, Rachel M.",,2020,,Journal of Shoulder and Elbow Surgery,,,,,https://doi.org/10.1016/j.jse.2020.04.017,26080,#141607,Jones 2020,,,141607,30-04-20
"Commentary on: The SARS, MERS and novel coronavirus (COVID-19) epidemics, the newest and biggest global health threats: what lessons have we learned? A One Health approach to coronaviruses","Kahn, Laura H.",,2020,,International Journal of Epidemiology,,,,,10.1093/ije/dyaa071,26083,#141609,Kahn 2020,,,141609,30-04-20
COVID-19 in Nigeria: a disease of hunger,"Kalu, Bernard",,2020,,The Lancet Respiratory Medicine,,,,,https://doi.org/10.1016/S2213-2600(20)30220-4,26085,#141612,Kalu 2020,,,141612,30-04-20
"COVID-19-associated shortage of alcohol-based hand rubs, face masks, medical gloves and gowns – proposal for a risk-adapted approach to ensure patient and healthcare worker safety","Kampf, Günter; Scheithauer, Simone; Lemmen, Sebastian; Saliou, Philippe; Suchomel, Miranda","Summary The COVID-19 pandemic has caused a huge demand of alcohol-based hand rubs, medical gloves, face masks and gowns in healthcare and from the public. More and more hospitals face a serious shortage of these articles. We propose a risk-adapted approach to ensure adequate patient and healthcare worker safety for as long as possible.",2020,,Journal of Hospital Infection,,,,,https://doi.org/10.1016/j.jhin.2020.04.041,26086,#141613,Kampf 2020,,,141613,30-04-20
Perspectives for the use of therapeutic Botulinum toxin as a multifaceted candidate drug to attenuate COVID-19,"Kandasamy, Mahesh","The recent outbreak of coronavirus disease (COVID-19) resulting from a distinctive severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) continues to evolve in many countries and pose life-threatening clinical issues to global public health. While the lungs are the primary target for the SARS-CoV-2-mediated pathological consequence, SARS-CoV-2 appear to invade the brain and cause neurological deficits. In the later stage, COVID-19 can progress to pneumonia, acute respiratory failure, neurological deficits and multi-organ dysfunctions leading to death. Though a significant portion of SARS-CoV-2 infected individuals has been recovering from pathological symptoms, the impact of the COVID-19 on the structural and functional properties of the lungs, heart, brain and other organs at the post-recovery state remains unknown. Presently, there is an urgent need for a remedial measure to combat this devastating COVID-19. Botulinum toxins (BoNTs) are potent neurotoxins that can induce paralysis of muscle and acute respiratory arrest in human. However, a mild dose of the purified form of BoNT has been known to attenuate chronic cough, dyspnoea, pneumonia, acute respiratory failure, abnormal circulation, cardiac defects and various neurological deficits that have been recognised as the prominent clinical symptoms of COVID-19. Considering the fact, this review article provides 1) an overview on the SARS-CoV-2 mediated pathological impact on the lungs, heart and brain, 2) signifies the therapeutic uses of BoNTs against pulmonary failure, cardiac arrest and neurological deficits, and 3) emphasize the rationality for the possible use of BoNT to prevent SARS-CoV-2 infection and manage COVID-19.",2020,,Medicine in Drug Discovery,,,100042-100042,,https://doi.org/10.1016/j.medidd.2020.100042,26087,#141614,Kandasamy 2020,,,141614,30-04-20
Implementation of quarantine in China during the outbreak of COVID-19,"Kang, Chuanyuan; Meng, Fu; Feng, Qiang; Yuan, Jing; Liu, Liang; Xu, Li; Yang, Shuran; Wei, Yujun; Zhao, Xudong; Yang, Jianzhong",,2020,,Psychiatry Research,,,113038-113038,,https://doi.org/10.1016/j.psychres.2020.113038,26088,#141615,Kang 2020,,,141615,30-04-20
Anti COVID-19 Drugs: Need for More Clinical Evidence and Global Action,"Khan, Zakir; Karataş, Yusuf; Rahman, Hazir","The World Health Organization (WHO) called the outbreak of coronavirus infectious disease-2019 (COVID-19) a “Public Health Emergency of International Concern” (PHEIC). According to the WHO, Centers for Disease Control and Prevention (CDC), and the US Food and Drug Administration (FDA), currently there are no medicines or vaccines that have been claimed to be useful in the prevention or treatment of COVID-19. Several existing antiviral drugs, previously developed or used as treatments for severe acute respiratory syndrome (SARS), Middle East respiratory syndrome (MERS), human immunodeficiency virus (HIV), and malaria, are being investigated as COVID-19 treatments and some of them are being used in clinical trials. According to the CDC and Chinese treatment guidelines for COVID-19, chloroquine, hydroxychloroquine, lopinavir/ritonavir, and one of the investigational agents (remdesivir) are recommended in critically ill older patients. The use of other potential drugs reported in different studies may be considered if treatment with first-line drugs is ineffective. There are currently no complete data available from large randomized clinical trials (RCTs) to provide clinical guidance on the use, dosing, or duration to validate the effective role, safety profile, and adverse effects of all of the trial drugs for prophylaxis or treatment of COVID-19. Until now, it is still unclear which drug can successfully fight against the disease. Therefore, for the better safety of patients with COVID-19, further clinical trials and large randomized controlled studies are needed to validate the effective role, safety profile, and adverse effects of all the potential drugs. Such a measure requires action at the global level.",2020,,Advances in Therapy,,,01-May,,10.1007/s12325-020-01351-9,26090,#141617,Khan 2020,,,141617,30-04-20
South America prepares for the impact of COVID-19,"Kirby, Tony",,2020,,The Lancet Respiratory Medicine,,,,,https://doi.org/10.1016/S2213-2600(20)30218-6,26091,#141618,Kirby 2020,,,141618,30-04-20
[COVID-19 from the nephrologist's point of view],"Kissling, Sébastien; Pruijm, Menno","During the actual pandemic of COVID-19, it has become clear that the virus causing this devastating disease, SARS-CoV2, targets not only the lungs but also other organs. In this article, we discuss the known or suspected interactions between the virus and the kidneys, as well as their clinical presentations. We also discuss how the pandemic has altered the activities of nephrologists and the logistics of a Swiss dialysis center.",2020,,Revue medicale suisse,16,N° 691-2,842-844,,,26092,#141619,Kissling 2020,,,141619,30-04-20
"Maintaining high quality multidisciplinary pain medicine fellowship programs: Part I: Innovations in pain fellows’ education, research, applicant selection process, wellness and ACGME implementation during the Covid-19 pandemic","Kohan, Lynn; Moeschler, Susan; Spektor, Boris; Przkora, Rene; Sobey, Cristopher; Brancolini, Scott; Wahezi, Sayed; Anitescu, Magdalena",,2020,,Pain Medicine,,,,,10.1093/pm/pnaa168,26093,#141620,Kohan 2020,,,141620,30-04-20
[COVID-19 : Intensive care management],"Krähenbühl, Marie; Oddo, Mauro; Piquilloud, Lise; Pantet, Olivier","The SARS-coronavirus 2 disease initially reported in December 2019 in China (COVID-19) represents a major challenge for intensive care medicine, due to the high number of ICU admission and the prolonged stay for many patients. Up to 5 % of COVID-19 infected patients develop severe acute hypoxemic respiratory failure requiring invasive mechanical ventilation as supportive treatment. Apart from early antiviral and anti-inflammatory treatment, the management of COVID-19 patients is mainly applying protective mechanical ventilation, to support the injured lungs. However recently acquired data and clinical experience suggest that COVID-19-related ARDS presents some specificities that will be summarized in the present article.",2020,,Revue medicale suisse,16,N° 691-2,863-868,,,26094,#141621,Krähenbühl 2020,,,141621,30-04-20
Management of Dysphagia in The Head and Neck Cancer Patient during COVID-19 Pandemic: A Practical Strategy,"Ku, Peter K. M.; Holsinger, F. Christopher; Chan, Jason Y. K.; Yeung, Zenon C. W.; Chan, Becky Y. T.; Tong, Michael C. F.; Starmer, Heather M.","Abstract The global pandemic of 2019 Novel Coronavirus Disease (COVID-19) has tremendously altered routine medical service provision and imposed unprecedented challenges to the healthcare system. This impacts patients with dysphagia complications caused by head and neck cancers. As this pandemic of COVID-19 may last longer than SARS in 2003, a practical workflow for managing dysphagia is crucial to ensure a safe and efficient practice to patients and healthcare personnel. This document provides clinical practice guidelines based on available evidence to date to balance the risks of SARS-CoV-2 exposure with the risks associated with dysphagia. Critical considerations include reserving instrumental assessments for urgent cases only, optimizing the non-instrumental swallowing evaluation, appropriate use of PPE, and use of telehealth when appropriate. Despite significant limitations in clinical service provision during the pandemic of COVID-19, a safe and reasonable dysphagia care pathway can still be implemented with modifications of setup and application of newer technologies. This article is protected by copyright. All rights reserved.",2020,,Head & Neck,n/a,n/a,,,10.1002/hed.26224,26095,#141622,Ku 2020,,,141622,30-04-20
Changing paradigms of dermatology practice in developing nations in the shadow of COVID-19: Lessons learnt from the pandemic,"Kumar, Sheetanshu; Bishnoi, Anuradha; Vinay, Keshavamurthy",,2020,,Dermatologic therapy,,,e13472-e13472,,10.1111/dth.13472,26096,#141623,Kumar 2020,,,141623,30-04-20
How to guarantee liver transplantation in the north of Italy during the COVID-19 pandemic. A sound transplant protection strategy,"Lauterio, Andrea; De Carlis, Riccardo; Belli, Luca; Fumagalli, Roberto; De Carlis, Luciano","Abstract The impact on the Italian national healthcare service of the COVID-19 pandemic has already been reported (1). To date, measures have been taken to adapt our healthcare systems (2). The number of patients infected in Italy since 20 February 2020 has closely followed an exponential trend, challenging our universal-coverage public healthcare system especially in terms of the availability of intensive care unit (ICU) beds, healthcare providers, and blood products (1,2).",2020,,Transplant International,n/a,n/a,,,10.1111/tri.13633,26097,#141624,Lauterio 2020,,,141624,30-04-20
[Pediatric impact of COVID-19],"L'Huillier, Arnaud G.; Asner, Sandra A.","Children infected with SARS-CoV-2 are underrepresented during the current COVID-19 outbreak. Unlike other respiratory viruses, SARS-CoV-2 rather infects adults who subsequently infect their children. From recent Chinese and Italian data, children commonly present mild to moderate disease, a large proportion of them being asymptomatic. In particular, children present significantly less fever, cough and pneumonia compared to adults. However, more cases of pneumonia were reported from children infected with SARS-CoV-2 compared to those infected with H1N1. No vertical transmission of SARS-CoV-2 has been described so far.",2020,,Revue medicale suisse,16,N° 691-2,839-841,,,26098,#141625,L'Huillier 2020,,,141625,30-04-20
Infection prevention and control measures during COVID-19 from medical physics perspective: A single institution experience from China,"Li, Dingjie; Liu, Ru; Wei, Shengtao; Li, Tian; Cai, Jing; Ge, Hong",,2020,,Journal of Applied Clinical Medical Physics,n/a,n/a,,,10.1002/acm2.12889,26099,#141626,Li 2020,,,141626,30-04-20
SARS-CoV-2 positivity in a discharged COVID-19 patient: A Case report,"Li, Jingwen; Long, Xi; Fang, Xi; Zhang, Qing; Hu, Shaoping; Lin, Zhicheng; Xiong, Nian",,2020,,Clinical Microbiology and Infection,,,,,https://doi.org/10.1016/j.cmi.2020.04.032,26101,#141628,Li 2020,,,141628,30-04-20
Prolonged SARS-CoV-2 RNA shedding: Not a rare phenomenon,"Li, Na; Wang, Xiao; Lv, Tangfeng","A few studies have reported the long shedding of SARS-CoV-2 RNA. However, the duration of RNA shedding in Wuhan is rarely known and the meaning of the prolonged shedding is still under investigation. Almost 10% patients diagnosed of COVID-19 had a RNA shedding longer than 30 days even if the symptom elimination. The IgM was in a high level in the 9(th) week after symptom onset in these prolonged-RNA-shedding patients. Further study should be conducted to know the infectivity of the virus and the relationship between RNA shedding and antibody expression. This article is protected by copyright. All rights reserved.",2020,,Journal of medical virology,,,,,10.1002/jmv.25952,26102,#141629,Li 2020,,,141629,30-04-20
Changes in sexual behaviors of young women and men during the coronavirus disease 2019 outbreak: a convenience sample from the epidemic area,"Li, Weiran; Li, Guanjian; Xin, Cong; Wang, Yaochi; Yang, Sen","Background In March 2020, the World Health Organization (WHO) declared coronavirus disease 2019 (COVID-19), which is caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a pandemic. Currently, data on changes in sexual behavior during the COVID-19 outbreak are limited. Aim The present study aimed to obtain a preliminary understanding of the changes in people’s sexual behavior, as a result of the pandemic and explore the context in which they manifest. Methods A convenience sample of 270 men and 189 women who completed an online survey consisting of 12 items plus an additional question were included in the study. Outcomes The study outcomes were obtained using a study-specific questionnaire to assess the changes in people’s sexual behavior. Results While there was a wide range of individual responses, our results showed that 44% of participants reported a decrease in the number of sexual partners and about 37% of participants reported a decrease in sexual frequency. Multiple regression analysis showed that age, partner relationship and sexual desire were closely related to sexual frequency. In addition, we found that most individuals with risky sexual experiences had a rapid reduction in risky sexual behavior. Clinical Implications The current findings contribute to identifying another potential health implication associated with the COVID-19 pandemic and report preliminary evidence of the need to provide potential interventions for the population. Strength & Limitations This study is the first to perform a preliminary exploration of sexual behavior during the COVID-19 outbreak. The generalizability of the results is limited, given that only a small convenience sample was used. Conclusion During the height of the COVID-19 outbreak, overall sexual activity, frequency, and risky behaviors declined significantly among young men and women in China.",2020,,The Journal of Sexual Medicine,,,,,https://doi.org/10.1016/j.jsxm.2020.04.380,26103,#141630,Li 2020,,,141630,30-04-20
