Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,HAI-1 Achievement Threshold,HAI-1 Benchmark,HAI-1 Baseline Rate,HAI-1 Performance Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score,HAI-2 Achievement Threshold,HAI-2 Benchmark,HAI-2 Baseline Rate,HAI-2 Performance Rate,HAI-2 Achievement Points,HAI-2 Improvement Points,HAI-2 Measure Score,Combined SSI Measure Score,HAI-3 Achievement Threshold,HAI-3 Benchmark,HAI-3 Baseline Rate,HAI-3 Performance Rate,HAI-3 Achievement Points,HAI-3 Improvement Points,HAI-3 Measure Score,HAI-4 Achievement Threshold,HAI-4 Benchmark,HAI-4 Baseline Rate,HAI-4 Performance Rate,HAI-4 Achievement Points,HAI-4 Improvement Points,HAI-4 Measure Score,HAI-5 Achievement Threshold,HAI-5 Benchmark,HAI-5 Baseline Rate,HAI-5 Performance Rate,HAI-5 Achievement Points,HAI-5 Improvement Points,HAI-5 Measure Score,HAI-6 Achievement Threshold,HAI-6 Benchmark,HAI-6 Baseline Rate,HAI-6 Performance Rate,HAI-6 Achievement Points,HAI-6 Improvement Points,HAI-6 Measure Score,PC-01 Achievement Threshold,PC-01 Benchmark,PC-01 Baseline Rate,PC-01 Performance Rate,PC-01 Achievement Points,PC-01 Improvement Points,PC-01 Measure Score
110011,TANNER MEDICAL CENTER - CARROLLTON,705 DIXIE STREET,CARROLLTON,GA,30117,Carroll,0.784,0.000,0.786,0.301,6 out of 10,6 out of 9,6 out of 10,0.828,0.000,0.647,0.318,6 out of 10,5 out of 9,6 out of 10,10 out of 10,0.781,0.000,0.541,0.000,10 out of 10,9 out of 9,10 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,2.966,3.610,0 out of 10,0 out of 9,0 out of 10,0.852,0.091,0.259,0.889,0 out of 10,0 out of 9,0 out of 10,0.000000,0.000000,0.005464,0.012903,0 out of 10,0 out of 9,0 out of 10
110015,TANNER MEDICAL CENTER VILLA RICA,601 DALLAS HIGHWAY,VILLA RICA,GA,30180,Carroll,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,Not Available,1.918,0 out of 10,Not Available,0 out of 10,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,0.902,0 out of 10,Not Available,0 out of 10,0.852,0.091,0.227,0.714,2 out of 10,0 out of 9,2 out of 10,0.000000,0.000000,0.000000,0.000000,10 out of 10,0 out of 9,10 out of 10
110016,WELLSTAR WEST GEORGIA MEDICAL CENTER,1514 VERNON ROAD,LAGRANGE,GA,30240,Troup,0.784,0.000,1.468,1.323,0 out of 10,0 out of 9,0 out of 10,0.828,0.000,0.267,1.603,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0.781,0.000,0.814,0.520,4 out of 10,3 out of 9,4 out of 10,0.722,0.000,Not Available,5.587,0 out of 10,Not Available,0 out of 10,0.815,0.000,1.424,2.008,0 out of 10,0 out of 9,0 out of 10,0.852,0.091,0.511,0.275,7 out of 10,5 out of 9,7 out of 10,0.000000,0.000000,0.000000,0.055556,0 out of 10,0 out of 9,0 out of 10
110018,PIEDMONT NEWTON HOSPITAL,5126 HOSPITAL DRIVE NE,COVINGTON,GA,30014,Newton,0.784,0.000,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.828,0.000,0.685,0.000,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0.781,0.000,2.203,0.000,10 out of 10,9 out of 9,10 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,0.000,Not Available,Not Available,Not Available,Not Available,0.852,0.091,0.387,0.213,8 out of 10,5 out of 9,8 out of 10,0.000000,0.000000,0.016129,0.026316,0 out of 10,0 out of 9,0 out of 10
110023,ADVENTHEALTH GORDON,1035 RED BUD ROAD,CALHOUN,GA,30701,Gordon,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,2.183,0.000,10 out of 10,9 out of 9,10 out of 10,0 out of 10,0.781,0.000,0.786,0.917,0 out of 10,0 out of 9,0 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,1.196,0.454,5 out of 10,6 out of 9,6 out of 10,0.000000,0.000000,0.027027,0.040816,0 out of 10,0 out of 9,0 out of 10
110024,CANDLER HOSPITAL,5353 REYNOLDS STREET,SAVANNAH,GA,31412,Chatham,0.784,0.000,1.868,0.783,1 out of 10,5 out of 9,5 out of 10,0.828,0.000,0.953,0.750,1 out of 10,2 out of 9,2 out of 10,7 out of 10,0.781,0.000,1.951,0.359,5 out of 10,8 out of 9,8 out of 10,0.722,0.000,1.130,0.737,0 out of 10,3 out of 9,3 out of 10,0.815,0.000,0.657,0.997,0 out of 10,0 out of 9,0 out of 10,0.852,0.091,1.159,1.036,0 out of 10,1 out of 9,1 out of 10,0.000000,0.000000,0.012658,0.017857,0 out of 10,0 out of 9,0 out of 10
110025,SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,2415 PARKWOOD DRIVE,BRUNSWICK,GA,31520,Glynn,0.784,0.000,0.943,1.041,0 out of 10,0 out of 9,0 out of 10,0.828,0.000,1.741,1.522,0 out of 10,1 out of 9,1 out of 10,5 out of 10,0.781,0.000,0.639,0.433,5 out of 10,3 out of 9,5 out of 10,0.722,0.000,0.436,Not Available,Not Available,Not Available,Not Available,0.815,0.000,2.915,1.104,0 out of 10,6 out of 9,6 out of 10,0.852,0.091,0.955,0.852,1 out of 10,1 out of 9,1 out of 10,0.000000,0.000000,0.000000,0.041667,0 out of 10,0 out of 9,0 out of 10
110027,"ST MARY'S SACRED HEART HOSPITAL, INC",367 CLEAR CREEK PARKWAY,LAVONIA,GA,30553,Franklin,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,1.453,1.042,0 out of 10,3 out of 9,3 out of 10,0.000000,0.000000,0.051282,0.031250,0 out of 10,3 out of 9,3 out of 10
110028,UNIVERSITY HOSPITAL,1350 WALTON WAY,AUGUSTA,GA,30901,Richmond,0.784,0.000,1.246,0.941,0 out of 10,2 out of 9,2 out of 10,0.828,0.000,1.104,1.011,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0.781,0.000,0.629,1.094,0 out of 10,0 out of 9,0 out of 10,0.722,0.000,0.772,1.114,0 out of 10,0 out of 9,0 out of 10,0.815,0.000,0.811,1.620,0 out of 10,0 out of 9,0 out of 10,0.852,0.091,1.287,0.973,0 out of 10,2 out of 9,2 out of 10,0.000000,0.000000,0.006431,0.020588,0 out of 10,0 out of 9,0 out of 10
110029,"NORTHEAST GEORGIA MEDICAL CENTER, INC",743 SPRING STREET,GAINESVILLE,GA,30501,Hall,0.784,0.000,0.307,0.358,5 out of 10,0 out of 9,5 out of 10,0.828,0.000,0.824,1.238,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0.781,0.000,0.656,1.019,0 out of 10,0 out of 9,0 out of 10,0.722,0.000,0.966,0.745,0 out of 10,2 out of 9,2 out of 10,0.815,0.000,0.603,0.550,3 out of 10,0 out of 9,3 out of 10,0.852,0.091,0.895,0.714,2 out of 10,2 out of 9,2 out of 10,0.000000,0.000000,0.019048,0.009174,0 out of 10,5 out of 9,5 out of 10
110030,CARTERSVILLE MEDICAL CENTER,960 JOE FRANK HARRIS PARKWAY,CARTERSVILLE,GA,30120,Bartow,0.784,0.000,1.860,0.000,10 out of 10,9 out of 9,10 out of 10,0.828,0.000,0.970,0.000,10 out of 10,9 out of 9,10 out of 10,5 out of 10,0.781,0.000,1.247,0.597,3 out of 10,5 out of 9,5 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,0.699,0.000,10 out of 10,9 out of 9,10 out of 10,0.852,0.091,0.975,0.581,4 out of 10,4 out of 9,4 out of 10,0.000000,0.000000,0.000000,0.000000,10 out of 10,0 out of 9,10 out of 10
110031,WELLSTAR SPALDING REGIONAL HOSPITAL,601 SOUTH 8TH STREET,GRIFFIN,GA,30223,Spalding,0.784,0.000,1.569,2.108,0 out of 10,0 out of 9,0 out of 10,0.828,0.000,1.359,2.192,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0.781,0.000,1.036,1.335,0 out of 10,0 out of 9,0 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,3.155,2.803,0 out of 10,1 out of 9,1 out of 10,0.852,0.091,0.529,0.296,7 out of 10,5 out of 9,7 out of 10,0.000000,0.000000,0.028986,0.063830,0 out of 10,0 out of 9,0 out of 10
110032,STEPHENS COUNTY HOSPITAL,163 HOSPITAL DRIVE,TOCCOA,GA,30577,Stephens,0.784,0.000,0.000,Not Available,Not Available,Not Available,Not Available,0.828,0.000,0.898,0.854,0 out of 10,0 out of 9,0 out of 10,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,1.967,0.450,5 out of 10,8 out of 9,8 out of 10,0.000000,0.000000,0.000000,0.090909,0 out of 10,0 out of 9,0 out of 10
110034,AU MEDICAL CENTER,1120 15TH STREET,AUGUSTA,GA,30912,Richmond,0.784,0.000,1.792,1.402,0 out of 10,2 out of 9,2 out of 10,0.828,0.000,1.313,0.832,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0.781,0.000,3.159,3.735,0 out of 10,0 out of 9,0 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,1.206,0.903,0 out of 10,2 out of 9,2 out of 10,0.852,0.091,0.934,1.457,0 out of 10,0 out of 9,0 out of 10,0.000000,0.000000,0.031250,0.041667,0 out of 10,0 out of 9,0 out of 10
110035,WELLSTAR KENNESTONE HOSPITAL,677 CHURCH STREET,MARIETTA,GA,30060,Cobb,0.784,0.000,0.646,0.902,0 out of 10,0 out of 9,0 out of 10,0.828,0.000,0.585,0.965,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0.781,0.000,1.100,1.761,0 out of 10,0 out of 9,0 out of 10,0.722,0.000,1.101,0.991,0 out of 10,0 out of 9,0 out of 10,0.815,0.000,0.243,0.989,0 out of 10,0 out of 9,0 out of 10,0.852,0.091,0.981,0.196,8 out of 10,8 out of 9,8 out of 10,0.000000,0.000000,0.037037,0.022989,0 out of 10,3 out of 9,3 out of 10
110036,MEMORIAL HEALTH UNIVERSITY MEDICAL CENTER,4700 WATERS AVENUE,SAVANNAH,GA,31404,Chatham,0.784,0.000,0.977,1.155,0 out of 10,0 out of 9,0 out of 10,0.828,0.000,1.460,0.895,0 out of 10,3 out of 9,3 out of 10,1 out of 10,0.781,0.000,1.144,2.068,0 out of 10,0 out of 9,0 out of 10,0.722,0.000,0.903,0.630,2 out of 10,3 out of 9,3 out of 10,0.815,0.000,1.351,0.605,3 out of 10,5 out of 9,5 out of 10,0.852,0.091,1.493,0.864,0 out of 10,4 out of 9,4 out of 10,0.000000,0.000000,0.019608,0.021739,0 out of 10,0 out of 9,0 out of 10
110038,JOHN D ARCHBOLD MEMORIAL HOSPITAL,915 GORDON AVENUE & MIMOSA DRIVE,THOMASVILLE,GA,31792,Thomas,0.784,0.000,1.308,0.855,0 out of 10,3 out of 9,3 out of 10,0.828,0.000,0.589,1.653,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0.781,0.000,0.000,0.918,0 out of 10,0 out of 9,0 out of 10,0.722,0.000,0.000,Not Available,Not Available,Not Available,Not Available,0.815,0.000,0.890,1.418,0 out of 10,0 out of 9,0 out of 10,0.852,0.091,0.846,1.065,0 out of 10,0 out of 9,0 out of 10,0.000000,0.000000,0.027273,0.070423,0 out of 10,0 out of 9,0 out of 10
110041,HABERSHAM COUNTY MEDICAL CTR,541 HISTORIC HIGHWAY 441-NORTH,DEMOREST,GA,30535,Habersham,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,3.771,Not Available,Not Available,Not Available,Not Available,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,1.080,1.464,0 out of 10,0 out of 9,0 out of 10,0.000000,0.000000,0.000000,0.000000,10 out of 10,0 out of 9,10 out of 10
110042,WELLSTAR PAULDING HOSPITAL,2518 JIMMY LEE SMITH PARKWAY,HIRAM,GA,30141,Paulding,0.784,0.000,0.781,1.080,0 out of 10,0 out of 9,0 out of 10,0.828,0.000,0.000,0.549,4 out of 10,0 out of 9,4 out of 10,0 out of 10,0.781,0.000,0.000,0.848,0 out of 10,0 out of 9,0 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,0.718,2 out of 10,Not Available,2 out of 10,0.852,0.091,1.132,0.275,7 out of 10,8 out of 9,8 out of 10,0.000000,0.000000,Not Available,Not Available,Not Available,Not Available,Not Available
110043,ST JOSEPH'S HOSPITAL - SAVANNAH,11705 MERCY BOULEVARD,SAVANNAH,GA,31419,Chatham,0.784,0.000,0.499,0.424,5 out of 10,1 out of 9,5 out of 10,0.828,0.000,0.526,0.713,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0.781,0.000,0.000,0.703,1 out of 10,0 out of 9,1 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,0.847,0.880,0 out of 10,0 out of 9,0 out of 10,0.852,0.091,1.584,0.853,0 out of 10,4 out of 9,4 out of 10,0.000000,0.000000,Not Available,Not Available,Not Available,Not Available,Not Available
110044,PHOEBE SUMTER MEDICAL CENTER,126 HIGHWAY 280 W,AMERICUS,GA,31719,Sumter,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,0.695,Not Available,Not Available,Not Available,Not Available,10 out of 10,0.781,0.000,Not Available,0.000,10 out of 10,Not Available,10 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,0.929,0.867,0 out of 10,0 out of 9,0 out of 10,0.000000,0.000000,0.000000,0.000000,10 out of 10,0 out of 9,10 out of 10
110045,NORTHEAST GEORGIA MEDICAL CENTER BARROW,316 NORTH BROAD STREET,WINDER,GA,30680,Barrow,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,0.526,0.714,2 out of 10,0 out of 9,2 out of 10,0.000000,0.000000,Not Available,Not Available,Not Available,Not Available,Not Available
110046,"PIEDMONT WALTON HOSPITAL, INC",2151 W SPRING STREET,MONROE,GA,30655,Walton,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,0.515,0.248,8 out of 10,6 out of 9,8 out of 10,0.000000,0.000000,0.000000,0.057143,0 out of 10,0 out of 9,0 out of 10
110051,UNION GENERAL HOSPITAL,35 HOSPITAL ROAD,BLAIRSVILLE,GA,30512,Union,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,0.749,0.852,1 out of 10,0 out of 9,1 out of 10,0.000000,0.000000,0.133333,0.058824,0 out of 10,5 out of 9,5 out of 10
110054,FLOYD MEDICAL CENTER,304 TURNER MCCALL BLVD P O BOX 233,ROME,GA,30162,Floyd,0.784,0.000,0.948,0.489,4 out of 10,4 out of 9,4 out of 10,0.828,0.000,1.049,0.784,1 out of 10,2 out of 9,2 out of 10,1 out of 10,0.781,0.000,1.450,1.115,0 out of 10,2 out of 9,2 out of 10,0.722,0.000,0.746,0.742,0 out of 10,0 out of 9,0 out of 10,0.815,0.000,0.898,0.517,4 out of 10,4 out of 9,4 out of 10,0.852,0.091,0.794,0.618,3 out of 10,2 out of 9,3 out of 10,0.000000,0.000000,0.000000,0.000000,10 out of 10,0 out of 9,10 out of 10
110064,PIEDMONT COLUMBUS REGIONAL MIDTOWN,710 CENTER STREET,COLUMBUS,GA,31901,Muscogee,0.784,0.000,0.725,1.319,0 out of 10,0 out of 9,0 out of 10,0.828,0.000,2.936,1.637,0 out of 10,4 out of 9,4 out of 10,0 out of 10,0.781,0.000,0.503,1.113,0 out of 10,0 out of 9,0 out of 10,0.722,0.000,Not Available,0.967,0 out of 10,Not Available,0 out of 10,0.815,0.000,0.462,2.252,0 out of 10,0 out of 9,0 out of 10,0.852,0.091,0.975,0.876,0 out of 10,1 out of 9,1 out of 10,0.000000,0.000000,0.033708,0.023490,0 out of 10,3 out of 9,3 out of 10
110069,HOUSTON MEDICAL CENTER,1601 WATSON BOULEVARD,WARNER ROBINS,GA,31093,Houston,0.784,0.000,0.535,0.613,2 out of 10,0 out of 9,2 out of 10,0.828,0.000,0.436,0.236,7 out of 10,4 out of 9,7 out of 10,10 out of 10,0.781,0.000,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.722,0.000,0.531,0.000,10 out of 10,9 out of 9,10 out of 10,0.815,0.000,1.328,0.597,3 out of 10,5 out of 9,5 out of 10,0.852,0.091,0.558,0.527,4 out of 10,0 out of 9,4 out of 10,0.000000,0.000000,0.000000,0.000000,10 out of 10,0 out of 9,10 out of 10
110073,DORMINY MEDICAL CENTER,"200 PERRY HOUSE ROAD, BOX 1447",FITZGERALD,GA,31750,Ben Hill,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,Not Available,0.000,10 out of 10,Not Available,10 out of 10,0.000000,0.000000,0.000000,0.000000,10 out of 10,0 out of 9,10 out of 10
110074,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,1199 PRINCE AVENUE,ATHENS,GA,30606,Clarke,0.784,0.000,0.445,0.491,4 out of 10,0 out of 9,4 out of 10,0.828,0.000,0.361,0.287,6 out of 10,2 out of 9,6 out of 10,1 out of 10,0.781,0.000,1.133,0.913,0 out of 10,1 out of 9,1 out of 10,0.722,0.000,0.693,0.609,2 out of 10,1 out of 9,2 out of 10,0.815,0.000,0.363,1.064,0 out of 10,0 out of 9,0 out of 10,0.852,0.091,0.619,0.427,6 out of 10,3 out of 9,6 out of 10,0.000000,0.000000,0.000000,0.012295,0 out of 10,0 out of 9,0 out of 10
110075,EAST GEORGIA REGIONAL MEDICAL CENTER,1499 FAIR ROAD,STATESBORO,GA,30458,Bulloch,0.784,0.000,0.817,0.000,10 out of 10,9 out of 9,10 out of 10,0.828,0.000,1.892,0.000,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0.781,0.000,0.586,0.000,10 out of 10,9 out of 9,10 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,2.764,0.000,10 out of 10,9 out of 9,10 out of 10,0.852,0.091,0.756,0.336,7 out of 10,6 out of 9,7 out of 10,0.000000,0.000000,0.000000,0.000000,10 out of 10,0 out of 9,10 out of 10
110076,EMORY DECATUR HOSPITAL,2701 N DECATUR ROAD,DECATUR,GA,30033,DeKalb,0.784,0.000,0.651,0.664,2 out of 10,0 out of 9,2 out of 10,0.828,0.000,0.531,0.955,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0.781,0.000,0.964,0.716,1 out of 10,2 out of 9,2 out of 10,0.722,0.000,0.323,1.096,0 out of 10,0 out of 9,0 out of 10,0.815,0.000,1.578,0.421,5 out of 10,7 out of 9,7 out of 10,0.852,0.091,1.368,1.153,0 out of 10,1 out of 9,1 out of 10,0.000000,0.000000,0.022222,0.026316,0 out of 10,0 out of 9,0 out of 10
110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,"550 PEACHTREE STREET,  NE",ATLANTA,GA,30308,Fulton,0.784,0.000,1.387,0.488,4 out of 10,6 out of 9,6 out of 10,0.828,0.000,0.628,0.401,5 out of 10,3 out of 9,5 out of 10,1 out of 10,0.781,0.000,0.753,2.246,0 out of 10,0 out of 9,0 out of 10,0.722,0.000,0.408,0.411,4 out of 10,0 out of 9,4 out of 10,0.815,0.000,1.098,0.972,0 out of 10,1 out of 9,1 out of 10,0.852,0.091,1.042,0.998,0 out of 10,0 out of 9,0 out of 10,0.000000,0.000000,0.000000,0.009901,0 out of 10,0 out of 9,0 out of 10
110079,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE",ATLANTA,GA,30303,Fulton,0.784,0.000,1.814,0.870,0 out of 10,5 out of 9,5 out of 10,0.828,0.000,0.803,0.847,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0.781,0.000,1.669,1.078,0 out of 10,3 out of 9,3 out of 10,0.722,0.000,0.000,6.090,0 out of 10,0 out of 9,0 out of 10,0.815,0.000,1.046,0.896,0 out of 10,1 out of 9,1 out of 10,0.852,0.091,0.415,0.629,3 out of 10,0 out of 9,3 out of 10,0.000000,0.000000,0.000000,0.000000,10 out of 10,0 out of 9,10 out of 10
110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,ATLANTA,GA,30342,Fulton,0.784,0.000,0.917,0.705,1 out of 10,2 out of 9,2 out of 10,0.828,0.000,1.847,0.638,3 out of 10,6 out of 9,6 out of 10,7 out of 10,0.781,0.000,1.959,0.354,5 out of 10,8 out of 9,8 out of 10,0.722,0.000,0.934,1.235,0 out of 10,0 out of 9,0 out of 10,0.815,0.000,0.624,0.667,2 out of 10,0 out of 9,2 out of 10,0.852,0.091,0.843,0.466,5 out of 10,5 out of 9,5 out of 10,0.000000,0.000000,Not Available,Not Available,Not Available,Not Available,Not Available
110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,GA,30309,Fulton,0.784,0.000,1.599,0.792,0 out of 10,5 out of 9,5 out of 10,0.828,0.000,1.307,0.464,4 out of 10,6 out of 9,6 out of 10,1 out of 10,0.781,0.000,1.310,1.258,0 out of 10,0 out of 9,0 out of 10,0.722,0.000,1.121,0.556,3 out of 10,5 out of 9,5 out of 10,0.815,0.000,1.353,0.377,5 out of 10,7 out of 9,7 out of 10,0.852,0.091,0.442,0.375,6 out of 10,1 out of 9,6 out of 10,0.000000,0.000000,0.026144,0.045752,0 out of 10,0 out of 9,0 out of 10
110087,NORTHSIDE HOSPITAL GWINNETT,1000 MEDICAL CENTER BOULEVARD,LAWRENCEVILLE,GA,30045,Gwinnett,0.784,0.000,1.015,0.564,3 out of 10,4 out of 9,4 out of 10,0.828,0.000,0.712,1.053,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0.781,0.000,1.832,1.055,0 out of 10,4 out of 9,4 out of 10,0.722,0.000,0.893,0.331,5 out of 10,6 out of 9,6 out of 10,0.815,0.000,0.821,0.423,5 out of 10,4 out of 9,5 out of 10,0.852,0.091,0.781,0.822,1 out of 10,0 out of 9,1 out of 10,0.000000,0.000000,0.033520,0.000000,10 out of 10,9 out of 9,10 out of 10
110089,"COFFEE REGIONAL MEDICAL CENTER, INC",1101 OCILLA ROAD,DOUGLAS,GA,31533,Coffee,0.784,0.000,0.000,1.575,0 out of 10,0 out of 9,0 out of 10,0.828,0.000,0.000,0.446,5 out of 10,0 out of 9,5 out of 10,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,0.440,0.868,0 out of 10,0 out of 9,0 out of 10,0.000000,0.000000,0.000000,0.000000,10 out of 10,0 out of 9,10 out of 10
110091,PIEDMONT ROCKDALE HOSPITAL,"1412 MILSTEAD AVENUE, NE",CONYERS,GA,30012,Rockdale,0.784,0.000,0.769,0.828,0 out of 10,0 out of 9,0 out of 10,0.828,0.000,1.267,1.689,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0.781,0.000,0.851,1.586,0 out of 10,0 out of 9,0 out of 10,0.722,0.000,0.596,0.000,10 out of 10,9 out of 9,10 out of 10,0.815,0.000,3.832,0.434,5 out of 10,8 out of 9,8 out of 10,0.852,0.091,1.091,0.153,9 out of 10,9 out of 9,9 out of 10,0.000000,0.000000,0.037037,0.000000,10 out of 10,9 out of 9,10 out of 10
110092,DODGE COUNTY HOSPITAL,901 GRIFFIN AVE,EASTMAN,GA,31023,Dodge,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,0.472,0.000,10 out of 10,9 out of 9,10 out of 10,0.000000,0.000000,0.000000,0.000000,10 out of 10,0 out of 9,10 out of 10
110095,TIFT REGIONAL MEDICAL CENTER,901 E 18TH STREET,TIFTON,GA,31793,Tift,0.784,0.000,2.449,1.633,0 out of 10,3 out of 9,3 out of 10,0.828,0.000,2.999,0.870,0 out of 10,7 out of 9,7 out of 10,5 out of 10,0.781,0.000,0.293,0.355,5 out of 10,0 out of 9,5 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,0.450,0.747,1 out of 10,0 out of 9,1 out of 10,0.852,0.091,0.649,0.407,6 out of 10,4 out of 9,6 out of 10,0.000000,0.000000,0.000000,0.000000,10 out of 10,0 out of 9,10 out of 10
110104,CRISP REGIONAL HOSPITAL,902 7TH STREET NORTH,CORDELE,GA,31015,Crisp,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,2.442,0.000,10 out of 10,9 out of 9,10 out of 10,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,0.605,0.000,10 out of 10,9 out of 9,10 out of 10,0.000000,0.000000,0.054054,0.023256,0 out of 10,5 out of 9,5 out of 10
