"Facility Name","Facility ID","NPI","City","State","ZIP Code","Year","ASC-1 Measure Rate","ASC-1 Footnote","ASC-2 Measure Rate","ASC-2 Footnote","ASC-3 Measure Rate","ASC-3 Footnote","ASC-4 Measure Rate","ASC-4 Footnote","ASC-9 Rate","ASC-9 Footnote","ASC-10 Rate","ASC-10 Footnote","ASC-11 Rate","ASC-11 Footnote","ASC-13 Rate","ASC-13 Footnote","ASC-14 Rate","ASC-14 Footnote","ASC-12 Total Cases","ASC-12 Performance Category","ASC-12 RSHV Rate","ASC-12 Interval Lower Limit","ASC-12 Interval Upper Limit","ASC-12 Footnote"
NMC SURGERY CENTER LP DBA THE SURGERY CENTER OF NACOGDOCHES,45C0001267,1225064736,NACOGDOCHES,TX,75965,2018,0,,0.984,,0,,2.953,,67.19,,85.94,,N/A,5,100,,N/A,5,696,No Different than the National Rate,15,11.2,19.8,
CAROLINA SURGICAL CENTER,42C0001017,1225064876,ROCK HILL,SC,29732,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,0.53,,N/A,N/A,N/A,N/A,N/A,5
LIBERTY CATARACT CENTER LLC,26C0001078,1225070527,LIBERTY,MO,64068,2018,1.639,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,0.68,,N/A,N/A,N/A,N/A,N/A,5
COTTONWOODSOUTHWESTERN EYE CENTER,03C0001217,1225075435,COTTONWOOD,AZ,86326,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,0.11,,N/A,N/A,N/A,N/A,N/A,5
CORTEZ FOOT SURGERY CENTER PA,10C0001081,1225077241,BRADENTON,FL,34207,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
GRAMERCY SURGERY CENTER LTD,45C0001061,1225091630,HOUSTON,TX,77025,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,0,,0.76,,N/A,N/A,N/A,N/A,N/A,5
EL PASO SURGERY CENTERS LP,45C0001000,1225091721,EL PASO,TX,79902,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,1.01,,0.65,,N/A,N/A,N/A,N/A,N/A,5
OUTPATIENT WOMENS AND CHILDRENS SURGERY CENTER LTD,45C0001409,1225091739,HOUSTON,TX,77054,2018,0,,0,,0,,0,,96.83,,98.41,,N/A,5,0,,N/A,5,127,No Different than the National Rate,12.4,8.9,17.1,
GAINESVILLE EYE CENTER LLC,11C0001295,1225096134,GAINESVILLE,GA,30501,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,0.07,,N/A,N/A,N/A,N/A,N/A,5
COMMONWEALTH EYE SURGERY,18C0001032,1225107014,LEXINGTON,KY,40504,2018,0,,0,,0,,0.341,,N/A,5,N/A,5,N/A,5,N/A,5,0.06,,N/A,N/A,N/A,N/A,N/A,5
COMPREHENSIVE PAIN MANAGEMENT CENTER INC,05C0001507,1225123227,FRESNO,CA,93720,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ROCKVILLE AMBULATORY SURGERY LP,21C0001254,1225128424,ROCKVILLE,MD,20852,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,72,No Different than the National Rate,12,8.5,16.8,
VALLEY AMBULATORY SURGICAL CENTER,39C0001233,1225133994,BETHLEHEM,PA,18020,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,154,No Different than the National Rate,12.3,8.7,17.3,
NORTHEAST AMBULATORY CENTER INC,22C0001024,1225140510,STONEHAM,MA,2180,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
THE SURGERY CENTER OF RIVERSIDE,05C0001097,1225184153,RIVERSIDE,CA,92503,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
LOS ANGELES ENDOSCOPY CENTER,05C0001405,1225188808,LOS ANGELES,CA,90020,2018,0,,0,,0,,0,,11.24,,57.62,,N/A,5,N/A,5,N/A,5,726,No Different than the National Rate,11.7,8.7,15.6,
ST MARKS SURGICAL CENTER LLC,10C0001498,1225199482,FORT MYERS,FL,33912,2018,0,,0,,0.696,,0.232,,N/A,5,N/A,5,N/A,5,N/A,5,0.79,,N/A,N/A,N/A,N/A,N/A,5
GALLERIA SURGERY CENTER LLC,21C0001040,1225221435,HAGERSTOWN,MD,21740,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,93.75,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
WESTERN CAROLINA ENDOSCOPY CENTER LLC,34C0001141,1225225592,FRANKLIN,NC,28734,2018,0,,0,,0,,0,,93.46,,95.95,,N/A,5,57.95,,N/A,5,1228,No Different than the National Rate,11.4,8.6,15,
GULF COAST SURGICAL CENTER,19C0001111,1225228547,HOUMA,LA,70360,2018,0,,0,,0,,0,,100,,100,,N/A,5,91.81,,N/A,5,141,No Different than the National Rate,12.2,8.8,16.8,
VALLEY EYE AND LASER CENTER INCPS,50C0001237,1225230634,RENTON,WA,98055,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
FRESNO ENDOSCOPY CENTER,05C0001419,1225245723,FRESNO,CA,93720,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,562,No Different than the National Rate,11.7,8.8,16,
EYE ASSOCIATES SURGERY CENTER INC,50C0001279,1225252257,MOUNT VERNON,WA,98274,2018,0,,0,,0,,0.734,,N/A,5,N/A,5,84.78,,N/A,5,0,,N/A,N/A,N/A,N/A,N/A,5
SMOKE RANCH SURGERY CENTER LLC,29C0001081,1225263775,LAS VEGAS,NV,89128,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MAIN LINE PA ENDOSCOPY ASC LP DBA MAIN LINE ENDOSCOPY CENTER SOUTH,39C0001135,1225268915,MEDIA,PA,19063,2018,0,,0,,0,,0,,79.5,,38.36,,N/A,5,N/A,5,N/A,5,800,No Different than the National Rate,12.6,9.4,16.8,
MAIN STREET SPECIALTY SURGERY CENTER LLC,05C0001579,1225275688,ORANGE,CA,92868,2018,0,,0,,0,,0.418,,89.02,,96.88,,N/A,5,100,,N/A,5,759,No Different than the National Rate,10.7,7.9,14.5,
ASC DEVELOPMENT COMPANY LLC,21C0001458,1225286354,BOWIE,MD,20715,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
WEST NORMAN ENDOSCOPY CENTER LLC,37C0001061,1225297138,NORMAN,OK,73072,2018,0,,0,,0,,0,,28.38,,6.36,,N/A,5,N/A,5,N/A,5,2350,No Different than the National Rate,14.9,11.9,18.7,
CROWN VALLEY OUTPATIENT SURGICAL CENTER LLC,05C0001995,1225308257,MISSION VIEJO,CA,92691,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,118,No Different than the National Rate,12.4,8.8,17.4,
SOUTHERN CROSS SURGERY CENTER LLC,11C0001380,1225321508,CONYERS,GA,30012,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
FACILITIES BILLING ASSOCIATES LLC,03C0001332,1225359359,SCOTTSDALE,AZ,85262,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
GASTROENTEROLOGY CONSULTANTS OF SAN ANTONIO NE,45C0001477,1225375587,SAN ANTONIO,TX,78258,2018,0,,0,,0,,0,,100,,100,,N/A,5,N/A,5,N/A,5,3562,No Different than the National Rate,11.7,9.4,14.5,
WHITE OAK SURGERY CENTER,11C0001407,1225378276,NEWMAN,GA,30265,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PCET SURGERY CENTER LLC,44C0001181,1225387640,KNOXVILLE,TN,37909,2018,0.546,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
TRI STATE ADVANCED SURGERY CENTER LLC,04C0001085,1225398480,MARION,AR,72364,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,92.61,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
LV SURGERY CTR LLC,29C0001116,1225414246,LAS VEGAS,NV,89120,2018,0,,0,,0,,0.971,,0,,74.35,,N/A,5,N/A,5,N/A,5,761,No Different than the National Rate,12.2,9.1,16.7,
ADVANCED SURGERY CENTER OF SAN ANTONIO LLC,45C0001580,1225439250,SAN ANTONIO,TX,78259,2018,4.362,,4.367,,4.367,,0,,N/A,5,N/A,5,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
NORTHRIDGE OUTPATIENT SURGERY CENTER INC,05C0002090,1225439508,NORTHRIDGE,CA,91324,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
NEVADA SURGICAL SUITES,29C0001107,1225440969,LAS VEGAS,NV,89102,2018,0.713,,0.712,,0.712,,1.425,,N/A,5,N/A,5,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SENTARA MARTHA JEFFERSON OUTPATIENT SURGERY CENTER,49C0001061,1225452303,CHARLOTTESVILLE,VA,22911,2018,0,,0,,0,,1.718,,N/A,5,N/A,5,N/A,5,100,,2.8,,N/A,N/A,N/A,N/A,N/A,5
AHS SURGERY CENTER CANTON LLC,11C0001421,1225457948,CANTON,GA,30114,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
AOS SURGERY CENTER LLC,11C0001435,1225458755,AUGUSTA,GA,30909,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
GI PHYSICIANS ENDOSCOPY INC,36C0001286,1225462179,WARREN,OH,44483,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,53,No Different than the National Rate,12.3,9,17.3,
OLNEY ENDOSCOPY CENTER LLC,21C0001475,1225490196,OLNEY,MD,20832,2018,0,,0,,0,,0,,N/A,5,N/A,1,N/A,5,N/A,5,N/A,5,42,No Different than the National Rate,12,8.8,16.5,
LANGLEY HOLDINGS LLC,37C0001069,1225497019,TULSA,OK,74133,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,0.14,,N/A,N/A,N/A,N/A,N/A,5
WAKE FOREST AMBULATORY VENTURES DBA WAKE FOREST BAPTIST HEALTH OUTPATIENT SURGERY CENTER,34C0001198,1225568884,WINSTON SALEM,NC,27103,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CLINICAL NEPHROLOGY ASSOC INC PC DBA METRO VASCULAR CENTER,39C0001332,1225576978,PHILADELPHIA,PA,19107,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
THE OREGON CLINIC,38C0001063,1225588924,PORTLAND,OR,97225,2018,0,,0,,0,,0.659,,97.92,,98.96,,N/A,5,N/A,5,N/A,5,1939,No Different than the National Rate,12.5,9.6,16.3,
AUSTIN ENDOSCOPY CENTER I LP,45C0001288,1235100074,AUSTIN,TX,78757,2018,0.253,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,8095,No Different than the National Rate,14.3,12.1,16.7,
VALLEY ENDOSCOPY CENTER,45C0001173,1235102344,HARLINGEN,TX,78550,2018,0,,0,,0,,0,,93.1,,0,,N/A,5,N/A,5,N/A,5,475,No Different than the National Rate,14.2,10.6,19.1,
THE OVERLAND PARK KS ENDOSCOPY ASC LLC DBA ENDOSCOPIC IMAGING CENTER,17C0001052,1235104738,OVERLAND PARK,KS,66212,2018,0,,0,,0,,1.753,,90.78,,92.13,,N/A,5,N/A,5,N/A,5,3048,No Different than the National Rate,13.1,10.3,16.7,
GURLEY SURGERY CENTER,44C0001148,1235105248,NASHVILLE,TN,37203,2018,0,,0,,27.027,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
VALLEY SURGERY CENTER LP,05C0001659,1235106782,MODESTO,CA,95355,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,88.46,,0.43,,N/A,N/A,N/A,N/A,N/A,5
UC REGENTS UCLA DEPT OF MEDICINE PROFESSIONAL GROUP,05C0002058,1235107566,LOS ANGELES,CA,90095,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,866,No Different than the National Rate,12.7,9.6,17,
MT PLEASANT SURGICAL CENTER LTD,45C0001216,1235112814,MOUNT PLEASANT,TX,75455,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,0.09,,N/A,N/A,N/A,N/A,N/A,5
SURGERY CENTER OF CHESAPEAKE LLC,49C0001024,1235115239,CHESAPEAKE,VA,23320,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,0.37,,N/A,N/A,N/A,N/A,N/A,5
ALLEGANY AMBULATORY SURGERY CENTER LLC,21C0001348,1235117052,CUMBERLAND,MD,21502,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,98.55,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
AUGUSTA RETINA LASER SURGICARE,11C0001167,1235118043,AUGUSTA,GA,30909,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CYPRESS AMBULATORY SURGERY CENTER,05C0001521,1235132481,SANTA MARIA,CA,93454,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ENDOSCOPY CENTER OF KINGSPORT,44C0001038,1235140385,KINGSPORT,TN,37660,2018,0,,0,,0,,0,,76.14,,30.16,,N/A,5,N/A,5,N/A,5,881,No Different than the National Rate,14,10.6,18.6,
MONTPELIER SURGERY CENTER,05C0001530,1235155730,SAN JOSE,CA,95116,2018,0.867,,0,,0,,0,,100,,100,,N/A,5,N/A,5,N/A,5,1648,No Different than the National Rate,11.2,8.5,14.9,
SEVEN SPRINGS SURGERY CENTER INC,10C0001153,1235163171,NEW PORT RICHEY,FL,34655,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,0.57,,N/A,N/A,N/A,N/A,N/A,5
LAKE SURGERY AND ENDOSCOPY CENTER LTD,10C0001244,1235165531,LEESBURG,FL,34788,2018,0,,0,,0,,0,,97.7,,97.93,,N/A,5,N/A,5,N/A,5,870,No Different than the National Rate,12.2,9.2,16.2,
HUNTSVILLE ENDOSCOPY CENTER,01C0001025,1235178005,HUNTSVILLE,AL,35801,2018,0,,0,,0,,0,,95.47,,96.09,,N/A,5,N/A,5,N/A,5,914,No Different than the National Rate,12.5,9.3,17,
SUBURBAN ENDOSCOPY CENTER LLC,31C0001162,1235178146,VERONA,NJ,7044,2018,0,,0,,0,,0,,11.25,,23.1,,N/A,5,N/A,5,N/A,5,1558,No Different than the National Rate,11.7,8.8,15.4,
NOBLE SURGERY CENTER,05C0001606,1235187972,VISALIA,CA,93277,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,92.86,,0.13,,N/A,N/A,N/A,N/A,N/A,5
ATLANTIC GASTROENTEROLOGY ENDOSCOPY,34C0001126,1235189739,GREENVILLE,NC,27834,2018,0,,0,,0,,0,,98.14,,84.76,,N/A,5,N/A,5,N/A,5,1219,No Different than the National Rate,13.6,10.5,17.6,
NORTH COAST SURGERY CENTER LTD,55C0001023,1235195033,OCEANSIDE,CA,92056,2018,0,,0.651,,0,,0,,N/A,5,N/A,5,N/A,5,100,,0.9,,N/A,N/A,N/A,N/A,N/A,5
SSM HEALTH DAVIS DUEHR DEAN SURGERY CENTER,52C0001005,1235201369,MADISON,WI,53715,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,89.59,,0.85,,N/A,N/A,N/A,N/A,N/A,5
FIFTH AVE SURGERY CENTER LLC,33C0001022,1235220682,NEW YORK,NY,10028,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
NEW JERSEY EYE CENTER PA,31C0001008,1235234055,BERGENFIELD,NJ,7621,2018,0,,0,,0,,0,,N/A,5,N/A,5,100,,N/A,5,0,,N/A,N/A,N/A,N/A,N/A,5
MAIN LINE PA ENDOSCOPY ASC LP DBA MAIN LINE ENDOSCOPY CENTER EAST,39C0001149,1235239054,BALA CYNWYD,PA,19004,2018,0,,0,,0,,0,,92.64,,64.15,,N/A,5,N/A,5,N/A,5,2419,No Different than the National Rate,11.2,8.7,14.3,
NORTH MISSISSIPPI AMBULATORY SURGERY CENTER LLC,25C0001005,1235240813,TUPELO,MS,38801,2018,0,,0,,0,,0,,N/A,5,N/A,5,99.87,,100,,0,,N/A,N/A,N/A,N/A,N/A,5
SAN ANTONIO ASC LP DBA SPECIALTY SURGERY CENTER,45C0001227,1235241688,SAN ANTONIO,TX,78240,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,0.3,,N/A,N/A,N/A,N/A,N/A,5
EAGLE EYE SURGERY AND LASER CENTER LLC,13C0001032,1235255605,MERIDIAN,ID,83642,2018,0,,0,,0,,0.543,,N/A,5,N/A,5,N/A,5,N/A,5,0.19,,N/A,N/A,N/A,N/A,N/A,5
DAYTON EYE SURGERY CENTER LLC,36C0001126,1235285628,DAYTON,OH,45440,2018,0,,0,,0.422,,0.422,,N/A,5,N/A,5,N/A,5,100,,0.17,,N/A,N/A,N/A,N/A,N/A,5
EYESIGHT LASER AND SURGERY CTR,11C0001178,1235289448,WARNER ROBINS,GA,31088,2018,0.7,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
BERGMAN EYE SURGERY CENTER LLC,21C0001482,1235304312,HAGERSTOWN,MD,21740,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,0.36,,N/A,N/A,N/A,N/A,N/A,5
SURGICARE SURGICAL ASSOCIATES OF MAHWAH LLC,31C0001242,1235321571,MAHWAH,NJ,7430,2018,0,,0,,0,,0,,N/A,1,N/A,5,N/A,5,100,,0,,193,No Different than the National Rate,11.8,8.5,16.2,
EAST BAY ENDOSCOPY CENTER LLC,41C0001013,1235348335,PORTSMOUTH,RI,2871,2018,0,,0,,0,,0,,100,,100,,N/A,5,N/A,5,N/A,5,973,No Different than the National Rate,11,8.2,14.6,
JAMES P THOMPSON MD PA,21C0001035,1235354002,EASTON,MD,21601,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,0.17,,N/A,N/A,N/A,N/A,N/A,5
CORONADO SURGERY CENTER LLC,29C0001076,1235363987,HENDERSON,NV,89052,2018,0,,0,,0,,3.175,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
LAGRANGE SURGERY CENTER LLC,15C0001173,1235372277,LAGRANGE,IN,46761,2018,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,74,No Different than the National Rate,12.3,8.8,17,
KANIS ENDOSCOPY CENTER,04C0001014,1235376104,LITTLE ROCK,AR,72205,2018,0,,0,,0,,0.551,,1.54,,71.16,,N/A,5,N/A,5,N/A,5,1191,Worse than the National Rate,16.9,13.2,22.2,
PHYSICIANS OUTPATIENT SURGERY CENTER LLC,10C0001497,1235393356,FORT LAUDERDALE,FL,33334,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,0,,N/A,N/A,N/A,N/A,N/A,5
BRECKSVILLE SURGERY CTR,36C0001250,1235394529,BRECKSVILLE,OH,44141,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,94.29,,0.63,,N/A,N/A,N/A,N/A,N/A,5
TENN SM LLC DBA PROVIDENCE SURGERY CENTER,44C0001169,1235395385,MT JULIET,TN,37122,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SURGERY CENTER OF ANNAPOLIS LLC,21C0001532,1235416959,ANNAPOLIS,MD,21401,2018,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MINNESOTA ENDOSCOPY CENTER LLC,24C0001087,1235539180,ST PAUL,MN,55114,2018,0,,0,,0,,1.403,,93.93,,81.09,,N/A,5,N/A,5,N/A,5,832,No Different than the National Rate,14.6,10.9,19.3,
LONG ISLAND DIGESTIVE ENDOSCOPY CENTER LLC,33C0001143,1235551052,PORT JEFFERSON STATIO,NY,11776,2018,0,,0,,0,,1.328,,96.38,,97.33,,N/A,5,N/A,5,N/A,5,3413,No Different than the National Rate,12.2,9.8,15,
SKIN CANCER SPECIALISTS SURGERY CENTER LLC,11C0001437,1235559378,MARIETTA,GA,30060,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
WENTWORTH SURGERY CENTER LLC,30C0001034,1235567264,SOMERSWORTH,NH,3878,2018,0,,0,,0,,0,,97.24,,96.77,,N/A,5,68.59,,N/A,5,377,No Different than the National Rate,12.8,9.2,17.5,
REDLANDS MESA SURGERY CENTER LLC,06C0001147,1235568981,TOLEDO,OH,43617,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ATHENS ORTHOPEDIC CLINIC AMBULATORY SURGERY CENTER LOGANVILLE LLC,11C0001477,1235677808,ATHENS,GA,30606,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ASSOCIATED SURGICAL CENTER LLC,14C0001169,1235683798,ARLINGTON HEIGHTS,IL,60004,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,62,No Different than the National Rate,12.3,8.8,17,
OAKS SURGICAL CENTERLLC,05C0002152,1235686791,BAKERSFIELD,CA,93311,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PALM BEACH EYE CLINIC,10C0001054,1245201425,WEST PALM BEACH,FL,33407,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CDH ENDOSCOPY CENTER,36C0001087,1245202472,WILLOUGHBY,OH,44094,2018,0,,0,,0,,0,,92.23,,100,,N/A,5,N/A,5,N/A,5,622,No Different than the National Rate,11.8,8.6,16.2,
CDI TWIN CITIES ASC LLC,24C0001040,1245207687,SAINT LOUIS PARK,MN,55416,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CDI TWIN CITIES ASC LLC,24C0001081,1245207687,WOODBURY,MN,55125,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
THE FOOT SURGERY CTR OF SHREVEPORT,19C0001026,1245215706,SHREVEPORT,LA,71118,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SCRIPPS HEALTH,05C0001719,1245216928,SAN DIEGO,CA,92130,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,70.18,,0,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
QUAD CITY ENDOSCOPY LLC,14C0001046,1245218411,MOLINE,IL,61265,2018,0,,0,,0,,0,,57.14,,100,,N/A,5,N/A,5,N/A,5,1158,No Different than the National Rate,14.2,10.9,18.5,
NORTHRIDGE SURGERY CENTER LP,44C0001008,1245233220,MADISON,TN,37115,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,0,,N/A,N/A,N/A,N/A,N/A,5
SURGICAL SPECIALTY CENTER OF NORTHEASTERN PENNSYLVANIA LLC,39C0001112,1245233410,FORTY FORT,PA,18704,2018,0,,0,,0,,0.33,,N/A,5,N/A,5,N/A,5,93.75,,0.03,,N/A,N/A,N/A,N/A,N/A,5
SPECTRA EYE INSTITUTE LLC,03C0001237,1245233923,SUN CITY,AZ,85351,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,0.42,,N/A,N/A,N/A,N/A,N/A,5
SURGERY CENTER OF GILBERT LLC,03C0001253,1245239656,MESA,AZ,85206,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,0.68,,N/A,N/A,N/A,N/A,N/A,5
GAINESVILLE UROLOGY ASC LLC,11C0001226,1245241694,GAINESVILLE,GA,30501,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
FCG LLC DBA RHAWN ST ENDOSCOPY CENTER,39C0001223,1245253533,PHILADELPHIA,PA,19111,2018,1.458,,0,,0,,0,,81.29,,98.95,,N/A,5,N/A,5,N/A,5,1044,No Different than the National Rate,11.7,8.7,15.9,
CHATTANOOGA PAIN MANAGEMENT CENTER LLC DBA CHATTANOOGA PAIN SURGERY CENTER,44C0001155,1245263292,HIXSON,TN,37343,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ABILENE SPINE AND JOINT SURGERY CENTER PA,45C0001261,1245266790,ABILENE,TX,79606,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SOUTHERN CRESCENT ENDOSCOPY SUITE PC,11C0001082,1245276195,STOCKBRIDGE,GA,30281,2018,0,,0,,0,,1.297,,93.15,,1.74,,N/A,5,N/A,5,N/A,5,1283,No Different than the National Rate,12.4,9.4,16.3,
EAGLE HIGHLANDS SURGERY CENTER LLC,15C0001149,1245287697,INDIANAPOLIS,IN,46254,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,600,No Different than the National Rate,13,9.5,17.7,
SURGICAL CENTER OF GREENSBORO LLC,34C0001008,1245288257,GREENSBORO,NC,27401,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,0.37,,N/A,N/A,N/A,N/A,N/A,5
ELLIOT 1 DAY SURGERY CENTER,30C0001002,1245291350,MANCHESTER,NH,3101,2018,0,,0,,0,,0,,95.71,,84.29,,N/A,5,100,,0,,74,No Different than the National Rate,13.2,9.3,18.5,
WOODLAND SURGERY CENTER LLC,52C0001048,1245297662,APPLETON,WI,54913,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
THE SURGICAL PAVILION LLC,04C0001043,1245297829,LITTLE ROCK,AR,72205,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,94.87,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
