Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Floor,Communication with Nurses Achievement Threshold,Communication with Nurses Benchmark,Communication with Nurses Baseline Rate,Communication with Nurses Performance Rate,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Floor,Communication with Doctors Achievement Threshold,Communication with Doctors Benchmark,Communication with Doctors Baseline Rate,Communication with Doctors Performance Rate,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Floor,Responsiveness of Hospital Staff Achievement Threshold,Responsiveness of Hospital Staff Benchmark,Responsiveness of Hospital Staff Baseline Rate,Responsiveness of Hospital Staff Performance Rate,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Care Transition Floor,Care Transition Achievement Threshold,Care Transition Benchmark,Care Transition Baseline Rate,Care Transition Performance Rate,Care Transition Achievement Points,Care Transition Improvement Points,Care Transition Dimension Score,Communication about Medicines Floor,Communication about Medicines Achievement Threshold,Communication about Medicines Benchmark,Communication about Medicines Baseline Rate,Communication about Medicines Performance Rate,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Floor,Cleanliness and Quietness of Hospital Environment Achievement Threshold,Cleanliness and Quietness of Hospital Environment Benchmark,Cleanliness and Quietness of Hospital Environment Baseline Rate,Cleanliness and Quietness of Hospital Environment Performance Rate,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Floor,Discharge Information Achievement Threshold,Discharge Information Benchmark,Discharge Information Baseline Rate,Discharge Information Performance Rate,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Floor,Overall Rating of Hospital Achievement Threshold,Overall Rating of Hospital Benchmark,Overall Rating of Hospital Baseline Rate,Overall Rating of Hospital Performance Rate,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
100099,ADVENTHEALTH LAKE WALES,410 S 11TH ST,LAKE WALES,FL,33853,Polk,51.80,79.08,87.12,73.25,68.19,0 out of 10,0 out of 9,0 out of 10,50.67,80.41,88.44,71.22,70.53,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,61.60,58.25,0 out of 10,0 out of 9,0 out of 10,20.33,51.14,62.50,42.00,40.30,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,55.90,51.63,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,67.45,58.63,0 out of 10,0 out of 9,0 out of 10,66.72,87.44,92.11,82.63,78.41,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,63.47,55.16,0 out of 10,0 out of 9,0 out of 10,0,11
100102,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,368 NE FRANKLIN ST,LAKE CITY,FL,32055,Columbia,51.80,79.08,87.12,75.19,76.43,0 out of 10,1 out of 9,1 out of 10,50.67,80.41,88.44,79.08,75.27,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,60.71,63.41,0 out of 10,1 out of 9,1 out of 10,20.33,51.14,62.50,46.00,44.35,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,59.25,59.40,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,62.01,63.76,0 out of 10,1 out of 9,1 out of 10,66.72,87.44,92.11,82.32,81.09,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,65.05,63.76,0 out of 10,0 out of 9,0 out of 10,3,13
100105,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,1000 36TH ST,VERO BEACH,FL,32960,Indian River,51.80,79.08,87.12,72.39,74.73,0 out of 10,1 out of 9,1 out of 10,50.67,80.41,88.44,77.80,73.79,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,59.46,65.58,1 out of 10,2 out of 9,2 out of 10,20.33,51.14,62.50,42.15,49.16,0 out of 10,3 out of 9,3 out of 10,26.16,63.30,73.86,52.45,60.68,0 out of 10,3 out of 9,3 out of 10,41.92,65.72,79.42,57.04,55.17,0 out of 10,0 out of 9,0 out of 10,66.72,87.44,92.11,82.93,84.98,0 out of 10,2 out of 9,2 out of 10,32.47,71.59,85.12,63.89,66.66,0 out of 10,1 out of 9,1 out of 10,12,11
100107,LEHIGH REGIONAL MEDICAL CENTER,1500 LEE BLVD,LEHIGH ACRES,FL,33936,Lee,51.80,79.08,87.12,69.49,71.92,0 out of 10,1 out of 9,1 out of 10,50.67,80.41,88.44,72.87,74.68,0 out of 10,1 out of 9,1 out of 10,35.74,65.07,80.14,60.96,60.47,0 out of 10,0 out of 9,0 out of 10,20.33,51.14,62.50,38.62,41.23,0 out of 10,1 out of 9,1 out of 10,26.16,63.30,73.86,53.18,53.79,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,65.74,63.07,0 out of 10,0 out of 9,0 out of 10,66.72,87.44,92.11,78.04,83.20,0 out of 10,3 out of 9,3 out of 10,32.47,71.59,85.12,55.62,55.22,0 out of 10,0 out of 9,0 out of 10,6,11
100109,ADVENTHEALTH SEBRING,4200 SUN N LAKE BLVD,SEBRING,FL,33871,Highlands,51.80,79.08,87.12,75.65,76.92,0 out of 10,1 out of 9,1 out of 10,50.67,80.41,88.44,75.03,75.40,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,60.23,63.98,0 out of 10,1 out of 9,1 out of 10,20.33,51.14,62.50,49.73,51.44,1 out of 10,1 out of 9,1 out of 10,26.16,63.30,73.86,63.30,60.86,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,67.18,68.52,2 out of 10,1 out of 9,2 out of 10,66.72,87.44,92.11,89.02,88.97,3 out of 10,0 out of 9,3 out of 10,32.47,71.59,85.12,70.26,70.64,0 out of 10,0 out of 9,0 out of 10,8,16
100110,OSCEOLA REGIONAL MEDICAL CENTER,700 WEST OAK STREET,KISSIMMEE,FL,34741,Osceola,51.80,79.08,87.12,72.77,73.86,0 out of 10,0 out of 9,0 out of 10,50.67,80.41,88.44,75.44,74.44,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,62.96,62.62,0 out of 10,0 out of 9,0 out of 10,20.33,51.14,62.50,42.01,42.71,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,57.39,59.48,0 out of 10,1 out of 9,1 out of 10,41.92,65.72,79.42,62.84,62.41,0 out of 10,0 out of 9,0 out of 10,66.72,87.44,92.11,81.51,79.51,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,61.19,63.81,0 out of 10,1 out of 9,1 out of 10,2,12
100113,UF HEALTH SHANDS HOSPITAL,1600 SW ARCHER RD,GAINESVILLE,FL,32610,Alachua,51.80,79.08,87.12,77.22,79.06,0 out of 10,1 out of 9,1 out of 10,50.67,80.41,88.44,77.55,79.28,0 out of 10,1 out of 9,1 out of 10,35.74,65.07,80.14,60.15,62.67,0 out of 10,1 out of 9,1 out of 10,20.33,51.14,62.50,53.65,54.40,3 out of 10,0 out of 9,3 out of 10,26.16,63.30,73.86,61.53,62.43,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,59.34,62.99,0 out of 10,1 out of 9,1 out of 10,66.72,87.44,92.11,87.26,87.49,1 out of 10,0 out of 9,1 out of 10,32.47,71.59,85.12,73.51,74.56,2 out of 10,0 out of 9,2 out of 10,10,17
100117,BAPTIST MEDICAL CENTER - BEACHES,1350 13TH AVE S,JACKSONVILLE BEACH,FL,32250,Duval,51.80,79.08,87.12,81.35,82.06,4 out of 10,1 out of 9,4 out of 10,50.67,80.41,88.44,81.37,83.68,4 out of 10,3 out of 9,4 out of 10,35.74,65.07,80.14,65.81,65.72,1 out of 10,0 out of 9,1 out of 10,20.33,51.14,62.50,54.81,57.25,5 out of 10,3 out of 9,5 out of 10,26.16,63.30,73.86,66.24,64.62,2 out of 10,0 out of 9,2 out of 10,41.92,65.72,79.42,65.62,68.53,2 out of 10,2 out of 9,2 out of 10,66.72,87.44,92.11,83.85,88.86,3 out of 10,6 out of 9,6 out of 10,32.47,71.59,85.12,77.81,79.26,6 out of 10,1 out of 9,6 out of 10,30,20
100118,ADVENTHEALTH PALM COAST,60 MEMORIAL MEDICAL PKWY,PALM COAST,FL,32164,Flagler,51.80,79.08,87.12,78.76,80.09,2 out of 10,1 out of 9,2 out of 10,50.67,80.41,88.44,78.12,78.06,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,68.11,70.41,4 out of 10,1 out of 9,4 out of 10,20.33,51.14,62.50,47.76,48.25,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,66.77,61.82,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,67.74,69.55,3 out of 10,1 out of 9,3 out of 10,66.72,87.44,92.11,87.44,87.02,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,66.50,68.01,0 out of 10,0 out of 9,0 out of 10,9,18
100121,BARTOW REGIONAL MEDICAL CENTER,2200 OSPREY BLVD,BARTOW,FL,33831,Polk,51.80,79.08,87.12,74.21,80.18,2 out of 10,4 out of 9,4 out of 10,50.67,80.41,88.44,77.46,74.42,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,62.11,72.73,5 out of 10,5 out of 9,5 out of 10,20.33,51.14,62.50,46.58,53.29,2 out of 10,4 out of 9,4 out of 10,26.16,63.30,73.86,57.01,62.77,0 out of 10,3 out of 9,3 out of 10,41.92,65.72,79.42,67.38,69.80,3 out of 10,2 out of 9,3 out of 10,66.72,87.44,92.11,84.56,86.45,0 out of 10,2 out of 9,2 out of 10,32.47,71.59,85.12,65.66,72.11,1 out of 10,3 out of 9,3 out of 10,24,15
100122,NORTH OKALOOSA MEDICAL CENTER,151 REDSTONE AVE SE,CRESTVIEW,FL,32539,Okaloosa,51.80,79.08,87.12,77.37,71.82,0 out of 10,0 out of 9,0 out of 10,50.67,80.41,88.44,80.09,74.06,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,63.07,61.09,0 out of 10,0 out of 9,0 out of 10,20.33,51.14,62.50,49.96,44.11,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,59.46,60.57,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,65.37,63.48,0 out of 10,0 out of 9,0 out of 10,66.72,87.44,92.11,87.39,84.23,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,66.69,57.16,0 out of 10,0 out of 9,0 out of 10,0,12
100124,SANTA ROSA MEDICAL CENTER,6002 BERRYHILL RD,MILTON,FL,32570,Santa Rosa,51.80,79.08,87.12,73.00,75.05,0 out of 10,1 out of 9,1 out of 10,50.67,80.41,88.44,77.69,75.43,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,58.53,66.03,1 out of 10,3 out of 9,3 out of 10,20.33,51.14,62.50,45.63,46.26,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,59.45,58.59,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,63.88,63.89,0 out of 10,0 out of 9,0 out of 10,66.72,87.44,92.11,86.24,86.28,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,62.33,66.61,0 out of 10,1 out of 9,1 out of 10,5,16
100125,HOMESTEAD HOSPITAL,975 BAPTIST WAY,HOMESTEAD,FL,33033,Miami-Dade,51.80,79.08,87.12,77.88,78.30,0 out of 10,0 out of 9,0 out of 10,50.67,80.41,88.44,79.30,75.95,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,66.33,63.88,0 out of 10,0 out of 9,0 out of 10,20.33,51.14,62.50,56.40,50.68,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,68.14,62.10,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,77.13,71.72,4 out of 10,0 out of 9,4 out of 10,66.72,87.44,92.11,85.25,84.85,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,71.87,70.76,0 out of 10,0 out of 9,0 out of 10,4,17
100126,PALMS OF PASADENA HOSPITAL,1501 PASADENA AVE S,SAINT PETERSBURG,FL,33707,Pinellas,51.80,79.08,87.12,75.58,76.36,0 out of 10,0 out of 9,0 out of 10,50.67,80.41,88.44,77.56,76.21,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,61.22,72.75,5 out of 10,6 out of 9,6 out of 10,20.33,51.14,62.50,48.53,54.05,3 out of 10,3 out of 9,3 out of 10,26.16,63.30,73.86,63.91,64.04,1 out of 10,0 out of 9,1 out of 10,41.92,65.72,79.42,59.89,64.00,0 out of 10,2 out of 9,2 out of 10,66.72,87.44,92.11,84.37,85.80,0 out of 10,1 out of 9,1 out of 10,32.47,71.59,85.12,64.27,68.84,0 out of 10,2 out of 9,2 out of 10,15,17
100127,MORTON PLANT HOSPITAL,300 PINELLAS ST,CLEARWATER,FL,33756,Pinellas,51.80,79.08,87.12,82.36,80.25,2 out of 10,0 out of 9,2 out of 10,50.67,80.41,88.44,79.77,78.45,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,68.64,66.39,1 out of 10,0 out of 9,1 out of 10,20.33,51.14,62.50,57.01,56.28,5 out of 10,0 out of 9,5 out of 10,26.16,63.30,73.86,66.00,65.43,2 out of 10,0 out of 9,2 out of 10,41.92,65.72,79.42,62.39,64.30,0 out of 10,1 out of 9,1 out of 10,66.72,87.44,92.11,89.25,88.58,3 out of 10,0 out of 9,3 out of 10,32.47,71.59,85.12,78.24,79.40,6 out of 10,1 out of 9,6 out of 10,20,18
100128,TAMPA GENERAL HOSPITAL,1 TAMPA GENERAL CIR,TAMPA,FL,33606,Hillsborough,51.80,79.08,87.12,78.47,80.97,3 out of 10,2 out of 9,3 out of 10,50.67,80.41,88.44,76.49,79.48,0 out of 10,2 out of 9,2 out of 10,35.74,65.07,80.14,62.52,64.05,0 out of 10,0 out of 9,0 out of 10,20.33,51.14,62.50,53.62,57.18,5 out of 10,4 out of 9,5 out of 10,26.16,63.30,73.86,61.32,65.31,2 out of 10,3 out of 9,3 out of 10,41.92,65.72,79.42,63.27,66.91,1 out of 10,2 out of 9,2 out of 10,66.72,87.44,92.11,86.54,86.75,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,74.27,77.75,5 out of 10,3 out of 9,5 out of 10,20,19
100130,LAKESIDE MEDICAL CENTER,39200 HOOKER HWY,BELLE GLADE,FL,33430,Palm Beach,51.80,79.08,87.12,75.84,77.48,0 out of 10,1 out of 9,1 out of 10,50.67,80.41,88.44,83.45,85.24,6 out of 10,3 out of 9,6 out of 10,35.74,65.07,80.14,62.88,68.29,2 out of 10,3 out of 9,3 out of 10,20.33,51.14,62.50,61.26,49.31,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,64.75,66.01,3 out of 10,1 out of 9,3 out of 10,41.92,65.72,79.42,74.33,75.58,7 out of 10,2 out of 9,7 out of 10,66.72,87.44,92.11,84.30,84.05,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,65.56,66.86,0 out of 10,0 out of 9,0 out of 10,20,16
100131,AVENTURA HOSPITAL AND MEDICAL CENTER,20900 BISCAYNE BLVD,AVENTURA,FL,33180,Miami-Dade,51.80,79.08,87.12,70.50,67.68,0 out of 10,0 out of 9,0 out of 10,50.67,80.41,88.44,76.39,73.36,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,56.44,57.91,0 out of 10,0 out of 9,0 out of 10,20.33,51.14,62.50,39.53,38.70,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,56.13,51.37,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,65.20,62.52,0 out of 10,0 out of 9,0 out of 10,66.72,87.44,92.11,79.13,76.13,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,60.38,59.46,0 out of 10,0 out of 9,0 out of 10,0,9
100132,SOUTH FLORIDA BAPTIST HOSPITAL,301 N ALEXANDER ST,PLANT CITY,FL,33563,Hillsborough,51.80,79.08,87.12,79.55,80.89,3 out of 10,1 out of 9,3 out of 10,50.67,80.41,88.44,76.33,76.90,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,66.90,69.07,3 out of 10,1 out of 9,3 out of 10,20.33,51.14,62.50,54.13,53.24,2 out of 10,0 out of 9,2 out of 10,26.16,63.30,73.86,66.14,67.06,4 out of 10,1 out of 9,4 out of 10,41.92,65.72,79.42,68.22,68.38,2 out of 10,0 out of 9,2 out of 10,66.72,87.44,92.11,88.26,89.78,5 out of 10,3 out of 9,5 out of 10,32.47,71.59,85.12,74.87,74.20,2 out of 10,0 out of 9,2 out of 10,21,17
100135,TALLAHASSEE MEMORIAL HOSPITAL,1300 MICCOSUKEE RD,TALLAHASSEE,FL,32308,Leon,51.80,79.08,87.12,79.64,77.20,0 out of 10,0 out of 9,0 out of 10,50.67,80.41,88.44,81.82,79.94,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,64.60,53.94,0 out of 10,0 out of 9,0 out of 10,20.33,51.14,62.50,53.60,44.88,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,63.80,58.90,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,68.23,58.66,0 out of 10,0 out of 9,0 out of 10,66.72,87.44,92.11,84.17,81.09,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,72.22,64.81,0 out of 10,0 out of 9,0 out of 10,0,12
100137,ADVENTHEALTH HEART OF FLORIDA,40100 HWY 27,DAVENPORT,FL,33837,Polk,51.80,79.08,87.12,67.86,71.40,0 out of 10,1 out of 9,1 out of 10,50.67,80.41,88.44,71.69,74.49,0 out of 10,1 out of 9,1 out of 10,35.74,65.07,80.14,51.17,61.11,0 out of 10,3 out of 9,3 out of 10,20.33,51.14,62.50,40.12,45.37,0 out of 10,2 out of 9,2 out of 10,26.16,63.30,73.86,51.15,61.05,0 out of 10,4 out of 9,4 out of 10,41.92,65.72,79.42,58.85,61.89,0 out of 10,1 out of 9,1 out of 10,66.72,87.44,92.11,79.10,80.46,0 out of 10,1 out of 9,1 out of 10,32.47,71.59,85.12,57.15,58.23,0 out of 10,0 out of 9,0 out of 10,13,13
100140,BAPTIST MEDICAL CENTER - NASSAU,1250 S 18TH ST,FERNANDINA BEACH,FL,32034,Nassau,51.80,79.08,87.12,81.35,82.00,4 out of 10,1 out of 9,4 out of 10,50.67,80.41,88.44,81.35,83.63,4 out of 10,3 out of 9,4 out of 10,35.74,65.07,80.14,70.12,68.81,3 out of 10,0 out of 9,3 out of 10,20.33,51.14,62.50,52.20,54.59,3 out of 10,2 out of 9,3 out of 10,26.16,63.30,73.86,62.79,67.96,4 out of 10,4 out of 9,4 out of 10,41.92,65.72,79.42,71.85,73.61,6 out of 10,2 out of 9,6 out of 10,66.72,87.44,92.11,86.77,88.30,2 out of 10,2 out of 9,2 out of 10,32.47,71.59,85.12,79.69,78.33,5 out of 10,0 out of 9,5 out of 10,31,20
100142,JACKSON HOSPITAL,4250 HOSPITAL DR,MARIANNA,FL,32446,Jackson,51.80,79.08,87.12,82.01,81.81,4 out of 10,0 out of 9,4 out of 10,50.67,80.41,88.44,87.75,82.49,3 out of 10,0 out of 9,3 out of 10,35.74,65.07,80.14,67.79,70.69,4 out of 10,2 out of 9,4 out of 10,20.33,51.14,62.50,52.38,57.73,6 out of 10,5 out of 9,6 out of 10,26.16,63.30,73.86,68.98,67.81,4 out of 10,0 out of 9,4 out of 10,41.92,65.72,79.42,69.60,74.54,6 out of 10,5 out of 9,6 out of 10,66.72,87.44,92.11,88.71,91.07,7 out of 10,6 out of 9,7 out of 10,32.47,71.59,85.12,77.78,77.88,5 out of 10,0 out of 9,5 out of 10,39,20
100150,LOWER KEYS MEDICAL CENTER,5900 COLLEGE ROAD,KEY WEST,FL,33040,Monroe,51.80,79.08,87.12,73.04,76.73,0 out of 10,2 out of 9,2 out of 10,50.67,80.41,88.44,75.22,78.69,0 out of 10,2 out of 9,2 out of 10,35.74,65.07,80.14,60.86,67.64,2 out of 10,3 out of 9,3 out of 10,20.33,51.14,62.50,37.61,45.95,0 out of 10,3 out of 9,3 out of 10,26.16,63.30,73.86,59.92,59.81,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,58.30,60.64,0 out of 10,1 out of 9,1 out of 10,66.72,87.44,92.11,81.00,83.19,0 out of 10,1 out of 9,1 out of 10,32.47,71.59,85.12,51.57,57.20,0 out of 10,1 out of 9,1 out of 10,13,12
100151,MAYO CLINIC,4500 SAN PABLO RD,JACKSONVILLE,FL,32224,Duval,51.80,79.08,87.12,83.52,85.45,8 out of 10,5 out of 9,8 out of 10,50.67,80.41,88.44,84.57,84.25,5 out of 10,0 out of 9,5 out of 10,35.74,65.07,80.14,65.32,69.13,3 out of 10,2 out of 9,3 out of 10,20.33,51.14,62.50,66.25,63.91,10 out of 10,0 out of 9,10 out of 10,26.16,63.30,73.86,65.84,69.25,6 out of 10,4 out of 9,6 out of 10,41.92,65.72,79.42,73.72,76.98,8 out of 10,5 out of 9,8 out of 10,66.72,87.44,92.11,89.93,90.31,6 out of 10,1 out of 9,6 out of 10,32.47,71.59,85.12,90.52,87.29,10 out of 10,0 out of 9,10 out of 10,56,20
100154,SOUTH MIAMI HOSPITAL,6200 SW 73RD ST,SOUTH MIAMI,FL,33143,Miami-Dade,51.80,79.08,87.12,80.34,82.91,5 out of 10,3 out of 9,5 out of 10,50.67,80.41,88.44,81.00,81.39,2 out of 10,0 out of 9,2 out of 10,35.74,65.07,80.14,66.48,67.16,2 out of 10,0 out of 9,2 out of 10,20.33,51.14,62.50,55.49,55.49,4 out of 10,0 out of 9,4 out of 10,26.16,63.30,73.86,64.30,65.32,2 out of 10,1 out of 9,2 out of 10,41.92,65.72,79.42,67.09,67.23,1 out of 10,0 out of 9,1 out of 10,66.72,87.44,92.11,85.49,82.02,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,75.06,76.82,4 out of 10,1 out of 9,4 out of 10,20,14
100156,LAKE CITY MEDICAL CENTER,340 NW COMMERCE DR,LAKE CITY,FL,32055,Columbia,51.80,79.08,87.12,79.29,80.24,2 out of 10,1 out of 9,2 out of 10,50.67,80.41,88.44,82.23,76.98,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,73.25,74.96,6 out of 10,2 out of 9,6 out of 10,20.33,51.14,62.50,49.40,53.29,2 out of 10,2 out of 9,2 out of 10,26.16,63.30,73.86,63.92,65.09,2 out of 10,1 out of 9,2 out of 10,41.92,65.72,79.42,61.90,64.93,0 out of 10,1 out of 9,1 out of 10,66.72,87.44,92.11,86.63,86.79,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,73.30,75.83,3 out of 10,2 out of 9,3 out of 10,16,17
100157,LAKELAND REGIONAL MEDICAL CENTER,1324 LAKELAND HILLS BLVD,LAKELAND,FL,33805,Polk,51.80,79.08,87.12,75.96,76.87,0 out of 10,0 out of 9,0 out of 10,50.67,80.41,88.44,76.51,75.78,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,61.06,61.72,0 out of 10,0 out of 9,0 out of 10,20.33,51.14,62.50,48.79,48.06,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,60.42,60.57,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,57.78,60.02,0 out of 10,1 out of 9,1 out of 10,66.72,87.44,92.11,83.64,81.95,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,68.03,67.84,0 out of 10,0 out of 9,0 out of 10,1,14
100161,CENTRAL FLORIDA REGIONAL HOSPITAL,1401 W SEMINOLE BLVD,SANFORD,FL,32771,Seminole,51.80,79.08,87.12,74.69,71.35,0 out of 10,0 out of 9,0 out of 10,50.67,80.41,88.44,75.89,73.06,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,60.86,60.98,0 out of 10,0 out of 9,0 out of 10,20.33,51.14,62.50,45.27,44.47,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,59.81,58.80,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,58.84,57.40,0 out of 10,0 out of 9,0 out of 10,66.72,87.44,92.11,84.16,82.74,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,63.77,60.85,0 out of 10,0 out of 9,0 out of 10,0,13
100166,DOCTORS HOSPITAL OF SARASOTA,5731 BEE RIDGE RD,SARASOTA,FL,34233,Sarasota,51.80,79.08,87.12,78.21,76.55,0 out of 10,0 out of 9,0 out of 10,50.67,80.41,88.44,80.88,79.48,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,63.94,68.28,2 out of 10,2 out of 9,2 out of 10,20.33,51.14,62.50,50.35,54.20,3 out of 10,3 out of 9,3 out of 10,26.16,63.30,73.86,64.02,63.37,1 out of 10,0 out of 9,1 out of 10,41.92,65.72,79.42,62.70,61.79,0 out of 10,0 out of 9,0 out of 10,66.72,87.44,92.11,88.39,87.68,1 out of 10,0 out of 9,1 out of 10,32.47,71.59,85.12,73.37,72.24,1 out of 10,0 out of 9,1 out of 10,8,16
100167,PLANTATION GENERAL HOSPITAL,401 NW 42ND AVE,PLANTATION,FL,33317,Broward,51.80,79.08,87.12,75.97,75.36,0 out of 10,0 out of 9,0 out of 10,50.67,80.41,88.44,79.83,77.87,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,59.92,62.86,0 out of 10,1 out of 9,1 out of 10,20.33,51.14,62.50,44.04,41.72,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,64.01,62.73,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,62.76,62.68,0 out of 10,0 out of 9,0 out of 10,66.72,87.44,92.11,81.03,78.37,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,65.34,65.63,0 out of 10,0 out of 9,0 out of 10,1,11
100168,BOCA RATON REGIONAL HOSPITAL,800 MEADOWS RD,BOCA RATON,FL,33486,Palm Beach,51.80,79.08,87.12,80.15,77.16,0 out of 10,0 out of 9,0 out of 10,50.67,80.41,88.44,80.74,79.14,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,62.69,56.77,0 out of 10,0 out of 9,0 out of 10,20.33,51.14,62.50,52.89,49.49,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,63.12,58.94,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,56.92,56.88,0 out of 10,0 out of 9,0 out of 10,66.72,87.44,92.11,80.30,80.45,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,75.76,71.07,0 out of 10,0 out of 9,0 out of 10,0,12
100173,ADVENTHEALTH TAMPA,3100 E FLETCHER AVE,TAMPA,FL,33613,Hillsborough,51.80,79.08,87.12,78.88,79.95,1 out of 10,1 out of 9,1 out of 10,50.67,80.41,88.44,76.35,78.11,0 out of 10,1 out of 9,1 out of 10,35.74,65.07,80.14,63.80,63.36,0 out of 10,0 out of 9,0 out of 10,20.33,51.14,62.50,51.18,52.30,1 out of 10,0 out of 9,1 out of 10,26.16,63.30,73.86,64.34,61.95,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,63.79,63.57,0 out of 10,0 out of 9,0 out of 10,66.72,87.44,92.11,87.02,88.20,2 out of 10,2 out of 9,2 out of 10,32.47,71.59,85.12,68.39,69.68,0 out of 10,0 out of 9,0 out of 10,5,18
