"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
GA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,111,0,9,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,41,1,46,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,42,1,46,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,6,74,5,24,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,58,1,52,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_CABG,Rate of readmission for CABG,0,18,0,4,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,103,0,28,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,4,95,2,33,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,3,69,1,14,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),5,114,4,7,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,3,110,1,20,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2015,06/30/2018,Not Available,Not Available,Not Available,Not Available
GU,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2015,06/30/2018,Not Available,Not Available,Not Available,Not Available
GU,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2015,06/30/2018,Not Available,Not Available,Not Available,Not Available
GU,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Available,Not Available,5,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Available,Not Available,5,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,5,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,5,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,2,6,1,4
HI,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,0,10,2,2
HI,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,0,10,2,6
HI,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,11,0,2,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,9,0,4,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,9,0,4,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,10,1,2,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,9,0,4,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_CABG,Rate of readmission for CABG,0,2,0,4,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,11,0,3,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,12,0,2,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,9,0,3,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,11,2,4,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,12,0,6,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,5,19,1,76
IA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,16,62,3,35
IA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,28,76,9,3
IA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,88,0,15,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,27,0,71,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,26,0,71,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,50,0,54,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,26,1,76,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_CABG,Rate of readmission for CABG,0,9,1,2,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,77,0,38,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,81,2,35,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,58,1,17,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,110,5,1,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,114,1,3,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,6,4,0,21
ID,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,5,15,1,19
ID,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,14,15,1,11
ID,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",1,23,1,7,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,9,1,18,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,9,0,18,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,17,2,12,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,11,0,21,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_CABG,Rate of readmission for CABG,0,5,0,0,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,24,0,16,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,20,2,19,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,26,0,5,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,35,3,5,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,31,0,11,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,8,73,17,71
IL,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,17,117,30,13
IL,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,22,106,45,4
IL,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,156,1,12,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,7,69,2,65,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,2,75,1,65,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,4,113,5,40,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,100,0,74,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_CABG,Rate of readmission for CABG,0,49,0,14,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,3,157,3,14,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,4,159,6,13,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,2,109,2,30,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),12,161,3,0,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,6,170,2,4,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,11,40,6,53
IN,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,18,78,11,5
IN,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,17,78,14,3
IN,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",1,110,0,1,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,49,0,46,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,50,0,46,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,8,80,3,28,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,58,0,54,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_CABG,Rate of readmission for CABG,0,29,0,7,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,105,2,7,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,4,97,8,6,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,82,0,16,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,108,10,1,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,2,107,2,4,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,6,13,4,76
KS,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,12,63,1,50
KS,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,17,93,2,15
KS,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,90,0,23,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,3,12,0,66,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,14,1,66,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,5,44,1,43,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,24,0,78,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_CABG,Rate of readmission for CABG,0,14,0,1,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,73,0,53,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,76,2,50,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,2,43,0,8,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),4,116,4,12,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,115,0,15,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,2,25,11,48
KY,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,4,60,19,9
KY,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,12,50,28,3
KY,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,78,1,7,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,3,33,0,30,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,34,1,30,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,53,0,24,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,3,37,0,48,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_CABG,Rate of readmission for CABG,1,15,0,1,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,6,81,0,5,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,9,75,1,9,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,42,0,15,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),10,79,2,0,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,7,85,0,3,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,5,21,13,42
LA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,3,67,11,21
LA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,10,70,13,10
LA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,86,0,7,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,33,0,35,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,34,0,35,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,62,4,27,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,40,0,43,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_CABG,Rate of readmission for CABG,1,24,0,7,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,79,0,22,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,2,80,1,21,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,51,0,20,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),4,104,2,6,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,93,1,10,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,2,33,10,12
MA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,1,29,27,2
MA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,2,38,18,2
MA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,55,2,0,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,36,0,19,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,35,2,19,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,50,4,2,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,2,43,1,12,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_CABG,Rate of readmission for CABG,1,13,0,0,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,6,49,0,4,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,8,50,0,2,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,2,50,2,1,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),21,36,2,0,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,9,50,0,2,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,3,24,10,9
MD,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,3,31,11,1
MD,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,1,19,25,2
MD,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,43,0,2,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,27,1,14,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,2,26,0,14,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,3,38,2,4,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
