"Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","Phone Number","Measure ID","Measure Name","Denominator","Observed Rate Per 1,000","Footnote","Start Date","End Date"
09002F,WASHINGTON DC VA MEDICAL CENTER,50 IRVING STREET N.W.,WASHINGTON,DC,20422,THE DISTRICT,(202) 745-8000,PSI-14,Postoperative Wound Dehiscence Rate,422,2.37,20,07/01/2016,06/30/2018
09002F,WASHINGTON DC VA MEDICAL CENTER,50 IRVING STREET N.W.,WASHINGTON,DC,20422,THE DISTRICT,(202) 745-8000,PSI-15,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,1251,2.4,20,07/01/2016,06/30/2018
09002F,WASHINGTON DC VA MEDICAL CENTER,50 IRVING STREET N.W.,WASHINGTON,DC,20422,THE DISTRICT,(202) 745-8000,PSI-3,Pressure Ulcer Rate,6457,1.24,20,07/01/2016,06/30/2018
09002F,WASHINGTON DC VA MEDICAL CENTER,50 IRVING STREET N.W.,WASHINGTON,DC,20422,THE DISTRICT,(202) 745-8000,PSI-4,Death among surgical inpatients with serious treatable complications Rate,45,244.44,20,07/01/2016,06/30/2018
09002F,WASHINGTON DC VA MEDICAL CENTER,50 IRVING STREET N.W.,WASHINGTON,DC,20422,THE DISTRICT,(202) 745-8000,PSI-6,"Iatrogenic pneumothorax, adult Rate",10509,0.19,20,07/01/2016,06/30/2018
09002F,WASHINGTON DC VA MEDICAL CENTER,50 IRVING STREET N.W.,WASHINGTON,DC,20422,THE DISTRICT,(202) 745-8000,PSI-7,Central Venous Catheter-Related Bloodstream Infections Rate,5235,0.57,20,07/01/2016,06/30/2018
09002F,WASHINGTON DC VA MEDICAL CENTER,50 IRVING STREET N.W.,WASHINGTON,DC,20422,THE DISTRICT,(202) 745-8000,PSI-8,In-Hospital Fall With Hip Fracture Rate,9330,0.21,20,07/01/2016,06/30/2018
09002F,WASHINGTON DC VA MEDICAL CENTER,50 IRVING STREET N.W.,WASHINGTON,DC,20422,THE DISTRICT,(202) 745-8000,PSI-9,Perioperative Hemorrhage or Hematoma Rate,1455,0.69,20,07/01/2016,06/30/2018
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,(727) 398-6661,PSI-10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,1870,0,20,07/01/2016,06/30/2018
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,(727) 398-6661,PSI-11,Postoperative Respiratory Failure Rate,1323,2.27,20,07/01/2016,06/30/2018
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,(727) 398-6661,PSI-12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,3020,2.65,20,07/01/2016,06/30/2018
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,(727) 398-6661,PSI-13,Postoperative Sepsis Rate,1817,3.85,20,07/01/2016,06/30/2018
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,(727) 398-6661,PSI-14,Postoperative Wound Dehiscence Rate,894,1.12,20,07/01/2016,06/30/2018
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,(727) 398-6661,PSI-15,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,2247,0,20,07/01/2016,06/30/2018
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,(727) 398-6661,PSI-3,Pressure Ulcer Rate,9295,0,20,07/01/2016,06/30/2018
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,(727) 398-6661,PSI-4,Death among surgical inpatients with serious treatable complications Rate,65,107.69,20,07/01/2016,06/30/2018
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,(727) 398-6661,PSI-6,"Iatrogenic pneumothorax, adult Rate",14077,0.07,20,07/01/2016,06/30/2018
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,(727) 398-6661,PSI-7,Central Venous Catheter-Related Bloodstream Infections Rate,8702,0.11,20,07/01/2016,06/30/2018
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,(727) 398-6661,PSI-8,In-Hospital Fall With Hip Fracture Rate,12391,0,20,07/01/2016,06/30/2018
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,(727) 398-6661,PSI-9,Perioperative Hemorrhage or Hematoma Rate,2833,1.41,20,07/01/2016,06/30/2018
10015F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - LAKE CITY,619 SOUTH MARION AVENUE,LAKE CITY,FL,32025,COLUMBIA,(386) 755-3016,PSI-10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,Not Available,Not Available,"1, 20",07/01/2016,06/30/2018
10015F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - LAKE CITY,619 SOUTH MARION AVENUE,LAKE CITY,FL,32025,COLUMBIA,(386) 755-3016,PSI-11,Postoperative Respiratory Failure Rate,Not Available,Not Available,"1, 20",07/01/2016,06/30/2018
10015F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - LAKE CITY,619 SOUTH MARION AVENUE,LAKE CITY,FL,32025,COLUMBIA,(386) 755-3016,PSI-12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,76,0,20,07/01/2016,06/30/2018
10015F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - LAKE CITY,619 SOUTH MARION AVENUE,LAKE CITY,FL,32025,COLUMBIA,(386) 755-3016,PSI-13,Postoperative Sepsis Rate,Not Available,Not Available,"1, 20",07/01/2016,06/30/2018
10015F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - LAKE CITY,619 SOUTH MARION AVENUE,LAKE CITY,FL,32025,COLUMBIA,(386) 755-3016,PSI-14,Postoperative Wound Dehiscence Rate,29,0,20,07/01/2016,06/30/2018
10015F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - LAKE CITY,619 SOUTH MARION AVENUE,LAKE CITY,FL,32025,COLUMBIA,(386) 755-3016,PSI-15,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,97,0,20,07/01/2016,06/30/2018
10015F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - LAKE CITY,619 SOUTH MARION AVENUE,LAKE CITY,FL,32025,COLUMBIA,(386) 755-3016,PSI-3,Pressure Ulcer Rate,1373,0.73,20,07/01/2016,06/30/2018
10015F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - LAKE CITY,619 SOUTH MARION AVENUE,LAKE CITY,FL,32025,COLUMBIA,(386) 755-3016,PSI-4,Death among surgical inpatients with serious treatable complications Rate,Not Available,Not Available,"1, 20",07/01/2016,06/30/2018
10015F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - LAKE CITY,619 SOUTH MARION AVENUE,LAKE CITY,FL,32025,COLUMBIA,(386) 755-3016,PSI-6,"Iatrogenic pneumothorax, adult Rate",1879,0,20,07/01/2016,06/30/2018
10015F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - LAKE CITY,619 SOUTH MARION AVENUE,LAKE CITY,FL,32025,COLUMBIA,(386) 755-3016,PSI-7,Central Venous Catheter-Related Bloodstream Infections Rate,1330,0,20,07/01/2016,06/30/2018
10015F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - LAKE CITY,619 SOUTH MARION AVENUE,LAKE CITY,FL,32025,COLUMBIA,(386) 755-3016,PSI-8,In-Hospital Fall With Hip Fracture Rate,1729,0,20,07/01/2016,06/30/2018
10015F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - LAKE CITY,619 SOUTH MARION AVENUE,LAKE CITY,FL,32025,COLUMBIA,(386) 755-3016,PSI-9,Perioperative Hemorrhage or Hematoma Rate,71,0,20,07/01/2016,06/30/2018
10057F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - GAINES,1601 S W ARCHER ROAD,GAINESVILLE,FL,32608,ALACHUA,(352) 376-1611,PSI-10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,2737,2.19,20,07/01/2016,06/30/2018
10057F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - GAINES,1601 S W ARCHER ROAD,GAINESVILLE,FL,32608,ALACHUA,(352) 376-1611,PSI-11,Postoperative Respiratory Failure Rate,1879,4.26,20,07/01/2016,06/30/2018
10057F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - GAINES,1601 S W ARCHER ROAD,GAINESVILLE,FL,32608,ALACHUA,(352) 376-1611,PSI-12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,4560,0.88,20,07/01/2016,06/30/2018
10057F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - GAINES,1601 S W ARCHER ROAD,GAINESVILLE,FL,32608,ALACHUA,(352) 376-1611,PSI-13,Postoperative Sepsis Rate,2630,5.32,20,07/01/2016,06/30/2018
10057F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - GAINES,1601 S W ARCHER ROAD,GAINESVILLE,FL,32608,ALACHUA,(352) 376-1611,PSI-14,Postoperative Wound Dehiscence Rate,1232,0.81,20,07/01/2016,06/30/2018
10057F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - GAINES,1601 S W ARCHER ROAD,GAINESVILLE,FL,32608,ALACHUA,(352) 376-1611,PSI-15,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,2882,1.73,20,07/01/2016,06/30/2018
10057F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - GAINES,1601 S W ARCHER ROAD,GAINESVILLE,FL,32608,ALACHUA,(352) 376-1611,PSI-3,Pressure Ulcer Rate,12315,0.49,20,07/01/2016,06/30/2018
10057F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - GAINES,1601 S W ARCHER ROAD,GAINESVILLE,FL,32608,ALACHUA,(352) 376-1611,PSI-4,Death among surgical inpatients with serious treatable complications Rate,92,228.26,20,07/01/2016,06/30/2018
10057F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - GAINES,1601 S W ARCHER ROAD,GAINESVILLE,FL,32608,ALACHUA,(352) 376-1611,PSI-6,"Iatrogenic pneumothorax, adult Rate",18986,0.05,20,07/01/2016,06/30/2018
10057F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - GAINES,1601 S W ARCHER ROAD,GAINESVILLE,FL,32608,ALACHUA,(352) 376-1611,PSI-7,Central Venous Catheter-Related Bloodstream Infections Rate,10914,0.09,20,07/01/2016,06/30/2018
10057F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - GAINES,1601 S W ARCHER ROAD,GAINESVILLE,FL,32608,ALACHUA,(352) 376-1611,PSI-8,In-Hospital Fall With Hip Fracture Rate,17068,0.18,20,07/01/2016,06/30/2018
10057F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - GAINES,1601 S W ARCHER ROAD,GAINESVILLE,FL,32608,ALACHUA,(352) 376-1611,PSI-9,Perioperative Hemorrhage or Hematoma Rate,4405,4.31,20,07/01/2016,06/30/2018
10063F,TAMPA VA MEDICAL CENTER,13000 BRUCE B DOWNS BLVD.,TAMPA,FL,33612,HILLSBOROUGH,(813) 972-2000,PSI-10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,1914,0.52,20,07/01/2016,06/30/2018
10063F,TAMPA VA MEDICAL CENTER,13000 BRUCE B DOWNS BLVD.,TAMPA,FL,33612,HILLSBOROUGH,(813) 972-2000,PSI-11,Postoperative Respiratory Failure Rate,1429,5.6,20,07/01/2016,06/30/2018
10063F,TAMPA VA MEDICAL CENTER,13000 BRUCE B DOWNS BLVD.,TAMPA,FL,33612,HILLSBOROUGH,(813) 972-2000,PSI-12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,3271,4.28,20,07/01/2016,06/30/2018
10063F,TAMPA VA MEDICAL CENTER,13000 BRUCE B DOWNS BLVD.,TAMPA,FL,33612,HILLSBOROUGH,(813) 972-2000,PSI-13,Postoperative Sepsis Rate,1811,1.66,20,07/01/2016,06/30/2018
10063F,TAMPA VA MEDICAL CENTER,13000 BRUCE B DOWNS BLVD.,TAMPA,FL,33612,HILLSBOROUGH,(813) 972-2000,PSI-14,Postoperative Wound Dehiscence Rate,952,0,20,07/01/2016,06/30/2018
10063F,TAMPA VA MEDICAL CENTER,13000 BRUCE B DOWNS BLVD.,TAMPA,FL,33612,HILLSBOROUGH,(813) 972-2000,PSI-15,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,2451,2.04,20,07/01/2016,06/30/2018
10063F,TAMPA VA MEDICAL CENTER,13000 BRUCE B DOWNS BLVD.,TAMPA,FL,33612,HILLSBOROUGH,(813) 972-2000,PSI-3,Pressure Ulcer Rate,11193,0.89,20,07/01/2016,06/30/2018
10063F,TAMPA VA MEDICAL CENTER,13000 BRUCE B DOWNS BLVD.,TAMPA,FL,33612,HILLSBOROUGH,(813) 972-2000,PSI-4,Death among surgical inpatients with serious treatable complications Rate,97,185.57,20,07/01/2016,06/30/2018
10063F,TAMPA VA MEDICAL CENTER,13000 BRUCE B DOWNS BLVD.,TAMPA,FL,33612,HILLSBOROUGH,(813) 972-2000,PSI-6,"Iatrogenic pneumothorax, adult Rate",17001,0.53,20,07/01/2016,06/30/2018
10063F,TAMPA VA MEDICAL CENTER,13000 BRUCE B DOWNS BLVD.,TAMPA,FL,33612,HILLSBOROUGH,(813) 972-2000,PSI-7,Central Venous Catheter-Related Bloodstream Infections Rate,10013,0.3,20,07/01/2016,06/30/2018
10063F,TAMPA VA MEDICAL CENTER,13000 BRUCE B DOWNS BLVD.,TAMPA,FL,33612,HILLSBOROUGH,(813) 972-2000,PSI-8,In-Hospital Fall With Hip Fracture Rate,15605,0.19,20,07/01/2016,06/30/2018
10063F,TAMPA VA MEDICAL CENTER,13000 BRUCE B DOWNS BLVD.,TAMPA,FL,33612,HILLSBOROUGH,(813) 972-2000,PSI-9,Perioperative Hemorrhage or Hematoma Rate,3070,2.93,20,07/01/2016,06/30/2018
10064F,MIAMI VA MEDICAL CENTER,1201 N W 16TH STREET,MIAMI,FL,33125,MIAMI-DADE,(305) 324-4455,PSI-10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,1070,1.87,20,07/01/2016,06/30/2018
10064F,MIAMI VA MEDICAL CENTER,1201 N W 16TH STREET,MIAMI,FL,33125,MIAMI-DADE,(305) 324-4455,PSI-11,Postoperative Respiratory Failure Rate,753,2.66,20,07/01/2016,06/30/2018
10064F,MIAMI VA MEDICAL CENTER,1201 N W 16TH STREET,MIAMI,FL,33125,MIAMI-DADE,(305) 324-4455,PSI-12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,1910,1.05,20,07/01/2016,06/30/2018
10064F,MIAMI VA MEDICAL CENTER,1201 N W 16TH STREET,MIAMI,FL,33125,MIAMI-DADE,(305) 324-4455,PSI-13,Postoperative Sepsis Rate,1025,1.95,20,07/01/2016,06/30/2018
10064F,MIAMI VA MEDICAL CENTER,1201 N W 16TH STREET,MIAMI,FL,33125,MIAMI-DADE,(305) 324-4455,PSI-14,Postoperative Wound Dehiscence Rate,641,0,20,07/01/2016,06/30/2018
10064F,MIAMI VA MEDICAL CENTER,1201 N W 16TH STREET,MIAMI,FL,33125,MIAMI-DADE,(305) 324-4455,PSI-15,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,1285,0,20,07/01/2016,06/30/2018
10064F,MIAMI VA MEDICAL CENTER,1201 N W 16TH STREET,MIAMI,FL,33125,MIAMI-DADE,(305) 324-4455,PSI-3,Pressure Ulcer Rate,4419,0.23,20,07/01/2016,06/30/2018
10064F,MIAMI VA MEDICAL CENTER,1201 N W 16TH STREET,MIAMI,FL,33125,MIAMI-DADE,(305) 324-4455,PSI-4,Death among surgical inpatients with serious treatable complications Rate,46,173.91,20,07/01/2016,06/30/2018
10064F,MIAMI VA MEDICAL CENTER,1201 N W 16TH STREET,MIAMI,FL,33125,MIAMI-DADE,(305) 324-4455,PSI-6,"Iatrogenic pneumothorax, adult Rate",8285,0,20,07/01/2016,06/30/2018
10064F,MIAMI VA MEDICAL CENTER,1201 N W 16TH STREET,MIAMI,FL,33125,MIAMI-DADE,(305) 324-4455,PSI-7,Central Venous Catheter-Related Bloodstream Infections Rate,4184,0.48,20,07/01/2016,06/30/2018
10064F,MIAMI VA MEDICAL CENTER,1201 N W 16TH STREET,MIAMI,FL,33125,MIAMI-DADE,(305) 324-4455,PSI-8,In-Hospital Fall With Hip Fracture Rate,7823,0,20,07/01/2016,06/30/2018
10064F,MIAMI VA MEDICAL CENTER,1201 N W 16TH STREET,MIAMI,FL,33125,MIAMI-DADE,(305) 324-4455,PSI-9,Perioperative Hemorrhage or Hematoma Rate,1870,0,20,07/01/2016,06/30/2018
10065F,W PALM BEACH VA MEDICAL CENTER,7305 N. MILITARY TRAIL,WEST PALM BEACH,FL,33410,PALM BEACH,(561) 422-8600,PSI-10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,1001,0,20,07/01/2016,06/30/2018
10065F,W PALM BEACH VA MEDICAL CENTER,7305 N. MILITARY TRAIL,WEST PALM BEACH,FL,33410,PALM BEACH,(561) 422-8600,PSI-11,Postoperative Respiratory Failure Rate,750,1.33,20,07/01/2016,06/30/2018
10065F,W PALM BEACH VA MEDICAL CENTER,7305 N. MILITARY TRAIL,WEST PALM BEACH,FL,33410,PALM BEACH,(561) 422-8600,PSI-12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,1560,2.56,20,07/01/2016,06/30/2018
10065F,W PALM BEACH VA MEDICAL CENTER,7305 N. MILITARY TRAIL,WEST PALM BEACH,FL,33410,PALM BEACH,(561) 422-8600,PSI-13,Postoperative Sepsis Rate,937,3.2,20,07/01/2016,06/30/2018
10065F,W PALM BEACH VA MEDICAL CENTER,7305 N. MILITARY TRAIL,WEST PALM BEACH,FL,33410,PALM BEACH,(561) 422-8600,PSI-14,Postoperative Wound Dehiscence Rate,453,2.21,20,07/01/2016,06/30/2018
10065F,W PALM BEACH VA MEDICAL CENTER,7305 N. MILITARY TRAIL,WEST PALM BEACH,FL,33410,PALM BEACH,(561) 422-8600,PSI-15,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,1428,0,20,07/01/2016,06/30/2018
10065F,W PALM BEACH VA MEDICAL CENTER,7305 N. MILITARY TRAIL,WEST PALM BEACH,FL,33410,PALM BEACH,(561) 422-8600,PSI-3,Pressure Ulcer Rate,5623,0.89,20,07/01/2016,06/30/2018
10065F,W PALM BEACH VA MEDICAL CENTER,7305 N. MILITARY TRAIL,WEST PALM BEACH,FL,33410,PALM BEACH,(561) 422-8600,PSI-4,Death among surgical inpatients with serious treatable complications Rate,47,212.77,20,07/01/2016,06/30/2018
10065F,W PALM BEACH VA MEDICAL CENTER,7305 N. MILITARY TRAIL,WEST PALM BEACH,FL,33410,PALM BEACH,(561) 422-8600,PSI-6,"Iatrogenic pneumothorax, adult Rate",9492,0.21,20,07/01/2016,06/30/2018
10065F,W PALM BEACH VA MEDICAL CENTER,7305 N. MILITARY TRAIL,WEST PALM BEACH,FL,33410,PALM BEACH,(561) 422-8600,PSI-7,Central Venous Catheter-Related Bloodstream Infections Rate,5364,0.56,20,07/01/2016,06/30/2018
10065F,W PALM BEACH VA MEDICAL CENTER,7305 N. MILITARY TRAIL,WEST PALM BEACH,FL,33410,PALM BEACH,(561) 422-8600,PSI-8,In-Hospital Fall With Hip Fracture Rate,8419,0.12,20,07/01/2016,06/30/2018
10065F,W PALM BEACH VA MEDICAL CENTER,7305 N. MILITARY TRAIL,WEST PALM BEACH,FL,33410,PALM BEACH,(561) 422-8600,PSI-9,Perioperative Hemorrhage or Hematoma Rate,1480,2.7,20,07/01/2016,06/30/2018
10099F,ORLANDO VA MEDICAL CENTER,13800 VETERANS WAY,ORLANDO,FL,32827,ORANGE,(407) 631-1000,PSI-10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,197,0,20,07/01/2016,06/30/2018
10099F,ORLANDO VA MEDICAL CENTER,13800 VETERANS WAY,ORLANDO,FL,32827,ORANGE,(407) 631-1000,PSI-11,Postoperative Respiratory Failure Rate,157,0,20,07/01/2016,06/30/2018
10099F,ORLANDO VA MEDICAL CENTER,13800 VETERANS WAY,ORLANDO,FL,32827,ORANGE,(407) 631-1000,PSI-12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,512,0,20,07/01/2016,06/30/2018
10099F,ORLANDO VA MEDICAL CENTER,13800 VETERANS WAY,ORLANDO,FL,32827,ORANGE,(407) 631-1000,PSI-13,Postoperative Sepsis Rate,175,0,20,07/01/2016,06/30/2018
10099F,ORLANDO VA MEDICAL CENTER,13800 VETERANS WAY,ORLANDO,FL,32827,ORANGE,(407) 631-1000,PSI-14,Postoperative Wound Dehiscence Rate,306,0,20,07/01/2016,06/30/2018
10099F,ORLANDO VA MEDICAL CENTER,13800 VETERANS WAY,ORLANDO,FL,32827,ORANGE,(407) 631-1000,PSI-15,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,890,0,20,07/01/2016,06/30/2018
10099F,ORLANDO VA MEDICAL CENTER,13800 VETERANS WAY,ORLANDO,FL,32827,ORANGE,(407) 631-1000,PSI-3,Pressure Ulcer Rate,4192,0.48,20,07/01/2016,06/30/2018
10099F,ORLANDO VA MEDICAL CENTER,13800 VETERANS WAY,ORLANDO,FL,32827,ORANGE,(407) 631-1000,PSI-4,Death among surgical inpatients with serious treatable complications Rate,Not Available,Not Available,"1, 20",07/01/2016,06/30/2018
10099F,ORLANDO VA MEDICAL CENTER,13800 VETERANS WAY,ORLANDO,FL,32827,ORANGE,(407) 631-1000,PSI-6,"Iatrogenic pneumothorax, adult Rate",7022,0,20,07/01/2016,06/30/2018
10099F,ORLANDO VA MEDICAL CENTER,13800 VETERANS WAY,ORLANDO,FL,32827,ORANGE,(407) 631-1000,PSI-7,Central Venous Catheter-Related Bloodstream Infections Rate,4016,0,20,07/01/2016,06/30/2018
10099F,ORLANDO VA MEDICAL CENTER,13800 VETERANS WAY,ORLANDO,FL,32827,ORANGE,(407) 631-1000,PSI-8,In-Hospital Fall With Hip Fracture Rate,6416,0,20,07/01/2016,06/30/2018
10099F,ORLANDO VA MEDICAL CENTER,13800 VETERANS WAY,ORLANDO,FL,32827,ORANGE,(407) 631-1000,PSI-9,Perioperative Hemorrhage or Hematoma Rate,477,2.1,20,07/01/2016,06/30/2018
11029F,DECATUR (ATLANTA) VA MEDICAL CENTER,1670 CLAIRMONT ROAD,DECATUR,GA,30033,DE KALB,(404) 321-6111,PSI-10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,786,1.27,20,07/01/2016,06/30/2018
11029F,DECATUR (ATLANTA) VA MEDICAL CENTER,1670 CLAIRMONT ROAD,DECATUR,GA,30033,DE KALB,(404) 321-6111,PSI-11,Postoperative Respiratory Failure Rate,598,5.02,20,07/01/2016,06/30/2018
11029F,DECATUR (ATLANTA) VA MEDICAL CENTER,1670 CLAIRMONT ROAD,DECATUR,GA,30033,DE KALB,(404) 321-6111,PSI-12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,1847,3.79,20,07/01/2016,06/30/2018
11029F,DECATUR (ATLANTA) VA MEDICAL CENTER,1670 CLAIRMONT ROAD,DECATUR,GA,30033,DE KALB,(404) 321-6111,PSI-13,Postoperative Sepsis Rate,772,1.3,20,07/01/2016,06/30/2018
11029F,DECATUR (ATLANTA) VA MEDICAL CENTER,1670 CLAIRMONT ROAD,DECATUR,GA,30033,DE KALB,(404) 321-6111,PSI-14,Postoperative Wound Dehiscence Rate,589,0,20,07/01/2016,06/30/2018
11029F,DECATUR (ATLANTA) VA MEDICAL CENTER,1670 CLAIRMONT ROAD,DECATUR,GA,30033,DE KALB,(404) 321-6111,PSI-15,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,1658,1.21,20,07/01/2016,06/30/2018
11029F,DECATUR (ATLANTA) VA MEDICAL CENTER,1670 CLAIRMONT ROAD,DECATUR,GA,30033,DE KALB,(404) 321-6111,PSI-3,Pressure Ulcer Rate,7710,0.26,20,07/01/2016,06/30/2018
11029F,DECATUR (ATLANTA) VA MEDICAL CENTER,1670 CLAIRMONT ROAD,DECATUR,GA,30033,DE KALB,(404) 321-6111,PSI-4,Death among surgical inpatients with serious treatable complications Rate,43,69.77,20,07/01/2016,06/30/2018
11029F,DECATUR (ATLANTA) VA MEDICAL CENTER,1670 CLAIRMONT ROAD,DECATUR,GA,30033,DE KALB,(404) 321-6111,PSI-6,"Iatrogenic pneumothorax, adult Rate",12773,0,20,07/01/2016,06/30/2018
11029F,DECATUR (ATLANTA) VA MEDICAL CENTER,1670 CLAIRMONT ROAD,DECATUR,GA,30033,DE KALB,(404) 321-6111,PSI-7,Central Venous Catheter-Related Bloodstream Infections Rate,6860,0.29,20,07/01/2016,06/30/2018
11029F,DECATUR (ATLANTA) VA MEDICAL CENTER,1670 CLAIRMONT ROAD,DECATUR,GA,30033,DE KALB,(404) 321-6111,PSI-8,In-Hospital Fall With Hip Fracture Rate,11147,0,20,07/01/2016,06/30/2018
11029F,DECATUR (ATLANTA) VA MEDICAL CENTER,1670 CLAIRMONT ROAD,DECATUR,GA,30033,DE KALB,(404) 321-6111,PSI-9,Perioperative Hemorrhage or Hematoma Rate,1732,2.31,20,07/01/2016,06/30/2018
11030F,AUGUSTA VA MEDICAL CENTER,1 FREEDOM WAY,AUGUSTA,GA,30904,RICHMOND,(706) 823-2201,PSI-10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,646,1.55,20,07/01/2016,06/30/2018
11030F,AUGUSTA VA MEDICAL CENTER,1 FREEDOM WAY,AUGUSTA,GA,30904,RICHMOND,(706) 823-2201,PSI-11,Postoperative Respiratory Failure Rate,454,4.41,20,07/01/2016,06/30/2018
11030F,AUGUSTA VA MEDICAL CENTER,1 FREEDOM WAY,AUGUSTA,GA,30904,RICHMOND,(706) 823-2201,PSI-12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,1241,3.22,20,07/01/2016,06/30/2018
11030F,AUGUSTA VA MEDICAL CENTER,1 FREEDOM WAY,AUGUSTA,GA,30904,RICHMOND,(706) 823-2201,PSI-13,Postoperative Sepsis Rate,619,4.85,20,07/01/2016,06/30/2018
11030F,AUGUSTA VA MEDICAL CENTER,1 FREEDOM WAY,AUGUSTA,GA,30904,RICHMOND,(706) 823-2201,PSI-14,Postoperative Wound Dehiscence Rate,447,0,20,07/01/2016,06/30/2018
