"Facility Name","Facility ID","State","Fiscal Year","PSI-90 Start Date","PSI-90 End Date","PSI-90 W Z Score","PSI-90 Footnote","CLABSI W Z Score","CLABSI Footnote","CAUTI W Z Score","CAUTI Footnote","SSI W Z Score","SSI Footnote","MRSA W Z Score","MRSA Footnote","CDI W Z Score","CDI Footnote","HAI Measures Start Date","HAI Measures End Date","Total HAC Score","Total HAC Footnote","Payment Reduction","Payment Reduction Footnote"
LORETTO HOSPITAL,140083,IL,2020,07/01/2016,06/30/2018,1.0195,,1.2970,,2.1854,,N/A,5,-1.4453,,-0.6434,,01/01/2017,12/31/2018,0.4826,,Yes,
VISTA MEDICAL CENTER EAST,140084,IL,2020,07/01/2016,06/30/2018,0.6070,,-0.5906,,-0.8209,,-0.9050,,0.8042,,0.2521,,01/01/2017,12/31/2018,-0.1089,,No,
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,140088,IL,2020,07/01/2016,06/30/2018,0.5794,,-0.0814,,-0.4142,,0.9169,,-0.7037,,0.9703,,01/01/2017,12/31/2018,0.2112,,No,
MC DONOUGH DISTRICT HOSPITAL,140089,IL,2020,07/01/2016,06/30/2018,1.2722,,N/A,5,2.1854,,0.8617,,N/A,5,-1.2024,,01/01/2017,12/31/2018,0.7792,,Yes,
THE CARLE FOUNDATION HOSPITAL,140091,IL,2020,07/01/2016,06/30/2018,0.6005,,-0.3122,,0.3117,,1.5193,,-0.7692,,0.2581,,01/01/2017,12/31/2018,0.2680,,No,
OSF SACRED HEART MEDICAL CENTER,140093,IL,2020,07/01/2016,06/30/2018,0.6753,,-1.4459,,-1.5354,,-1.5000,,-1.4453,,1.0935,,01/01/2017,12/31/2018,-0.6930,,No,
SAINT ANTHONY HOSPITAL,140095,IL,2020,07/01/2016,06/30/2018,-0.4126,,-1.4459,,-1.5354,,N/A,5,-1.4453,,-0.5743,,01/01/2017,12/31/2018,-1.0827,,No,
MIDWESTERN REGION MED CENTER,140100,IL,2020,07/01/2016,06/30/2018,-1.2794,,2.1941,,N/A,5,0.5632,,-0.0559,,1.9710,,01/01/2017,12/31/2018,0.6786,,Yes,
MORRIS HOSPITAL & HEALTHCARE CENTERS,140101,IL,2020,07/01/2016,06/30/2018,-0.6312,,-1.4459,,-1.5354,,-1.5000,,N/A,5,1.2287,,01/01/2017,12/31/2018,-0.7768,,No,
ST BERNARD HOSPITAL,140103,IL,2020,07/01/2016,06/30/2018,-0.0476,,2.1404,,-0.7943,,2.0996,,0.3865,,-0.5082,,01/01/2017,12/31/2018,0.5461,,Yes,
OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER,140110,IL,2020,07/01/2016,06/30/2018,-1.0828,,0.5332,,0.9369,,-0.7466,,N/A,5,0.8020,,01/01/2017,12/31/2018,0.0886,,No,
OSF HEART OF MARY MEDICAL CENTER,140113,IL,2020,07/01/2016,06/30/2018,-1.0681,,-0.2425,,0.5283,,0.4472,,2.1741,,-0.5923,,01/01/2017,12/31/2018,0.2078,,No,
SWEDISH COVENANT HOSPITAL,140114,IL,2020,07/01/2016,06/30/2018,-0.1127,,-0.5648,,0.3972,,1.1417,,-0.7232,,0.9553,,01/01/2017,12/31/2018,0.1823,,No,
THOREK MEMORIAL HOSPITAL,140115,IL,2020,07/01/2016,06/30/2018,-0.2054,,2.1941,,0.7051,,N/A,5,N/A,5,0.4204,,01/01/2017,12/31/2018,0.7785,,Yes,
NORTHWESTERN MEDICINE MCHENRY HOSPITAL,140116,IL,2020,07/01/2016,06/30/2018,-1.1039,,-0.2624,,0.6253,,-0.1055,,-1.1444,,0.3633,,01/01/2017,12/31/2018,-0.2713,,No,
PRESENCE RESURRECTION MEDICAL CENTER,140117,IL,2020,07/01/2016,06/30/2018,-1.1580,,-0.8313,,0.1958,,-0.2400,,-0.7214,,0.3873,,01/01/2017,12/31/2018,-0.3946,,No,
METROSOUTH MEDICAL CENTER,140118,IL,2020,07/01/2016,06/30/2018,0.0976,,0.0777,,0.8400,,-0.7834,,0.6556,,0.6578,,01/01/2017,12/31/2018,0.2575,,No,
RUSH UNIVERSITY MEDICAL CENTER,140119,IL,2020,07/01/2016,06/30/2018,-1.4781,,0.4099,,-0.4598,,0.5577,,0.4927,,0.5105,,01/01/2017,12/31/2018,0.0055,,No,
PEKIN MEMORIAL HOSPITAL,140120,IL,2020,07/01/2016,06/30/2018,-0.1707,,N/A,5,2.1854,,2.0996,,N/A,5,1.9710,,01/01/2017,12/31/2018,1.5213,,Yes,
ADVENTIST HINSDALE HOSPITAL,140122,IL,2020,07/01/2016,06/30/2018,-0.6214,,-0.1590,,-0.5567,,-1.2550,,-1.4453,,-0.2468,,01/01/2017,12/31/2018,-0.7140,,No,
JOHN H STROGER JR HOSPITAL,140124,IL,2020,07/01/2016,06/30/2018,2.3575,,-0.4017,,-0.3591,,-0.5992,,-0.1285,,0.3813,,01/01/2017,12/31/2018,0.2084,,No,
GATEWAY REGIONAL MEDICAL CENTER,140125,IL,2020,07/01/2016,06/30/2018,0.3928,,0.9509,,0.5511,,N/A,5,-1.4453,,-1.1663,,01/01/2017,12/31/2018,-0.1433,,No,
ADVOCATE BROMENN MEDICAL CENTER,140127,IL,2020,07/01/2016,06/30/2018,0.6346,,-1.4459,,-0.9710,,0.2224,,-0.8577,,0.3452,,01/01/2017,12/31/2018,-0.3454,,No,
NORTHWESTERN LAKE FOREST HOSPITAL,140130,IL,2020,07/01/2016,06/30/2018,2.3575,,1.0305,,1.9840,,-0.2805,,-1.4453,,0.8080,,01/01/2017,12/31/2018,0.7424,,Yes,
HOLY CROSS HOSPITAL,140133,IL,2020,07/01/2016,06/30/2018,-1.3743,,-0.0814,,0.2072,,-0.7392,,-0.2648,,0.2040,,01/01/2017,12/31/2018,-0.3414,,No,
DECATUR MEMORIAL HOSPITAL,140135,IL,2020,07/01/2016,06/30/2018,0.3654,,-1.0899,,0.4903,,0.6922,,1.9440,,1.4000,,01/01/2017,12/31/2018,0.6337,,Yes,
GREENVILLE REGIONAL HOSPITAL,140137,IL,2020,07/01/2016,06/30/2018,-0.0213,,N/A,5,N/A,5,N/A,5,N/A,5,-1.9626,,01/01/2017,12/31/2018,-0.9920,,No,
ST MARGARETS HOSPITAL,140143,IL,2020,07/01/2016,06/30/2018,2.0879,,N/A,5,N/A,5,N/A,5,N/A,5,1.6013,,01/01/2017,12/31/2018,1.8446,,Yes,
ST JOSEPHS HOSPITAL,140145,IL,2020,07/01/2016,06/30/2018,0.6681,,N/A,5,N/A,5,N/A,5,N/A,5,-0.8568,,01/01/2017,12/31/2018,-0.0943,,No,
RICHLAND MEMORIAL HOSPITAL,140147,IL,2020,07/01/2016,06/30/2018,0.8366,,N/A,5,1.8757,,N/A,5,N/A,5,1.9710,,01/01/2017,12/31/2018,1.5611,,Yes,
MEMORIAL MEDICAL CENTER,140148,IL,2020,07/01/2016,06/30/2018,0.1179,,0.6446,,-0.0684,,0.6480,,0.1034,,0.7149,,01/01/2017,12/31/2018,0.3600,,Yes,
UNIVERSITY OF ILLINOIS HOSPITAL,140150,IL,2020,07/01/2016,06/30/2018,2.3575,,-0.4613,,-0.3439,,2.0885,,-0.3444,,1.6104,,01/01/2017,12/31/2018,0.8178,,Yes,
PRESENCE ST MARYS HOSPITAL,140155,IL,2020,07/01/2016,06/30/2018,-0.6207,,1.3527,,-1.2674,,2.0996,,-0.7763,,-0.9079,,01/01/2017,12/31/2018,-0.0200,,No,
MERCY HOSPITAL AND MEDICAL CENTER,140158,IL,2020,07/01/2016,06/30/2018,2.3575,,2.1941,,0.8647,,2.0996,,0.1671,,0.6397,,01/01/2017,12/31/2018,1.3871,,Yes,
FHN MEMORIAL HOSPITAL,140160,IL,2020,07/01/2016,06/30/2018,-1.0312,,-1.4459,,-1.5354,,-0.4205,,-0.1427,,1.7786,,01/01/2017,12/31/2018,-0.4662,,No,
SAINT JAMES HOSPITAL,140161,IL,2020,07/01/2016,06/30/2018,-0.2452,,N/A,5,0.0381,,N/A,5,N/A,5,1.9710,,01/01/2017,12/31/2018,0.5879,,Yes,
ST JOSEPH MEDICAL CENTER,140162,IL,2020,07/01/2016,06/30/2018,-1.1515,,0.2169,,0.4922,,0.5761,,-1.4453,,1.9710,,01/01/2017,12/31/2018,0.1099,,No,
MEMORIAL HOSPITAL OF CARBONDALE,140164,IL,2020,07/01/2016,06/30/2018,-0.0986,,-1.0243,,-0.7107,,0.0529,,0.1370,,0.4835,,01/01/2017,12/31/2018,-0.1934,,No,
ST MARYS HOSPITAL,140166,IL,2020,07/01/2016,06/30/2018,0.3250,,-1.4459,,-1.1819,,-1.0505,,2.2502,,-1.2084,,01/01/2017,12/31/2018,-0.3853,,No,
IROQUOIS MEMORIAL HOSPITAL,140167,IL,2020,07/01/2016,06/30/2018,-0.4190,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,-0.4190,,No,
FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS,140172,IL,2020,07/01/2016,06/30/2018,2.3145,,0.4178,,0.5131,,-0.3505,,0.5706,,-0.5202,,01/01/2017,12/31/2018,0.4909,,Yes,
PRESENCE MERCY MEDICAL CENTER,140174,IL,2020,07/01/2016,06/30/2018,-1.3234,,0.1951,,-0.2641,,0.5964,,1.0768,,1.0334,,01/01/2017,12/31/2018,0.2190,,No,
JACKSON PARK HOSPITAL,140177,IL,2020,07/01/2016,06/30/2018,0.2979,,0.9907,,-1.5354,,N/A,5,-1.4453,,-1.9626,,01/01/2017,12/31/2018,-0.7309,,No,
LITTLE COMPANY OF MARY HOSPITAL,140179,IL,2020,07/01/2016,06/30/2018,1.3958,,0.1334,,0.2167,,1.4383,,-1.1834,,0.3873,,01/01/2017,12/31/2018,0.3980,,Yes,
PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER,140180,IL,2020,07/01/2016,06/30/2018,-1.0425,,-1.0680,,-0.9235,,1.0146,,-1.2471,,-0.4541,,01/01/2017,12/31/2018,-0.6201,,No,
SOUTH SHORE HOSPITAL,140181,IL,2020,07/01/2016,06/30/2018,-0.1220,,2.1941,,2.1854,,N/A,5,2.2502,,1.9710,,01/01/2017,12/31/2018,1.6957,,Yes,
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,140182,IL,2020,07/01/2016,06/30/2018,1.3793,,-1.0939,,0.3953,,-0.3634,,-1.4453,,-0.5623,,01/01/2017,12/31/2018,-0.2817,,No,
HEARTLAND REGIONAL MEDICAL CENTER,140184,IL,2020,07/01/2016,06/30/2018,0.6132,,-1.4459,,-0.9938,,-0.4942,,N/A,5,1.9710,,01/01/2017,12/31/2018,-0.0699,,No,
MEMORIAL HOSPITAL,140185,IL,2020,07/01/2016,06/30/2018,1.9637,,-0.1013,,-0.4066,,0.2740,,-0.7356,,0.7629,,01/01/2017,12/31/2018,0.2929,,No,
RIVERSIDE MEDICAL CENTER,140186,IL,2020,07/01/2016,06/30/2018,-0.5000,,0.1990,,-1.0375,,-0.4518,,0.1688,,0.5586,,01/01/2017,12/31/2018,-0.1772,,No,
HSHS ST ELIZABETH'S HOSPITAL,140187,IL,2020,07/01/2016,06/30/2018,1.5532,,-0.1888,,-1.0907,,-1.5000,,-1.4453,,-0.8838,,01/01/2017,12/31/2018,-0.5926,,No,
SARAH BUSH LINCOLN HEALTH CENTER,140189,IL,2020,07/01/2016,06/30/2018,2.3575,,-1.4459,,1.3664,,-0.9621,,-0.4896,,0.5285,,01/01/2017,12/31/2018,0.2258,,No,
INGALLS MEMORIAL HOSPITAL,140191,IL,2020,07/01/2016,06/30/2018,0.4497,,0.1453,,0.1882,,2.0996,,-0.7002,,0.4865,,01/01/2017,12/31/2018,0.4448,,Yes,
METHODIST HOSPITAL OF CHICAGO,140197,IL,2020,07/01/2016,06/30/2018,-0.1384,,N/A,5,N/A,5,N/A,5,N/A,5,-1.9146,,01/01/2017,12/31/2018,-1.0265,,No,
ELMHURST MEMORIAL HOSPITAL,140200,IL,2020,07/01/2016,06/30/2018,0.1652,,-0.4693,,-0.7772,,-1.3084,,-0.2312,,-0.5893,,01/01/2017,12/31/2018,-0.5350,,No,
ADVOCATE CONDELL MEDICAL CENTER,140202,IL,2020,07/01/2016,06/30/2018,-0.1790,,-0.0874,,1.1516,,-0.4371,,-0.9072,,1.6675,,01/01/2017,12/31/2018,0.2014,,No,
NORWEGIAN-AMERICAN HOSPITAL,140206,IL,2020,07/01/2016,06/30/2018,0.8534,,-1.4459,,-0.9026,,N/A,5,-0.3816,,0.3813,,01/01/2017,12/31/2018,-0.2991,,No,
ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,140208,IL,2020,07/01/2016,06/30/2018,2.3575,,-0.3818,,-0.1919,,0.1616,,-0.5533,,1.2708,,01/01/2017,12/31/2018,0.4438,,Yes,
METHODIST MEDICAL CENTER OF ILLINOIS,140209,IL,2020,07/01/2016,06/30/2018,-1.1621,,-0.0078,,-0.3268,,-1.1905,,-1.0701,,0.5045,,01/01/2017,12/31/2018,-0.5421,,No,
HARRISBURG MEDICAL CENTER,140210,IL,2020,07/01/2016,06/30/2018,-0.0817,,N/A,5,-1.5354,,N/A,5,N/A,5,1.9710,,01/01/2017,12/31/2018,0.1180,,No,
DELNOR COMMUNITY HOSPITAL,140211,IL,2020,07/01/2016,06/30/2018,-0.1541,,-0.9785,,0.6671,,-0.4721,,-1.4453,,0.4955,,01/01/2017,12/31/2018,-0.3146,,No,
SILVER CROSS HOSPITAL  AND MEDICAL CENTERS,140213,IL,2020,07/01/2016,06/30/2018,-0.8471,,0.6426,,0.0856,,0.3145,,-0.5126,,-0.6645,,01/01/2017,12/31/2018,-0.1636,,No,
PRESENCE SAINT JOSEPH HOSPITAL - ELGIN,140217,IL,2020,07/01/2016,06/30/2018,-0.4766,,0.3582,,-0.7981,,0.1027,,0.6803,,-0.0334,,01/01/2017,12/31/2018,-0.0278,,No,
ADVOCATE LUTHERAN GENERAL HOSPITAL,140223,IL,2020,07/01/2016,06/30/2018,0.7746,,0.4198,,1.0224,,-0.0005,,-0.3444,,1.6434,,01/01/2017,12/31/2018,0.5859,,Yes,
PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO,140224,IL,2020,07/01/2016,06/30/2018,-0.1730,,-1.2251,,-1.5354,,0.0695,,-0.3604,,0.0778,,01/01/2017,12/31/2018,-0.5244,,No,
SWEDISH AMERICAN HOSPITAL,140228,IL,2020,07/01/2016,06/30/2018,0.3843,,-0.1709,,0.1711,,0.1929,,-0.8046,,0.8891,,01/01/2017,12/31/2018,0.1103,,No,
EDWARD HOSPITAL,140231,IL,2020,07/01/2016,06/30/2018,-1.3405,,-0.7338,,0.8476,,0.8617,,-0.3763,,0.5195,,01/01/2017,12/31/2018,-0.0370,,No,
SAINT ANTHONY MEDICAL CENTER,140233,IL,2020,07/01/2016,06/30/2018,0.2527,,0.1533,,1.1345,,2.0996,,-0.2347,,0.6487,,01/01/2017,12/31/2018,0.6757,,Yes,
ILLINOIS VALLEY COMMUNITY HOSPITAL,140234,IL,2020,07/01/2016,06/30/2018,-0.5931,,N/A,5,N/A,5,-1.5000,,N/A,5,1.9710,,01/01/2017,12/31/2018,-0.0407,,No,
MERCYHEALTH HOSPITAL ROCKTON AVENUE,140239,IL,2020,07/01/2016,06/30/2018,0.5440,,-0.2346,,-0.3667,,0.3329,,0.1635,,1.7396,,01/01/2017,12/31/2018,0.3631,,Yes,
WESTLAKE HOSPITAL,140240,IL,2020,07/01/2016,06/30/2018,1.1244,,2.1941,,-0.8247,,1.3277,,N/A,5,-0.3159,,01/01/2017,12/31/2018,0.7011,,Yes,
CENTRAL DUPAGE HOSPITAL,140242,IL,2020,07/01/2016,06/30/2018,1.2356,,-0.1530,,0.3877,,1.7312,,-1.2488,,-0.3760,,01/01/2017,12/31/2018,0.2628,,No,
ADVOCATE SOUTH SUBURBAN HOSPITAL,140250,IL,2020,07/01/2016,06/30/2018,0.6253,,0.6028,,-0.1311,,0.0750,,-0.9798,,1.9199,,01/01/2017,12/31/2018,0.3520,,Yes,
COMMUNITY FIRST MEDICAL CENTER,140251,IL,2020,07/01/2016,06/30/2018,0.9442,,-0.5767,,-1.3682,,-0.1552,,-0.2223,,-0.2798,,01/01/2017,12/31/2018,-0.2763,,No,
NORTHWEST COMMUNITY HOSPITAL 1,140252,IL,2020,07/01/2016,06/30/2018,-0.3705,,0.0618,,0.3972,,0.1764,,-0.3869,,1.9710,,01/01/2017,12/31/2018,0.3082,,No,
ALEXIAN BROTHERS MEDICAL CENTER 1,140258,IL,2020,07/01/2016,06/30/2018,0.3262,,-0.9407,,-0.1577,,0.0861,,0.0184,,0.2070,,01/01/2017,12/31/2018,-0.0768,,No,
GENESIS HEALTH SYSTEM,140275,IL,2020,07/01/2016,06/30/2018,0.1688,,0.2249,,-1.5354,,-1.5000,,N/A,5,-0.0725,,01/01/2017,12/31/2018,-0.5428,,No,
LOYOLA UNIVERSITY MEDICAL CENTER,140276,IL,2020,07/01/2016,06/30/2018,0.8664,,-0.3360,,-0.4351,,0.4435,,0.0874,,-0.0484,,01/01/2017,12/31/2018,0.0963,,No,
TRINITY ROCK ISLAND,140280,IL,2020,07/01/2016,06/30/2018,-0.6669,,0.4417,,1.2885,,0.8967,,-0.3232,,0.6518,,01/01/2017,12/31/2018,0.3814,,Yes,
NORTHWESTERN MEMORIAL HOSPITAL,140281,IL,2020,07/01/2016,06/30/2018,2.3575,,-0.1351,,0.0020,,-0.2363,,-0.2559,,0.1289,,01/01/2017,12/31/2018,0.3102,,No,
KISHWAUKEE COMMUNITY HOSPITAL,140286,IL,2020,07/01/2016,06/30/2018,-0.4112,,0.8216,,-1.2332,,0.0677,,2.2502,,1.2798,,01/01/2017,12/31/2018,0.4625,,Yes,
ADVOCATE GOOD SAMARITAN HOSPITAL,140288,IL,2020,07/01/2016,06/30/2018,2.3575,,-0.2624,,0.1597,,0.2869,,-0.5480,,1.7456,,01/01/2017,12/31/2018,0.6232,,Yes,
ANDERSON HOSPITAL,140289,IL,2020,07/01/2016,06/30/2018,-0.6050,,0.8693,,0.4618,,-0.2068,,-0.8311,,0.1259,,01/01/2017,12/31/2018,-0.0310,,No,
ST ALEXIUS MEDICAL CENTER,140290,IL,2020,07/01/2016,06/30/2018,0.4395,,-0.0854,,0.4200,,-1.0192,,-0.9621,,-0.5713,,01/01/2017,12/31/2018,-0.2964,,No,
ADVOCATE GOOD SHEPHERD HOSPITAL,140291,IL,2020,07/01/2016,06/30/2018,0.4967,,0.2030,,0.0951,,-0.2031,,-1.4453,,1.1476,,01/01/2017,12/31/2018,0.0490,,No,
ADVENTIST GLENOAKS,140292,IL,2020,07/01/2016,06/30/2018,0.0926,,0.0001,,-0.2432,,N/A,5,-1.4453,,-0.9319,,01/01/2017,12/31/2018,-0.5055,,No,
CROSSROADS COMMUNITY HOSPITAL,140294,IL,2020,07/01/2016,06/30/2018,-0.2265,,N/A,5,N/A,5,N/A,5,N/A,5,0.6427,,01/01/2017,12/31/2018,0.2081,,No,
PROVIDENT HOSPITAL OF CHICAGO,140300,IL,2020,07/01/2016,06/30/2018,0.0294,,N/A,5,N/A,5,N/A,5,N/A,5,-1.9626,,01/01/2017,12/31/2018,-0.9666,,No,
ADVENTIST BOLINGBROOK HOSPITAL,140304,IL,2020,07/01/2016,06/30/2018,0.5998,,-0.4295,,1.0471,,-0.9087,,-1.4453,,0.0237,,01/01/2017,12/31/2018,-0.1855,,No,
METRO-EAST SERVICES INC,140307,IL,2020,07/01/2016,06/30/2018,1.1565,,-1.4459,,0.9160,,0.9630,,-1.4453,,1.9169,,01/01/2017,12/31/2018,0.3435,,Yes,
JOHNSON MEMORIAL HOSPITAL,150001,IN,2020,07/01/2016,06/30/2018,-0.0579,,N/A,5,N/A,5,-0.2971,,N/A,5,-1.1242,,01/01/2017,12/31/2018,-0.4931,,No,
METHODIST HOSPITALS INC,150002,IN,2020,07/01/2016,06/30/2018,-0.0741,,0.5451,,-0.4845,,0.8267,,-0.5214,,-0.5713,,01/01/2017,12/31/2018,-0.0466,,No,
FRANCISCAN HEALTH HAMMOND,150004,IN,2020,07/01/2016,06/30/2018,-0.5544,,1.5536,,0.9958,,-0.4426,,0.2556,,1.7516,,01/01/2017,12/31/2018,0.5933,,Yes,
HENDRICKS REGIONAL HEALTH,150005,IN,2020,07/01/2016,06/30/2018,-0.1289,,0.6287,,-0.0969,,-0.5439,,-1.4453,,-0.2197,,01/01/2017,12/31/2018,-0.3010,,No,
LA PORTE HOSPITAL,150006,IN,2020,07/01/2016,06/30/2018,0.2125,,1.1001,,1.4899,,1.6464,,N/A,5,1.9710,,01/01/2017,12/31/2018,1.2840,,Yes,
COMMUNITY HOWARD REGIONAL HEALTH INC,150007,IN,2020,07/01/2016,06/30/2018,0.1617,,-1.4459,,-1.5354,,-0.7060,,-1.4453,,0.7419,,01/01/2017,12/31/2018,-0.7048,,No,
ST CATHERINE HOSPITAL INC,150008,IN,2020,07/01/2016,06/30/2018,0.0176,,0.2149,,0.1825,,0.3680,,0.1193,,0.0147,,01/01/2017,12/31/2018,0.1528,,No,
CLARK MEMORIAL HEALTH,150009,IN,2020,07/01/2016,06/30/2018,-1.5258,,0.3820,,-0.6973,,-0.4795,,1.7281,,1.0965,,01/01/2017,12/31/2018,0.0840,,No,
ST VINCENT KOKOMO,150010,IN,2020,07/01/2016,06/30/2018,-1.5189,,-0.5429,,-1.5354,,-0.7024,,-1.4453,,0.3663,,01/01/2017,12/31/2018,-0.8964,,No,
MARION GENERAL HOSPITAL,150011,IN,2020,07/01/2016,06/30/2018,-0.3295,,1.1220,,-0.3914,,0.6056,,1.8201,,0.0267,,01/01/2017,12/31/2018,0.4756,,Yes,
SAINT JOSEPH REGIONAL MEDICAL CENTER,150012,IN,2020,07/01/2016,06/30/2018,-0.3606,,0.0021,,-0.7392,,-0.1994,,0.3529,,-0.0033,,01/01/2017,12/31/2018,-0.1579,,No,
FRANCISCAN HEALTH MICHIGAN CITY,150015,IN,2020,07/01/2016,06/30/2018,-1.5258,,0.2269,,0.0742,,-1.1463,,1.1635,,1.4060,,01/01/2017,12/31/2018,0.0331,,No,
LUTHERAN HOSPITAL OF INDIANA,150017,IN,2020,07/01/2016,06/30/2018,0.5508,,0.0857,,0.8153,,0.2629,,-0.6471,,0.2040,,01/01/2017,12/31/2018,0.2119,,No,
ELKHART GENERAL HOSPITAL,150018,IN,2020,07/01/2016,06/30/2018,0.4001,,-0.8890,,-1.3435,,-0.5918,,0.3883,,-0.3700,,01/01/2017,12/31/2018,-0.4010,,No,
PARKVIEW REGIONAL MEDICAL CENTER,150021,IN,2020,07/01/2016,06/30/2018,2.0315,,-0.9427,,-0.3268,,0.8395,,-0.6612,,1.0875,,01/01/2017,12/31/2018,0.3380,,Yes,
FRANCISCAN HEALTH CRAWFORDSVILLE,150022,IN,2020,07/01/2016,06/30/2018,-0.4295,,N/A,5,N/A,5,N/A,5,N/A,5,0.7990,,01/01/2017,12/31/2018,0.1848,,No,
UNION HOSPITAL INC,150023,IN,2020,07/01/2016,06/30/2018,0.7082,,-0.3122,,-0.3173,,-0.4518,,-0.3515,,-0.0995,,01/01/2017,12/31/2018,-0.1374,,No,
ESKENAZI HEALTH,150024,IN,2020,07/01/2016,06/30/2018,-0.5103,,0.4715,,-0.2527,,2.0996,,1.4502,,0.6638,,01/01/2017,12/31/2018,0.6537,,Yes,
GOSHEN GENERAL HOSPITAL,150026,IN,2020,07/01/2016,06/30/2018,1.0813,,-1.4459,,-1.2161,,1.6833,,0.7140,,1.4811,,01/01/2017,12/31/2018,0.3829,,Yes,
HENRY COUNTY MEMORIAL HOSPITAL,150030,IN,2020,07/01/2016,06/30/2018,0.2038,,N/A,5,-0.2014,,N/A,5,N/A,5,-0.4451,,01/01/2017,12/31/2018,-0.1475,,No,
ST MARY MEDICAL CENTER INC,150034,IN,2020,07/01/2016,06/30/2018,-0.3835,,-0.0277,,-0.6726,,-0.3542,,0.0662,,1.0815,,01/01/2017,12/31/2018,-0.0484,,No,
PORTER REGIONAL HOSPITAL,150035,IN,2020,07/01/2016,06/30/2018,-0.4860,,-0.1809,,-0.4370,,-0.7576,,-0.9444,,0.3242,,01/01/2017,12/31/2018,-0.4136,,No,
HANCOCK REGIONAL HOSPITAL,150037,IN,2020,07/01/2016,06/30/2018,-0.7662,,0.1970,,1.1573,,-0.0336,,2.0591,,-0.5473,,01/01/2017,12/31/2018,0.3444,,Yes,
GOOD SAMARITAN HOSPITAL,150042,IN,2020,07/01/2016,06/30/2018,-1.4019,,1.8500,,1.0338,,0.0253,,1.0432,,0.4985,,01/01/2017,12/31/2018,0.5081,,Yes,
BAPTIST HEALTH FLOYD,150044,IN,2020,07/01/2016,06/30/2018,0.9135,,-1.1814,,-0.8038,,-1.0561,,-0.3958,,-0.2528,,01/01/2017,12/31/2018,-0.4627,,No,
DEKALB HEALTH,150045,IN,2020,07/01/2016,06/30/2018,-0.4862,,N/A,5,N/A,5,N/A,5,N/A,5,-0.5983,,01/01/2017,12/31/2018,-0.5423,,No,
TERRE HAUTE REGIONAL HOSPITAL,150046,IN,2020,07/01/2016,06/30/2018,0.0238,,1.2532,,-0.7088,,-0.1829,,-0.4966,,-0.9890,,01/01/2017,12/31/2018,-0.1834,,No,
ST JOSEPH HOSPITAL,150047,IN,2020,07/01/2016,06/30/2018,1.7082,,-0.1709,,-0.0379,,N/A,5,-0.7196,,-0.5172,,01/01/2017,12/31/2018,0.0525,,No,
REID HEALTH,150048,IN,2020,07/01/2016,06/30/2018,0.6183,,-0.1709,,-0.4978,,-1.5000,,-0.8046,,0.2942,,01/01/2017,12/31/2018,-0.3435,,No,
IU HEALTH BLOOMINGTON HOSPITAL,150051,IN,2020,07/01/2016,06/30/2018,-0.7954,,0.4795,,1.4728,,1.6685,,-1.1993,,-0.0064,,01/01/2017,12/31/2018,0.2700,,No,
INDIANA UNIVERSITY HEALTH,150056,IN,2020,07/01/2016,06/30/2018,-0.8375,,0.4755,,-0.0265,,0.2611,,0.0503,,-0.3670,,01/01/2017,12/31/2018,-0.0740,,No,
FRANCISCAN HEALTH MOORESVILLE,150057,IN,2020,07/01/2016,06/30/2018,-1.5258,,N/A,5,-1.5354,,-0.4850,,N/A,5,-0.7576,,01/01/2017,12/31/2018,-1.0759,,No,
MEMORIAL HOSPITAL OF SOUTH BEND,150058,IN,2020,07/01/2016,06/30/2018,-0.8383,,-0.2406,,0.6899,,0.5835,,-0.4719,,-1.1393,,01/01/2017,12/31/2018,-0.2361,,No,
RIVERVIEW HEALTH,150059,IN,2020,07/01/2016,06/30/2018,0.3303,,1.6451,,-0.0379,,1.3388,,-0.0913,,0.6247,,01/01/2017,12/31/2018,0.6349,,Yes,
DAVIESS COMMUNITY HOSPITAL,150061,IN,2020,07/01/2016,06/30/2018,-0.0185,,N/A,5,N/A,5,N/A,5,N/A,5,0.1108,,01/01/2017,12/31/2018,0.0462,,No,
FAYETTE REGIONAL HEALTH SYSTEM,150064,IN,2020,07/01/2016,06/30/2018,-0.1966,,N/A,5,N/A,5,N/A,5,N/A,5,1.7877,,01/01/2017,12/31/2018,0.7955,,Yes,
SCHNECK MEDICAL CENTER,150065,IN,2020,07/01/2016,06/30/2018,-1.0219,,-0.7895,,-0.8057,,-1.1058,,-0.0648,,1.9710,,01/01/2017,12/31/2018,-0.3028,,No,
KING'S DAUGHTERS' HEALTH,150069,IN,2020,07/01/2016,06/30/2018,-0.5135,,-1.4459,,-0.6365,,-1.5000,,N/A,5,0.1529,,01/01/2017,12/31/2018,-0.7886,,No,
MEMORIAL HOSPITAL,150072,IN,2020,07/01/2016,06/30/2018,1.3559,,N/A,5,-1.5354,,-0.3579,,N/A,5,1.9710,,01/01/2017,12/31/2018,0.3584,,Yes,
