"Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","Phone Number","Condition","Measure ID","Measure Name","Score","Sample","Footnote","Start Date","End Date"
13003F,BOISE VA MEDICAL CENTER,500 W. FORT STREET,BOISE,ID,83702,ADA,(208) 422-1000,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,1687,,01/01/2018,12/31/2018
13003F,BOISE VA MEDICAL CENTER,500 W. FORT STREET,BOISE,ID,83702,ADA,(208) 422-1000,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,1687,,01/01/2018,12/31/2018
13003F,BOISE VA MEDICAL CENTER,500 W. FORT STREET,BOISE,ID,83702,ADA,(208) 422-1000,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,"1, 2",01/01/2018,12/31/2018
13003F,BOISE VA MEDICAL CENTER,500 W. FORT STREET,BOISE,ID,83702,ADA,(208) 422-1000,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,80,66,2,01/01/2018,12/31/2018
13003F,BOISE VA MEDICAL CENTER,500 W. FORT STREET,BOISE,ID,83702,ADA,(208) 422-1000,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,71,73,2,01/01/2018,12/31/2018
13003F,BOISE VA MEDICAL CENTER,500 W. FORT STREET,BOISE,ID,83702,ADA,(208) 422-1000,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,74,128,2,01/01/2018,12/31/2018
14003F,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO HEALTHCARE SYSTEM,820 S DAMEN STREET,CHICAGO,IL,60612,COOK,(312) 569-8387,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,10037,,01/01/2018,12/31/2018
14003F,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO HEALTHCARE SYSTEM,820 S DAMEN STREET,CHICAGO,IL,60612,COOK,(312) 569-8387,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,10037,,01/01/2018,12/31/2018
14003F,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO HEALTHCARE SYSTEM,820 S DAMEN STREET,CHICAGO,IL,60612,COOK,(312) 569-8387,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,"1, 2",01/01/2018,12/31/2018
14003F,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO HEALTHCARE SYSTEM,820 S DAMEN STREET,CHICAGO,IL,60612,COOK,(312) 569-8387,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,41,111,2,01/01/2018,12/31/2018
14003F,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO HEALTHCARE SYSTEM,820 S DAMEN STREET,CHICAGO,IL,60612,COOK,(312) 569-8387,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,54,212,2,01/01/2018,12/31/2018
14003F,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO HEALTHCARE SYSTEM,820 S DAMEN STREET,CHICAGO,IL,60612,COOK,(312) 569-8387,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,74,271,2,01/01/2018,12/31/2018
14004F,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,1900 E. MAIN,DANVILLE,IL,61832,VERMILION,(217) 554-3000,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,4773,,01/01/2018,12/31/2018
14004F,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,1900 E. MAIN,DANVILLE,IL,61832,VERMILION,(217) 554-3000,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,4773,,01/01/2018,12/31/2018
14004F,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,1900 E. MAIN,DANVILLE,IL,61832,VERMILION,(217) 554-3000,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,100,12,2,01/01/2018,12/31/2018
14004F,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,1900 E. MAIN,DANVILLE,IL,61832,VERMILION,(217) 554-3000,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,100,118,2,01/01/2018,12/31/2018
14004F,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,1900 E. MAIN,DANVILLE,IL,61832,VERMILION,(217) 554-3000,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,93,165,2,01/01/2018,12/31/2018
14004F,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,1900 E. MAIN,DANVILLE,IL,61832,VERMILION,(217) 554-3000,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,99,241,2,01/01/2018,12/31/2018
14007F,HINES VA MEDICAL CENTER,5000 SOUTH 5TH AVENUE,HINES,IL,60141,COOK,(708) 202-8387,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,5594,,01/01/2018,12/31/2018
14007F,HINES VA MEDICAL CENTER,5000 SOUTH 5TH AVENUE,HINES,IL,60141,COOK,(708) 202-8387,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,5594,,01/01/2018,12/31/2018
14007F,HINES VA MEDICAL CENTER,5000 SOUTH 5TH AVENUE,HINES,IL,60141,COOK,(708) 202-8387,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,"1, 2",01/01/2018,12/31/2018
14007F,HINES VA MEDICAL CENTER,5000 SOUTH 5TH AVENUE,HINES,IL,60141,COOK,(708) 202-8387,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,98,127,2,01/01/2018,12/31/2018
14007F,HINES VA MEDICAL CENTER,5000 SOUTH 5TH AVENUE,HINES,IL,60141,COOK,(708) 202-8387,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,73,170,2,01/01/2018,12/31/2018
14007F,HINES VA MEDICAL CENTER,5000 SOUTH 5TH AVENUE,HINES,IL,60141,COOK,(708) 202-8387,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,62,295,2,01/01/2018,12/31/2018
14008F,MARION IL VA MEDICAL CENTER,2401 WEST MAIN,MARION,IL,62959,WILLIAMSON,(618) 997-5311,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,Not Available,Not Available,7,01/01/2018,12/31/2018
14008F,MARION IL VA MEDICAL CENTER,2401 WEST MAIN,MARION,IL,62959,WILLIAMSON,(618) 997-5311,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,Not Available,Not Available,7,01/01/2018,12/31/2018
14008F,MARION IL VA MEDICAL CENTER,2401 WEST MAIN,MARION,IL,62959,WILLIAMSON,(618) 997-5311,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,7,01/01/2018,12/31/2018
14008F,MARION IL VA MEDICAL CENTER,2401 WEST MAIN,MARION,IL,62959,WILLIAMSON,(618) 997-5311,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,43,61,2,01/01/2018,12/31/2018
14008F,MARION IL VA MEDICAL CENTER,2401 WEST MAIN,MARION,IL,62959,WILLIAMSON,(618) 997-5311,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,88,43,2,01/01/2018,12/31/2018
14008F,MARION IL VA MEDICAL CENTER,2401 WEST MAIN,MARION,IL,62959,WILLIAMSON,(618) 997-5311,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,98,115,2,01/01/2018,12/31/2018
14034F,NORTH CHICAGO VA MEDICAL CENTER,3001 GREENBAY ROAD,NORTH CHICAGO,IL,60064,LAKE,(847) 688-1900,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,7156,,01/01/2018,12/31/2018
14034F,NORTH CHICAGO VA MEDICAL CENTER,3001 GREENBAY ROAD,NORTH CHICAGO,IL,60064,LAKE,(847) 688-1900,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,7156,,01/01/2018,12/31/2018
14034F,NORTH CHICAGO VA MEDICAL CENTER,3001 GREENBAY ROAD,NORTH CHICAGO,IL,60064,LAKE,(847) 688-1900,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,"1, 2",01/01/2018,12/31/2018
14034F,NORTH CHICAGO VA MEDICAL CENTER,3001 GREENBAY ROAD,NORTH CHICAGO,IL,60064,LAKE,(847) 688-1900,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,36,66,2,01/01/2018,12/31/2018
14034F,NORTH CHICAGO VA MEDICAL CENTER,3001 GREENBAY ROAD,NORTH CHICAGO,IL,60064,LAKE,(847) 688-1900,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,87,62,2,01/01/2018,12/31/2018
14034F,NORTH CHICAGO VA MEDICAL CENTER,3001 GREENBAY ROAD,NORTH CHICAGO,IL,60064,LAKE,(847) 688-1900,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,76,87,2,01/01/2018,12/31/2018
15002F,VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE,2121 LAKE AVENUE,FORT WAYNE,IN,46805,ALLEN,(260) 426-5431,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,Not Available,Not Available,"5, 24",01/01/2018,12/31/2018
15002F,VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE,2121 LAKE AVENUE,FORT WAYNE,IN,46805,ALLEN,(260) 426-5431,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,Not Available,Not Available,"5, 24",01/01/2018,12/31/2018
15002F,VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE,2121 LAKE AVENUE,FORT WAYNE,IN,46805,ALLEN,(260) 426-5431,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,"5, 24",01/01/2018,12/31/2018
15002F,VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE,2121 LAKE AVENUE,FORT WAYNE,IN,46805,ALLEN,(260) 426-5431,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,Not Available,Not Available,"5, 24",01/01/2018,12/31/2018
15002F,VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE,2121 LAKE AVENUE,FORT WAYNE,IN,46805,ALLEN,(260) 426-5431,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,"5, 24",01/01/2018,12/31/2018
15002F,VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE,2121 LAKE AVENUE,FORT WAYNE,IN,46805,ALLEN,(260) 426-5431,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,Not Available,Not Available,"5, 24",01/01/2018,12/31/2018
15003F,INDIANAPOLIS VA MEDICAL CENTER,1481 W. TENTH STREET,INDIANAPOLIS,IN,46202,MARION,(317) 554-0000,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,4665,,01/01/2018,12/31/2018
15003F,INDIANAPOLIS VA MEDICAL CENTER,1481 W. TENTH STREET,INDIANAPOLIS,IN,46202,MARION,(317) 554-0000,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,4665,,01/01/2018,12/31/2018
15003F,INDIANAPOLIS VA MEDICAL CENTER,1481 W. TENTH STREET,INDIANAPOLIS,IN,46202,MARION,(317) 554-0000,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,"1, 2",01/01/2018,12/31/2018
15003F,INDIANAPOLIS VA MEDICAL CENTER,1481 W. TENTH STREET,INDIANAPOLIS,IN,46202,MARION,(317) 554-0000,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,92,113,2,01/01/2018,12/31/2018
15003F,INDIANAPOLIS VA MEDICAL CENTER,1481 W. TENTH STREET,INDIANAPOLIS,IN,46202,MARION,(317) 554-0000,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,82,157,2,01/01/2018,12/31/2018
15003F,INDIANAPOLIS VA MEDICAL CENTER,1481 W. TENTH STREET,INDIANAPOLIS,IN,46202,MARION,(317) 554-0000,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,98,245,2,01/01/2018,12/31/2018
15004F,VA N. INDIANA HEALTHCARE SYSTEM - MARION,1700 E. 38TH STREET,MARION,IN,46953,GRANT,(765) 674-3321,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,3993,,01/01/2018,12/31/2018
15004F,VA N. INDIANA HEALTHCARE SYSTEM - MARION,1700 E. 38TH STREET,MARION,IN,46953,GRANT,(765) 674-3321,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,3993,,01/01/2018,12/31/2018
15004F,VA N. INDIANA HEALTHCARE SYSTEM - MARION,1700 E. 38TH STREET,MARION,IN,46953,GRANT,(765) 674-3321,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,81,31,2,01/01/2018,12/31/2018
15004F,VA N. INDIANA HEALTHCARE SYSTEM - MARION,1700 E. 38TH STREET,MARION,IN,46953,GRANT,(765) 674-3321,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,85,89,2,01/01/2018,12/31/2018
15004F,VA N. INDIANA HEALTHCARE SYSTEM - MARION,1700 E. 38TH STREET,MARION,IN,46953,GRANT,(765) 674-3321,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,93,105,2,01/01/2018,12/31/2018
15004F,VA N. INDIANA HEALTHCARE SYSTEM - MARION,1700 E. 38TH STREET,MARION,IN,46953,GRANT,(765) 674-3321,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,99,200,2,01/01/2018,12/31/2018
16003F,VA CENTRAL IOWA HEALTHCARE SYSTEM,3600 30TH STREET,DES MOINES,IA,50310,POLK,(515) 699-5999,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,2458,,01/01/2018,12/31/2018
16003F,VA CENTRAL IOWA HEALTHCARE SYSTEM,3600 30TH STREET,DES MOINES,IA,50310,POLK,(515) 699-5999,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,2458,,01/01/2018,12/31/2018
16003F,VA CENTRAL IOWA HEALTHCARE SYSTEM,3600 30TH STREET,DES MOINES,IA,50310,POLK,(515) 699-5999,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,92,13,2,01/01/2018,12/31/2018
16003F,VA CENTRAL IOWA HEALTHCARE SYSTEM,3600 30TH STREET,DES MOINES,IA,50310,POLK,(515) 699-5999,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,98,57,2,01/01/2018,12/31/2018
16003F,VA CENTRAL IOWA HEALTHCARE SYSTEM,3600 30TH STREET,DES MOINES,IA,50310,POLK,(515) 699-5999,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,79,85,2,01/01/2018,12/31/2018
16003F,VA CENTRAL IOWA HEALTHCARE SYSTEM,3600 30TH STREET,DES MOINES,IA,50310,POLK,(515) 699-5999,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,93,120,2,01/01/2018,12/31/2018
16004F,IOWA CITY VA MEDICAL CENTER,601 HIGHWAY 6 WEST,IOWA CITY,IA,52246,JOHNSON,(319) 338-0581,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,4697,,01/01/2018,12/31/2018
16004F,IOWA CITY VA MEDICAL CENTER,601 HIGHWAY 6 WEST,IOWA CITY,IA,52246,JOHNSON,(319) 338-0581,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,4697,,01/01/2018,12/31/2018
16004F,IOWA CITY VA MEDICAL CENTER,601 HIGHWAY 6 WEST,IOWA CITY,IA,52246,JOHNSON,(319) 338-0581,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,"1, 2",01/01/2018,12/31/2018
16004F,IOWA CITY VA MEDICAL CENTER,601 HIGHWAY 6 WEST,IOWA CITY,IA,52246,JOHNSON,(319) 338-0581,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,99,87,2,01/01/2018,12/31/2018
16004F,IOWA CITY VA MEDICAL CENTER,601 HIGHWAY 6 WEST,IOWA CITY,IA,52246,JOHNSON,(319) 338-0581,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,72,78,2,01/01/2018,12/31/2018
16004F,IOWA CITY VA MEDICAL CENTER,601 HIGHWAY 6 WEST,IOWA CITY,IA,52246,JOHNSON,(319) 338-0581,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,84,122,2,01/01/2018,12/31/2018
17005F,COLMERY-O'NEIL VA MEDICAL CENTER,2200 SW GAGE BOULEVARD,TOPEKA,KS,66622,SHAWNEE,(913) 682-2000,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,4172,,01/01/2018,12/31/2018
17005F,COLMERY-O'NEIL VA MEDICAL CENTER,2200 SW GAGE BOULEVARD,TOPEKA,KS,66622,SHAWNEE,(913) 682-2000,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,4172,,01/01/2018,12/31/2018
17005F,COLMERY-O'NEIL VA MEDICAL CENTER,2200 SW GAGE BOULEVARD,TOPEKA,KS,66622,SHAWNEE,(913) 682-2000,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,"1, 2",01/01/2018,12/31/2018
17005F,COLMERY-O'NEIL VA MEDICAL CENTER,2200 SW GAGE BOULEVARD,TOPEKA,KS,66622,SHAWNEE,(913) 682-2000,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,89,155,2,01/01/2018,12/31/2018
17005F,COLMERY-O'NEIL VA MEDICAL CENTER,2200 SW GAGE BOULEVARD,TOPEKA,KS,66622,SHAWNEE,(913) 682-2000,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,80,181,2,01/01/2018,12/31/2018
17005F,COLMERY-O'NEIL VA MEDICAL CENTER,2200 SW GAGE BOULEVARD,TOPEKA,KS,66622,SHAWNEE,(913) 682-2000,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,69,167,2,01/01/2018,12/31/2018
17006F,VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH,4101 S. 4TH STREET,LEAVENWORTH,KS,66048,LEAVENWORTH,(913) 682-2000,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,Not Available,Not Available,"5, 24",01/01/2018,12/31/2018
17006F,VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH,4101 S. 4TH STREET,LEAVENWORTH,KS,66048,LEAVENWORTH,(913) 682-2000,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,Not Available,Not Available,"5, 24",01/01/2018,12/31/2018
17006F,VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH,4101 S. 4TH STREET,LEAVENWORTH,KS,66048,LEAVENWORTH,(913) 682-2000,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,"5, 24",01/01/2018,12/31/2018
17006F,VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH,4101 S. 4TH STREET,LEAVENWORTH,KS,66048,LEAVENWORTH,(913) 682-2000,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,Not Available,Not Available,"5, 24",01/01/2018,12/31/2018
17006F,VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH,4101 S. 4TH STREET,LEAVENWORTH,KS,66048,LEAVENWORTH,(913) 682-2000,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,"5, 24",01/01/2018,12/31/2018
17006F,VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH,4101 S. 4TH STREET,LEAVENWORTH,KS,66048,LEAVENWORTH,(913) 682-2000,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,Not Available,Not Available,"5, 24",01/01/2018,12/31/2018
17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,(316) 685-2221,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,Not Available,Not Available,7,01/01/2018,12/31/2018
17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,(316) 685-2221,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,Not Available,Not Available,7,01/01/2018,12/31/2018
17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,(316) 685-2221,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,7,01/01/2018,12/31/2018
17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,(316) 685-2221,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,100,62,2,01/01/2018,12/31/2018
17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,(316) 685-2221,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,85,75,2,01/01/2018,12/31/2018
17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,(316) 685-2221,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,91,133,2,01/01/2018,12/31/2018
18006F,LOUISVILLE VA MEDICAL CENTER,800 ZORN AVENUE,LOUISVILLE,KY,40206,JEFFERSON,(502) 287-4000,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,5164,,01/01/2018,12/31/2018
18006F,LOUISVILLE VA MEDICAL CENTER,800 ZORN AVENUE,LOUISVILLE,KY,40206,JEFFERSON,(502) 287-4000,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,5164,,01/01/2018,12/31/2018
18006F,LOUISVILLE VA MEDICAL CENTER,800 ZORN AVENUE,LOUISVILLE,KY,40206,JEFFERSON,(502) 287-4000,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,"1, 2",01/01/2018,12/31/2018
18006F,LOUISVILLE VA MEDICAL CENTER,800 ZORN AVENUE,LOUISVILLE,KY,40206,JEFFERSON,(502) 287-4000,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,78,126,2,01/01/2018,12/31/2018
18006F,LOUISVILLE VA MEDICAL CENTER,800 ZORN AVENUE,LOUISVILLE,KY,40206,JEFFERSON,(502) 287-4000,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,83,181,2,01/01/2018,12/31/2018
18006F,LOUISVILLE VA MEDICAL CENTER,800 ZORN AVENUE,LOUISVILLE,KY,40206,JEFFERSON,(502) 287-4000,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,83,210,2,01/01/2018,12/31/2018
18007F,LEXINGTON VA MEDICAL CENTER,1101 VETERANS DRIVE,LEXINGTON,KY,40502,FAYETTE,(859) 233-4511,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,3061,,01/01/2018,12/31/2018
18007F,LEXINGTON VA MEDICAL CENTER,1101 VETERANS DRIVE,LEXINGTON,KY,40502,FAYETTE,(859) 233-4511,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,3061,,01/01/2018,12/31/2018
18007F,LEXINGTON VA MEDICAL CENTER,1101 VETERANS DRIVE,LEXINGTON,KY,40502,FAYETTE,(859) 233-4511,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,"1, 2",01/01/2018,12/31/2018
18007F,LEXINGTON VA MEDICAL CENTER,1101 VETERANS DRIVE,LEXINGTON,KY,40502,FAYETTE,(859) 233-4511,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,92,84,2,01/01/2018,12/31/2018
18007F,LEXINGTON VA MEDICAL CENTER,1101 VETERANS DRIVE,LEXINGTON,KY,40502,FAYETTE,(859) 233-4511,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,73,131,2,01/01/2018,12/31/2018
18007F,LEXINGTON VA MEDICAL CENTER,1101 VETERANS DRIVE,LEXINGTON,KY,40502,FAYETTE,(859) 233-4511,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,95,196,2,01/01/2018,12/31/2018
19043F,ALEXANDRIA VA MEDICAL CENTER,2495 SHREVEPORT HIGHWAY 71 N,PINEVILLE,LA,71360,RAPIDES,(318) 473-0010,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.39,8209,,01/01/2018,12/31/2018
19043F,ALEXANDRIA VA MEDICAL CENTER,2495 SHREVEPORT HIGHWAY 71 N,PINEVILLE,LA,71360,RAPIDES,(318) 473-0010,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.22,8209,,01/01/2018,12/31/2018
19043F,ALEXANDRIA VA MEDICAL CENTER,2495 SHREVEPORT HIGHWAY 71 N,PINEVILLE,LA,71360,RAPIDES,(318) 473-0010,Inpatient Psychiatric Facility Measures,HBIPS-5,Patients discharged on multiple antipsychotic medications with appropriate justification,67,18,2,01/01/2018,12/31/2018
19043F,ALEXANDRIA VA MEDICAL CENTER,2495 SHREVEPORT HIGHWAY 71 N,PINEVILLE,LA,71360,RAPIDES,(318) 473-0010,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,82,120,2,01/01/2018,12/31/2018
19043F,ALEXANDRIA VA MEDICAL CENTER,2495 SHREVEPORT HIGHWAY 71 N,PINEVILLE,LA,71360,RAPIDES,(318) 473-0010,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,97,304,2,01/01/2018,12/31/2018
