"Facility ID","Facility Name","Address","City","State","ZIP Code","County","Telephone","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends.","Patients who reported PROBABLY YES they would recommend the facility to family or friends.","Patients who reported NO, they would not recommend the facility to family or friends.","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
11C0001279,SURGICAL CENTER FOR UROLOGY LLC,290 COUNTRY CLUB DR SUITE 240,STOCKBRIDGE,GA,30281,,(678) 565-1806,96,3,1,98,89,9,2,93,85,14,1,94,88,11,1,96,,1620,310,20,10/01/2018,09/30/2019
11C0001370,GEORGIA SPINE SURGERY CENTER LLC DBA GNS SURGERY CENTER,1061 DOWDY RD SUITE 103,ATHENS,GA,30606,,(706) 543-9222,99,1,0,99,93,6,1,96,95,5,0,98,96,3,1,98,,494,185,37,10/01/2018,09/30/2019
11C0001383,HUGHSTON SURGICAL CENTER LLC,6262 VETERANS PKWY UNIT. B,COLUMBUS,GA,31909,,(706) 494-3434,97,2,1,98,93,5,2,96,94,5,1,97,95,4,1,98,,1157,358,31,10/01/2018,09/30/2019
11C0001407,WHITE OAK SURGERY CENTER,1665 EAST HWY 34 SUITE 200,NEWMAN,GA,30265,,(770) 252-7557,99,1,0,100,93,5,2,96,95,3,2,97,92,8,0,98,,1225,227,19,10/01/2018,09/30/2019
11C0001460,RESURGENS EAST SURGERY CENTER LLC,3241 IRIS DR SUITE 100,COVINGTON,GA,30016,,(678) 712-7624,98,2,0,99,91,7,2,95,92,6,2,96,88,11,1,95,,903,256,28,10/01/2018,09/30/2019
11C0001472,RESURGENS FAYETTE SURGERY CENTER LLC,1336 HWY 54 WEST BUILDING 400 SUITE A,FAYETTEVILLE,GA,30214,,(678) 251-0200,98,2,0,99,91,7,2,95,94,5,1,97,90,8,2,96,,1316,475,36,10/01/2018,09/30/2019
12C0001012,KAISER PERMANENTE HONOLULU CLINIC - ASC,1010 PENSACOLA ST,HONOLULU,HI,96814,,(808) 597-2611,97,3,0,99,90,8,2,94,88,10,2,95,85,13,2,94,,2414,1038,43,10/01/2018,09/30/2019
12C0001100,KAISER WAILUKU CLINIC - ASC,80 MAHALANI ST,WAILUKU,HI,96793,,(808) 243-6000,98,2,0,99,94,5,1,96,89,10,1,95,91,8,1,96,,1426,511,36,10/01/2018,09/30/2019
13C0001064,IDAHO PHYSICAL MEDICINE AND REHABILITATION PA,3551 EAST OVERLAND RD,MERIDIAN,ID,83642,,(208) 287-6558,98,2,0,99,95,4,1,97,90,8,2,95,90,8,2,96,,1165,385,33,10/01/2018,09/30/2019
14C0001007,HINSDALE SURGICAL CENTER LLC,10 SALT CREEK LANE,HINSDALE,IL,60521,,(630) 706-7147,98,2,0,99,90,8,2,94,89,10,1,95,89,9,2,95,,1000,394,39,10/01/2018,09/30/2019
14C0001027,25 EAST SAME DAY SURGERY LLC,2 EAST WASHINGTON ST SUITE 300,CHICAGO,IL,60602,,(312) 726-3329,,,,,,,,,,,,,,,,,4,,,,,
14C0001030,RIVER NORTH SAME DAY SURGERY LLC,1 EAST ERIE ST SUITE 300,CHICAGO,IL,60611,,(312) 649-9706,97,3,0,98,89,9,2,94,82,16,2,93,80,16,4,92,,1269,313,25,10/01/2018,09/30/2019
14C0001041,NORTH SHORE SAME DAY SURGERY DBA NORTH SHORE SURGICAL CENTER,3427 WEST TOUHY AVE,LINCOLNWOOD,IL,60712,,(847) 324-7770,97,3,0,99,93,6,1,96,86,12,2,94,85,14,1,94,,972,398,41,10/01/2018,09/30/2019
14C0001059,ROCKFORD GASTROENTEROLOGY ASSOCIATES LTD,401 ROXBURY RD,ROCKFORD,IL,61107,,(815) 484-7930,98,2,0,99,89,8,3,93,90,9,1,96,94,5,1,98,,1404,309,22,10/01/2018,09/30/2019
14C0001074,EFFINGHAM SURGICAL PARTNERS LLC,904 W. TEMPLE AVE.,EFFINGHAM,IL,62401,,(217) 342-1234,99,1,0,99,95,4,1,97,95,4,1,97,93,5,2,97,,1092,585,54,10/01/2018,09/30/2019
14C0001076,CARLE SURGICENTER,1702 SOUTH MATTIS AVE SUITE 120,CHAMPAIGN,IL,61821,,(217) 326-8513,,,,,,,,,,,,,,,,,4,,,,,
14C0001148,UNITED SHOCKWAVE SERVICES LTD,120 N. LAGRANGE RD,ROSEMONT,IL,60525,,(847) 544-5959,97,3,0,98,89,8,3,93,84,13,3,93,80,17,3,92,,481,147,31,10/01/2018,09/30/2019
14C0001157,PHYSICIANS SURGERY CENTER AT GOOD SAMARITAN LLC,"2 GOOD SAMARITAN WAY, STE. 200",MOUNT VERNON,IL,62864,,(618) 899-5703,98,2,0,99,91,8,1,95,88,10,2,95,84,15,1,94,,1446,587,41,10/01/2018,09/30/2019
14C0001172,SILVER CROSS AMBULATORY SURGERY CENTER LLC DBA SILVER CROSS SURGERY CENTER,1003 PAWLAK PARKWAY,NEW LENOX,IL,60451,,(815) 717-1740,96,3,1,98,92,7,1,95,88,9,3,95,85,13,2,94,,1457,546,37,10/01/2018,09/30/2019
14C0001173,UROPARTNERS SURGERY CENTER LLC,TBD,DES PLAINES,IL,60018,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
15C0001058,THE ENDOSCOPY CENTER AT ST FRANCIS LLC,8051 SOUTH EMERSON AVE,INDIANAPOLIS,IN,46237,,(317) 857-4026,,,,,,,,,,,,,,,,,4,,,,,
15C0001158,TERRE HAUTE SURGICAL CENTER LLC,227 EAST MCCALLISTER DR,TERRE HAUTE,IN,47802,,(812) 234-4315,97,3,0,98,94,5,1,97,93,6,1,96,92,7,1,97,,983,398,40,10/01/2018,09/30/2019
15C0001169,INDIANA SPECIALTY SURGERY CENTER LLC,1380 W ARCH HAVEN AVE,BLOOMINGTON,IN,47403,,(812) 330-1164,97,3,0,99,92,6,2,95,90,8,2,96,90,9,1,96,,1081,460,43,10/01/2018,09/30/2019
16C0001016,SURGERY CENTER CEDAR RAPIDS,1075 1ST AVE. SE,CEDAR RAPIDS,IA,52402,,(319) 558-4803,97,3,0,98,89,9,2,93,83,14,3,93,81,17,2,93,,1401,525,37,10/01/2018,09/30/2019
17C0001083,EPIC ASC LLC DBA EPIC SURGERY CENTER,11261 NALL AVE SUITE 200,LEAWOOD,KS,66211,,(913) 671-3290,,,,,,,,,,,,,,,,,4,,,,,
19C0001010,EYE CARE SURGERY CENTER INC,10423 OLD HAMMOND HWY,BATON ROUGE,LA,70816,,(225) 923-0960,97,3,0,98,90,7,3,93,84,12,4,93,88,11,1,96,,878,228,27,10/01/2018,09/30/2019
19C0001053,METAIRIE OPHTHALMOLOGY ASC LLC,3900 VETERANS BLVD. #100,METAIRIE,LA,70002,,(504) 455-1550,97,2,1,98,90,7,3,94,87,11,2,95,87,10,3,94,,1001,271,28,10/01/2018,09/30/2019
19C0001085,LAKE AMBULATORY SURGERY CTR,7145 PERKINS RD,BATON ROUGE,LA,70808,,(225) 408-5548,98,2,0,99,93,5,2,96,89,8,3,95,86,11,3,94,,1111,282,25,10/01/2018,09/30/2019
19C0001092,ADVANCED SURGICAL CONCEPTS LLC,9118 BLUEBONNET CENTRE BLVD.,BATON ROUGE,LA,70809,,(225) 368-2330,98,2,0,99,92,6,2,95,89,7,4,94,87,9,4,94,,1349,293,22,10/01/2018,09/30/2019
19C0001106,ORTHOPEDIC SURGERY CENTER LLC,7301 HENNESY BLVD STE 100,BATON ROUGE,LA,70808,,(225) 766-0050,97,2,1,98,93,6,1,96,90,8,2,95,90,8,2,96,,1877,369,20,10/01/2018,09/30/2019
19C0001109,CHRISTUS CABRINI SURGERY CENTER LLC,3436 MASONIC DR.,ALEXANDRIA,LA,71301,,(318) 427-6500,98,2,0,99,91,7,2,94,88,10,2,95,89,10,1,96,,1135,351,31,10/01/2018,09/30/2019
19C0001113,PONTCHARTRAIN SURGERY CENTER LLC,"4407 HWY 190 SERVICE RD, EAST STE.",COVINGTON,LA,70433,,(985) 234-9700,98,2,0,99,94,5,1,97,90,9,1,96,89,9,2,95,,1065,387,36,10/01/2018,09/30/2019
19C0001133,OIL CENTER SURGICAL PLAZA,"1000 W. PINHOOK RD, SUITE 204",LAFAYETTE,LA,70503,,(337) 289-8216,99,1,0,99,94,5,1,97,94,5,1,97,93,6,1,97,,957,418,44,10/01/2018,09/30/2019
20C0001012,INTERMED PA DBA GENERATIONS,84 MARGINAL WAY SUITE 1000,PORTLAND,ME,04101,,(207) 347-2898,99,1,0,99,93,5,2,96,92,7,1,96,89,10,1,96,,1270,388,31,10/01/2018,09/30/2019
21C0001063,CLINICAL ASSOCIATION AMBULATORY SURGICAL CENTER,515 FAIRMOUNT AVE. STE 100,TOWSON,MD,21286,,(410) 494-1335,,,,,,,,,,,,,,,,,4,,,,,
21C0001590,DIALYSIS ACCESS SERVICES,1589 SULPHUR SPRING RD,BALTIMORE,MD,21227,,(410) 536-5400,96,4,0,98,87,10,3,92,89,9,2,95,84,9,7,91,,702,151,22,10/01/2018,09/30/2019
21C0001594,DIALYSIS ACCESS SERVICES,2405 YORK RD SUITE 100,TIMONIUM,MD,21093,,(410) 536-5400,96,3,1,98,91,6,3,94,82,14,4,93,76,21,3,91,,716,128,18,10/01/2018,09/30/2019
22C0001011,ARC WORCESTER CENTER LP DBA WORCESTER SURGICAL CENTER,300 GROVE ST,WORCESTER,MA,01605,,(508) 754-0700,97,2,1,98,93,6,1,96,85,13,2,94,84,13,3,93,,1024,410,40,10/01/2018,09/30/2019
22C0001023,CATARACT AND LASER CENTER WEST LLC,171 INTERSTATE DR,WEST SPRINGFIELD,MA,01089,,(413) 737-5500,,,,,,,,,,,,,,,,,4,,,,,
22C0001077,CAPE COD SURGERY CENTER,160 FALMOUTH RD,MASHPEE,MA,02649,,(508) 862-5116,98,2,0,99,90,9,1,94,83,16,1,94,84,15,1,94,,222,101,45,10/01/2018,09/30/2019
23C0001020,SURGICAL CARE CENTER OF MICHIGAN,750 EAST BELTLINE NE,GRAND RAPIDS,MI,49525,,(616) 588-6520,97,3,0,98,89,8,3,93,85,12,3,94,91,8,1,97,,986,273,29,10/01/2018,09/30/2019
23C0001027,LAKE LANSING ASC PARTNERS LLC,1707 LAKE LANSING RD,LANSING,MI,48912,,(517) 708-3363,97,3,0,99,91,7,2,95,88,11,1,95,86,13,1,95,,1904,763,40,10/01/2018,09/30/2019
23C0001031,GENESIS SURGERY CENTER,3400 E JOLLY RD,LANSING,MI,48910,,(517) 272-1063,98,2,0,99,92,7,1,96,90,9,1,95,87,12,1,95,,1232,635,52,10/01/2018,09/30/2019
23C0001053,EAST PARIS SURGICAL CENTER LLC,1000 EAST PARIS AVE S.E.,GRAND RAPIDS,MI,49546,,(616) 464-3430,96,4,0,98,91,7,2,95,90,9,1,96,92,7,1,97,,1133,298,27,10/01/2018,09/30/2019
23C0001061,WEST BLOOMFIELD SURGERY CENTER LLC DBA LAKES SURGERY CENTER,2300 HAGGERTY RD SUITE 1000,WEST BLOOMFIELD,MI,48323,,(248) 896-6322,,,,,,,,,,,,,,,,,4,,,,,
23C0001071,PAIN TREATMENT CENTERS OF MICHIGAN DBA MATRIX SURGERY CENTER,4450 FASHION SQUARE BLVD SUITE 200,SAGINAW,MI,48603,,(989) 790-7950,,,,,,,,,,,,,,,,,4,,,,,
23C0001080,WALKER SURGICAL CENTER LLC,3300 WALKER VIEW DR.,WALKER,MI,49544,,(616) 588-6560,98,2,0,99,94,4,2,96,91,7,2,96,93,5,2,97,,996,278,29,10/01/2018,09/30/2019
23C0001085,TOWNE CENTRE SURGERY CENTER LLC,4599 TOWN CENTER RD.,SAGINAW,MI,48604,,(989) 497-3096,98,2,0,99,91,7,2,95,89,9,2,95,92,7,1,97,,1191,304,26,10/01/2018,09/30/2019
23C0001109,CLARKSTON ASC PARTNERS LLC DBA CLARKSTON SURGERY CENTER,5701 BOW POINTE DR SUITE 145,CLARKSTON,MI,48346,,(248) 322-4800,98,2,0,99,90,8,2,94,88,10,2,95,86,12,2,94,,1007,423,42,10/01/2018,09/30/2019
23C0001114,SURGICAL INSTITUTE OF MONROE,1051 S. TELEGRAPH RD STE 100,MONROE,MI,48161,,(734) 869-8701,98,2,0,99,90,7,3,94,88,10,2,95,85,14,1,95,,1372,537,39,10/01/2018,09/30/2019
23C0001139,HEALTH POINTE,15100 WHITTAKER WAY,GRAND HAVEN,MI,49417,,(616) 935-6399,98,2,0,99,95,4,1,97,92,7,1,96,89,10,1,96,,1518,528,35,10/01/2018,09/30/2019
24C0001010,WILLMAR SURGERY CENTER,1320 SOUTH FIRST ST,WILLMAR,MN,56201,,(320) 235-6506,99,1,0,99,92,7,1,96,87,11,2,95,85,14,1,94,2,1335,559,42,10/01/2018,09/30/2019
24C0001019,LANDMARK SURGERY CENTER,17 W. EXCHANGE ST. STE. 222,ST PAUL,MN,55102,,(651) 968-5468,,,,,,,,,,,,,,,,,4,,,,,
24C0001048,TRIA ORTHOPAEDIC CENTER LLC,8100 NORTHLAND DR,BLOOMINGTON,MN,55431,,(952) 806-5321,98,2,0,99,93,6,1,96,93,6,1,96,90,8,2,96,,1256,418,33,10/01/2018,09/30/2019
24C0001052,ILBNC SPECIAL PROCEDURES,15700 37TH AVE N STE. 210,PLYMOUTH,MN,55446,,(952) 814-6644,,,,,,,,,,,,,,,,,4,,,,,
24C0001060,CENTRACARE SURGERY CENTER LLC,1900 CENTRACARE CIR,ST CLOUD,MN,56303,,(320) 229-4964,98,2,0,99,93,6,1,96,88,11,1,95,86,13,1,95,,2288,864,38,10/01/2018,09/30/2019
24C0001062,FAIRVIEW MAPLE GROVE SURGERY CENTER LLC,14500 99TH AVE NORTH,MAPLE GROVE,MN,55369,,(763) 898-1438,,,,,,,,,,,,,,,,,4,,,,,
24C0001074,SANFORD HEALTH DETROIT LAKES SAME DAY SURGERY CTR,1245 WASHINGTON AVE,DETROIT LAKES,MN,56501,,(218) 846-2000,99,1,0,99,93,6,1,96,89,10,1,95,88,11,1,96,,940,384,41,10/01/2018,09/30/2019
24C0001078,VADNAIS HEIGHTS SURGERY CENTER LLC,3580 ARCADE ST. STE. 200,VADNAIS HEIGHTS,MN,55127,,(651) 261-1717,,,,,,,,,,,,,,,,,4,,,,,
24C0001084,MARSHALL SURGERY CENTER LLC,"1521 CARLSON ST, STE. 200",MARSHALL,MN,56258,,(507) 532-1928,,,,,,,,,,,,,,,,,4,,,,,
24C0001089,M HEALTH CLINICS AND SURGERY CENTER,909 FULTON ST SOUTHEAST,MINNEAPOLIS,MN,55455,,(612) 273-7076,,,,,,,,,,,,,,,,,4,,,,,
24C0001091,EAGAN SURGERY CENTER,2620 EAGAN WOODS DR STE 300,EAGAN,MN,55121,,(651) 261-1717,,,,,,,,,,,,,,,,,4,,,,,
24C0001093,MONTICELLO SURGERY CENTER,1013 HART BLVD,MONTICELLO,MN,55362,,(763) 271-2268,98,2,0,99,91,7,2,95,84,14,2,93,79,19,2,92,,888,339,38,10/01/2018,09/30/2019
25C0001046,COLUMBUS ORTHOPEDIC OUTPATIENT,640 LEIGH DR.,COLUMBUS,MS,39705,,(662) 328-7123,97,3,0,98,94,5,1,97,92,7,1,97,90,7,3,95,,1166,359,31,10/01/2018,09/30/2019
25C0001058,CENTER FOR DIGESTIVE HEALTH LLC,589 GARFIELD ST,TUPELO,MS,38801,,(662) 377-4173,96,3,1,98,92,5,3,95,89,9,2,95,89,9,2,95,,1917,450,23,10/01/2018,09/30/2019
26C0001021,CREEKWOOD SURGERY CENTER LP,211 NORTHEAST 54TH ST SUITE 100,KANSAS CITY,MO,64118,,(816) 988-2553,98,2,0,99,90,8,2,94,88,10,2,94,85,13,2,94,,1413,437,31,10/01/2018,09/30/2019
26C0001028,SAINT LUKES GI DIAGNOSTICS LLC,4321 WASHINGTON STE. 5600,KANSAS CITY,MO,64111,,(816) 416-8353,94,5,1,97,90,8,2,94,81,16,3,93,82,16,2,93,,1111,334,30,10/01/2018,09/30/2019
26C0001060,SOUTH COUNTY OUTPATIENT ENDOSCOPY SERVICES LP DBA SOUTH COUNTY OUTPATIENT ENDOSCOPY SERVICES,5139 MATTIS RD  SUITE 100,ST LOUIS,MO,63128,,(314) 729-9780,98,2,0,99,94,5,1,96,89,10,1,96,88,11,1,95,,1059,473,45,10/01/2018,09/30/2019
26C0001061,DES PERES SQUARE SURGERY CENTER,1050 OLD DES PERES RD. STE. 150,ST LOUIS,MO,63131,,(314) 569-2918,97,3,0,98,91,7,2,95,85,13,2,94,80,18,2,92,,1159,385,33,10/01/2018,09/30/2019
26C0001066,MIDWEST DIGESTIVE HEALTH CENTER LLC,3601 NORTHEAST RALPH POWELL RD,LEES SUMMIT,MO,64064,,(816) 251-1255,98,2,0,99,94,5,1,97,94,5,1,97,92,7,1,96,,1257,451,36,10/01/2018,09/30/2019
26C0001069,BRIARCLIFF AMBULATORY SURGERY CENTER LP DBA BRIARCLIFF SURGERY CENTER,4150 NORTH MULBERRY DR SUITE 100,KANSAS CITY,MO,64116,,(816) 214-4364,97,3,0,98,92,7,1,96,90,8,2,95,88,10,2,95,,1012,363,36,10/01/2018,09/30/2019
26C0001070,LIBERTY AMBULATORY SURGERY CENTER LP,834 WEST KANSAS ST SUITE B,LIBERTY,MO,64068,,(816) 883-2004,,,,,,,,,,,,,,,,,4,,,,,
26C0001080,MID RIVERS SURGERY CENTER,5401 VETERANS MEMOIRAL PARKWAY,ST PETERS,MO,63376,,(636) 441-0906,97,3,0,98,93,6,1,96,90,8,2,95,85,12,3,94,,1068,411,38,10/01/2018,09/30/2019
26C0001082,CHESTERFIELD SURGERY CENTER,17050 BAXTER RD SUITE 110,CHESTERFIELD,MO,63005,,(636) 537-0122,98,2,0,99,93,5,2,96,89,9,2,95,86,13,1,95,,1080,424,39,10/01/2018,09/30/2019
26C0001087,ADVANCED AMBULATORY SURGICAL CARE LP,"10448 OLD OLIVE ST RD, SUITE 100",CREVE COEUR,MO,63141,,(314) 743-8091,98,2,0,99,89,9,2,93,86,13,1,95,81,17,2,93,,1017,295,29,10/01/2018,09/30/2019
26C0001088,SURGERY CENTER OF COLUMBIA LP,305 NORTH KEENE ST SUITE 107,COLUMBIA,MO,65201,,(573) 256-6272,97,3,0,99,92,6,2,95,89,10,1,95,88,11,1,96,,1185,528,45,10/01/2018,09/30/2019
26C0001093,TOTAL JOINT CENTER OF ST LOUIS LP,760 OFFICE PARKWAY,CREVE COEUR,MO,63141,,(314) 995-4700,98,2,0,99,92,6,2,95,88,10,2,95,85,13,2,94,,1100,453,41,10/01/2018,09/30/2019
26C0001097,RIVERSIDE AMBULATORY SURGERY CENTER LLC,100 VILLAGE SQUARE,HAZELWOOD,MO,63042,,(314) 373-8931,97,3,0,98,93,5,2,96,87,11,2,95,86,12,2,94,,940,280,30,10/01/2018,09/30/2019
26C0001099,MANCHESTER AMBULATORY SURGERY CENTER LP DBA MANCHESTER SURGERY CENTER,1040 OLD DES PERES RD,DES PERES,MO,63131,,(314) 775-2264,97,3,0,99,92,7,1,96,82,15,3,93,76,22,2,91,,1050,314,30,10/01/2018,09/30/2019
26C0001103,CEDAR OAKS SURGERY CENTER LLC,706 BURKARTH RD,WARRENSBURG,MO,64093,,(660) 747-8868,99,1,0,99,91,8,1,95,91,8,1,96,89,10,1,96,,500,239,48,10/01/2018,09/30/2019
26C0001109,WEBSTER AMBULATORY SURGERY CENTER LP,520 S. ELM AVE.,WEBSTER GROVES,MO,63119,,(314) 962-3464,98,2,0,99,91,7,2,95,87,11,2,95,86,13,1,95,,1092,360,33,10/01/2018,09/30/2019
26C0001112,FRONTENAC AMBULATORY SURGERY AND SPINE CARE CENTER LP DBA FRONTENAC SURGERY AND SPINE CARE CENTER,10435 CLAYTON RD SUITE 110,FRONTENAC,MO,63131,,(314) 995-3990,97,3,0,98,90,8,2,94,86,12,2,94,87,12,1,95,,866,287,33,10/01/2018,09/30/2019
26C0001116,GATEWAY ENDOSCOPY CENTER LP,12855 N. 40 DR. STE. 150,ST LOUIS,MO,63141,,(314) 336-1130,98,2,0,99,94,4,2,96,94,5,1,97,93,6,1,97,,919,407,44,10/01/2018,09/30/2019
26C0001117,TWIN CITIES AMBULATORY SURGERY CENTER LP,1101 W. GANNON DR.,FESTUS,MO,63028,,(636) 931-5997,97,3,0,98,92,7,1,95,84,15,1,94,79,20,1,92,,1023,407,40,10/01/2018,09/30/2019
26C0001138,OLD TESSON SURGERY CENTER LP,12639 OLD TESSON RD SUITE 130,ST LOUIS,MO,63128,,(314) 748-4225,97,3,0,98,92,6,2,95,88,11,1,94,84,14,2,94,,1012,438,43,10/01/2018,09/30/2019
26C0001148,EMERSON SURGERY CENTER LLC,"633 EMERSON RD, SUITE 140",ST LOUIS,MO,63141,,(314) 991-9922,97,3,0,99,92,7,1,96,92,7,1,96,88,11,1,95,,1458,569,39,10/01/2018,09/30/2019
26C0001157,NORTH CAMPUS SURGERY CENTER LLC,"633 EMERSON RD., SUITE 120",CREVE COEUR,MO,63141,,(314) 991-2090,99,1,0,100,94,5,1,97,95,5,0,97,91,8,1,97,,703,200,28,10/01/2018,09/30/2019
27C0001020,YELLOWSTONE SURGERY CENTER LLC,1144 N. 28TH ST.,BILLINGS,MT,59101,,(406) 237-5900,99,1,0,100,94,5,1,96,92,7,1,96,92,7,1,97,,1001,332,33,10/01/2018,09/30/2019
27C0001022,FLATHEAD OUTPATIENT CENTER PC,111 SUNNYVIEW LANE,KALISPELL,MT,59901,,(406) 752-7900,,,,,,,,,,,,,,,,,4,,,,,
27C0001026,KALISPELL REGIONAL MEDICAL CENTER INC DBA POLSON HEALTH OUTPATIENT CENTER,106 RIDGEWATER DR SUITE B,POLSON,MT,59860,,(406) 883-1911,,,,,,,,,,,,,,,,,4,,,,,
28C0001032,NORTH PLATTE SURGERY CENTER LLC,621 WEST FRANCIS ST,NORTH PLATTE,NE,69101,,(308) 534-5400,,,,,,,,,,,,,,,,,4,,,,,
29C0001000,SOUTHWEST MEDICAL ASSOCIATES INC,2450 WEST CHARLESTON BLVD.,LAS VEGAS,NV,89102,,(702) 877-8638,,,,,,,,,,,,,,,,,4,,,,,
29C0001036,PARKWAY SURGERY CENTER LLC DBA PARKWAY SURGERY CENTER,100 NORTH GREEN VALLEY PARKWAY SUITE 125,HENDERSON,NV,89074,,(702) 616-4954,97,2,1,98,90,7,3,93,88,9,3,93,85,11,4,93,,1237,321,26,10/01/2018,09/30/2019
29C0001073,SAN MARTIN SURGERY CENTER DBA DURANGO OUTPATIENT SURGERY CENTER,8530 WEST SUNSET RD SUITE 100,LAS VEGAS,NV,89113,,(702) 789-5700,97,3,0,98,92,6,2,95,89,9,2,95,88,10,2,95,,1406,336,24,10/01/2018,09/30/2019
29C0001102,PARKWAY SURGERY CENTER DBA PARKWAY SURGERY CENTER AT HORIZON RIDGE,10561 JEFFREYS ST SUITE 130,HENDERSON,NV,89052,,(702) 724-8900,98,2,0,99,92,6,2,95,90,9,1,96,88,11,1,95,,1851,570,31,10/01/2018,09/30/2019
30C0001014,DARTMOUTHHITCHCOCK CLINIC,100 HITCHCOCK WAY,MANCHESTER,NH,03104,,(603) 629-1800,98,2,0,99,94,5,1,96,85,13,2,94,84,15,1,94,,2299,598,26,10/01/2018,09/30/2019
30C0001021,HILLSIDE ASC LLC,"14 MAPLE ST, STE. 110",GILFORD,NH,03249,,(603) 524-7514,97,3,0,99,94,6,0,97,84,15,1,95,88,11,1,95,,395,133,34,10/01/2018,09/30/2019
30C0001031,DARTMOUTHHITCHCOCK CLINIC,ONE MEDICAL CENTER DR,LEBANON,NH,03756,,(603) 650-3052,99,1,0,99,94,5,1,96,92,6,2,96,91,8,1,96,,2249,674,30,10/01/2018,09/30/2019
31C0001035,BERGEN GASTROENTEROLOGY PC,"466 OLD HOOK RD, SUITE 1",EMERSON,NJ,07630,,(201) 967-8221,95,5,0,98,89,8,3,93,78,18,4,92,77,20,3,91,,1368,376,27,10/01/2018,09/30/2019
31C0001099,SHORE OUTPATIENT SURGICENTER LLC,360 ROUTE 70,LAKEWOOD,NJ,08201,,(732) 942-9835,97,3,0,98,90,7,3,94,88,10,2,95,86,13,1,95,,1079,418,39,10/01/2018,09/30/2019
31C0001118,CENTRAL JERSEY SURGERY CENTER LLC,97 CORBETT WAY,EATONTOWN,NJ,07724,,(732) 460-2777,98,2,0,99,92,6,2,95,90,8,2,95,86,12,2,94,,888,323,36,10/01/2018,09/30/2019
31C0001126,SHREWSBURY SURGERY CENTER LLC DBA SHREWSBURY SURGERY CENTER,655 SHREWSBURY AVE,SHREWSBURY,NJ,07702,,(732) 450-6000,98,2,0,99,92,6,2,95,89,9,2,95,90,8,2,96,,852,262,31,10/01/2018,09/30/2019
31C0001150,ORTHOPAEDIC SURGERY CENTER OF NORTHWEST JERSEY LLC,3130 ROUTE 10 WEST STE. 200,DENVILLE,NJ,07834,,(973) 328-3475,98,2,0,99,90,8,2,94,89,10,1,95,88,11,1,96,,1258,459,36,10/01/2018,09/30/2019
31C0001152,HACKENSACK ENDOSCOPY CENTER,170 PROSPECTIVE AVE. STE 10,HACKENSACK,NJ,07601,,(201) 498-0030,98,2,0,99,91,7,2,94,90,9,1,96,90,9,1,96,,952,324,34,10/01/2018,09/30/2019
31C0001153,TOMS RIVER SURGERY CENTER,1430 HOOPER AVE SUITE 301,TOMS RIVER,NJ,08753,,(732) 240-2277,99,1,0,99,92,6,2,95,93,6,1,97,92,7,1,97,,1058,386,36,10/01/2018,09/30/2019
31C0001160,HAMILTON ENDOSCOPY AND SURGERY CENTER LLC,"1235 WHITE HORSE MERCERVILLE RD, SUITE 310",HAMILTON,NJ,08619,,(609) 581-6610,97,3,0,98,92,6,2,95,88,10,2,95,88,11,1,95,,1056,373,35,10/01/2018,09/30/2019
31C0001162,SUBURBAN ENDOSCOPY CENTER LLC,799 BLOOMFIELD AVE.,VERONA,NJ,07044,,(973) 571-1600,97,3,0,99,90,7,3,94,86,11,3,94,86,12,2,94,,1111,314,28,10/01/2018,09/30/2019
31C0001193,LAKEWOOD SURGERY CENTER LLC,1215 ROUTE 70 SUITE 2000,LAKEWOOD,NJ,08701,,(732) 719-1800,98,2,0,99,93,6,1,96,90,9,1,96,90,9,1,96,,989,303,31,10/01/2018,09/30/2019
31C0001197,METROPOLITAN NEW JERSEY LLC DBA METROPOLITAN SURGERY CENTER,433 HACKENSACK AVE LL01,HACKENSACK,NJ,07601,,(201) 527-6800,96,3,1,98,87,10,3,92,81,14,5,92,80,17,3,92,,1012,280,28,10/01/2018,09/30/2019
31C0001199,CENTER FOR BONE AND JOINT SURGERY DBA NORTHERN MONMOUTH REGIONAL SURGERY CENTER LLC,195 ROUTE 9 SOUTH SUITE 210,MANALAPAN,NJ,07726,,(732) 921-2305,97,3,0,99,90,7,3,94,87,11,2,95,85,14,1,94,,1084,338,31,10/01/2018,09/30/2019
31C0001205,PARAMUS ENDOSCOPY LLC DBA ENDOSCOPY CENTER OF BERGEN COUNTY,80 EISENHOWER DR SUITE 100,PARAMUS,NJ,07652,,(201) 336-1100,98,2,0,99,90,7,3,93,92,7,1,96,91,8,1,97,,1095,325,30,10/01/2018,09/30/2019
